pair,pinbar_thresh,bb_sigma,sl_atr,tp_atr,train_pf,train_wr,train_trades,train_dd,test_pf,test_wr,test_trades,test_dd,all_pf,all_wr,all_trades,all_dd
USDJPY,0.7000,2.0000,1.5000,3.0000,0.3984,0.1200,25,1.2254,1.0483,0.3529,17,0.4191,0.5961,0.2143,42,1.2978
EURJPY,0.4000,1.5000,1.5000,2.0000,0.7515,0.3544,697,13.4318,0.7104,0.3455,466,8.2405,0.7368,0.3508,1163,19.9188
EURJPY,0.4000,1.5000,1.0000,2.5000,0.6651,0.2109,697,14.4291,0.6165,0.2060,466,8.8361,0.6478,0.2089,1163,21.8996
EURJPY,0.4000,1.5000,1.5000,3.0000,0.7828,0.2884,697,14.1204,0.7287,0.2940,466,8.2436,0.7639,0.2906,1163,19.3736
EURJPY,0.4000,1.8000,1.5000,2.0000,0.7471,0.3568,370,6.9945,0.7714,0.3548,248,4.7065,0.7555,0.3560,618,10.1419
EURJPY,0.4000,1.8000,1.0000,2.5000,0.6248,0.2108,370,8.7730,0.6486,0.2056,248,4.4857,0.6330,0.2087,618,12.5807
EURJPY,0.4000,1.8000,1.5000,3.0000,0.7435,0.2811,370,7.9518,0.8782,0.3266,248,4.0636,0.7873,0.2994,618,9.6801
EURJPY,0.4000,2.0000,1.5000,2.0000,0.7752,0.3687,217,4.4035,0.8262,0.3699,146,3.4071,0.7921,0.3691,363,4.9890
EURJPY,0.4000,2.0000,1.0000,2.5000,0.7006,0.2304,217,4.9421,0.7887,0.2329,146,2.4191,0.7297,0.2314,363,5.3855
EURJPY,0.4000,2.0000,1.5000,3.0000,0.8582,0.3088,217,4.5915,0.8970,0.3356,146,3.0967,0.8706,0.3196,363,4.5915
EURJPY,0.5000,1.5000,1.5000,2.0000,0.7198,0.3423,409,8.4080,0.7340,0.3700,273,4.7587,0.7249,0.3534,682,12.2477
EURJPY,0.5000,1.5000,1.0000,2.5000,0.7132,0.2225,409,8.3222,0.5892,0.2015,273,5.9005,0.6676,0.2141,682,12.1010
EURJPY,0.5000,1.5000,1.5000,3.0000,0.8091,0.2934,409,8.3344,0.7538,0.3150,273,4.9113,0.7895,0.3021,682,10.5916
EURJPY,0.5000,1.8000,1.5000,2.0000,0.7142,0.3465,202,5.0846,0.8219,0.3971,136,2.7111,0.7509,0.3669,338,6.5745
EURJPY,0.5000,1.8000,1.0000,2.5000,0.6491,0.2129,202,4.6589,0.6554,0.2132,136,3.1783,0.6513,0.2130,338,6.9592
EURJPY,0.5000,1.8000,1.5000,3.0000,0.7510,0.2871,202,5.4631,0.9555,0.3529,136,2.2706,0.8179,0.3136,338,5.7482
EURJPY,0.5000,2.0000,1.5000,2.0000,0.7707,0.3652,115,2.8069,0.7596,0.3896,77,1.7224,0.7669,0.3750,192,3.2616
EURJPY,0.5000,2.0000,1.0000,2.5000,0.7588,0.2435,115,3.2134,0.7396,0.2338,77,1.3756,0.7521,0.2396,192,3.2134
EURJPY,0.5000,2.0000,1.5000,3.0000,0.9199,0.3217,115,3.2920,0.7942,0.3377,77,1.7846,0.8774,0.3281,192,3.2920
EURJPY,0.6000,1.5000,1.5000,2.0000,0.6025,0.2905,210,6.5304,0.6723,0.3617,141,3.1326,0.6276,0.3191,351,9.2941
EURJPY,0.6000,1.5000,1.0000,2.5000,0.7495,0.2190,210,3.9370,0.6342,0.2270,141,2.5771,0.7069,0.2222,351,5.5008
EURJPY,0.6000,1.5000,1.5000,3.0000,0.7220,0.2571,210,5.1781,0.6672,0.3121,141,3.7886,0.7023,0.2792,351,8.2873
EURJPY,0.6000,1.8000,1.5000,2.0000,0.4770,0.2500,96,4.3200,0.9676,0.4462,65,1.0515,0.6276,0.3292,161,4.8819
EURJPY,0.6000,1.8000,1.0000,2.5000,0.5924,0.1875,96,2.5507,0.8614,0.2615,65,1.2675,0.6837,0.2174,161,3.3205
EURJPY,0.6000,1.8000,1.5000,3.0000,0.5564,0.2188,96,4.1956,1.1498,0.4154,65,0.9057,0.7327,0.2981,161,4.3036
EURJPY,0.6000,2.0000,1.5000,2.0000,0.4976,0.2500,52,2.7303,1.1542,0.4857,35,0.5203,0.6753,0.3448,87,2.7303
EURJPY,0.6000,2.0000,1.0000,2.5000,0.7624,0.2115,52,1.8025,1.5302,0.3714,35,0.3473,0.9825,0.2759,87,1.8025
EURJPY,0.6000,2.0000,1.5000,3.0000,0.6742,0.2308,52,2.7482,1.1970,0.4286,35,0.5156,0.8158,0.3103,87,2.7482
EURJPY,0.7000,1.5000,1.5000,2.0000,0.6758,0.3293,82,2.0843,0.6991,0.3393,56,1.2848,0.6847,0.3333,138,3.5744
EURJPY,0.7000,1.5000,1.0000,2.5000,0.7472,0.2195,82,1.5330,0.5229,0.1964,56,1.2827,0.6590,0.2101,138,2.6096
EURJPY,0.7000,1.5000,1.5000,3.0000,0.7963,0.2927,82,1.7782,0.5742,0.2857,56,1.6247,0.7095,0.2899,138,3.4197
EURJPY,0.7000,1.8000,1.5000,2.0000,0.9932,0.4412,34,0.7930,1.0025,0.3913,23,0.3786,0.9963,0.4211,57,0.8712
EURJPY,0.7000,1.8000,1.0000,2.5000,1.0386,0.2941,34,0.5520,0.5390,0.1739,23,0.6151,0.8541,0.2456,57,0.9507
EURJPY,0.7000,1.8000,1.5000,3.0000,1.1493,0.3824,34,0.6517,1.2297,0.3913,23,0.3475,1.1744,0.3860,57,0.7668
EURJPY,0.7000,2.0000,1.5000,2.0000,0.7382,0.3125,16,1.0465,1.3884,0.4545,11,0.2330,0.8928,0.3704,27,1.0465
EURJPY,0.7000,2.0000,1.0000,2.5000,0.7872,0.1875,16,0.9034,1.9084,0.3636,11,0.1987,1.0497,0.2593,27,0.9034
EURJPY,0.7000,2.0000,1.5000,3.0000,0.8410,0.2500,16,1.2805,1.7632,0.4545,11,0.2330,1.0457,0.3333,27,1.2805
GBPJPY,0.4000,1.5000,1.5000,2.0000,0.6090,0.3185,697,27.4655,0.6369,0.3269,465,13.3908,0.6188,0.3219,1162,39.8003
GBPJPY,0.4000,1.5000,1.0000,2.5000,0.5624,0.1836,697,24.2588,0.4630,0.1677,465,16.3692,0.5268,0.1773,1162,40.4739
GBPJPY,0.4000,1.5000,1.5000,3.0000,0.6344,0.2525,697,28.3434,0.5721,0.2581,465,17.5167,0.6124,0.2547,1162,44.8039
GBPJPY,0.4000,1.8000,1.5000,2.0000,0.7085,0.3391,345,10.9433,0.6091,0.3160,231,7.5525,0.6721,0.3299,576,17.0452
GBPJPY,0.4000,1.8000,1.0000,2.5000,0.6809,0.2029,345,10.2076,0.4843,0.1775,231,7.7666,0.6087,0.1927,576,16.5901
GBPJPY,0.4000,1.8000,1.5000,3.0000,0.7747,0.2812,345,10.3941,0.5552,0.2468,231,9.1589,0.6931,0.2674,576,17.9535
GBPJPY,0.4000,2.0000,1.5000,2.0000,0.8448,0.3702,208,4.0952,0.5451,0.2857,140,5.4867,0.7268,0.3362,348,8.3586
GBPJPY,0.4000,2.0000,1.0000,2.5000,0.7720,0.2260,208,4.7194,0.4207,0.1571,140,5.6991,0.6366,0.1983,348,8.9861
GBPJPY,0.4000,2.0000,1.5000,3.0000,0.9709,0.3221,208,4.6048,0.5433,0.2357,140,5.9541,0.8024,0.2874,348,7.0223
GBPJPY,0.5000,1.5000,1.5000,2.0000,0.6526,0.3274,391,14.0622,0.5554,0.2901,262,9.6237,0.6167,0.3124,653,23.1302
GBPJPY,0.5000,1.5000,1.0000,2.5000,0.5773,0.1841,391,13.2646,0.3927,0.1412,262,10.8211,0.5089,0.1669,653,24.1438
GBPJPY,0.5000,1.5000,1.5000,3.0000,0.6987,0.2685,391,14.3876,0.4850,0.2328,262,12.2555,0.6194,0.2542,653,25.4489
GBPJPY,0.5000,1.8000,1.5000,2.0000,0.7578,0.3548,186,4.9233,0.7045,0.3280,125,4.0518,0.7384,0.3441,311,7.4198
GBPJPY,0.5000,1.8000,1.0000,2.5000,0.6843,0.2097,186,5.9116,0.5562,0.1840,125,4.3327,0.6374,0.1994,311,8.3720
GBPJPY,0.5000,1.8000,1.5000,3.0000,0.8704,0.3118,186,4.4228,0.5937,0.2560,125,5.9130,0.7660,0.2894,311,7.6014
GBPJPY,0.5000,2.0000,1.5000,2.0000,0.8840,0.3818,110,2.1439,0.5752,0.2838,74,2.9942,0.7634,0.3424,184,3.9879
GBPJPY,0.5000,2.0000,1.0000,2.5000,0.7455,0.2273,110,2.9686,0.3811,0.1486,74,3.2119,0.6051,0.1957,184,5.0630
GBPJPY,0.5000,2.0000,1.5000,3.0000,1.0337,0.3455,110,2.1299,0.5489,0.2432,74,3.5776,0.8435,0.3043,184,3.5776
GBPJPY,0.6000,1.5000,1.5000,2.0000,0.6363,0.3268,205,8.2799,0.5153,0.2826,138,6.0867,0.5902,0.3090,343,13.8313
GBPJPY,0.6000,1.5000,1.0000,2.5000,0.6394,0.2000,205,6.2903,0.3922,0.1377,138,6.0964,0.5443,0.1749,343,12.3886
GBPJPY,0.6000,1.5000,1.5000,3.0000,0.6471,0.2585,205,9.0031,0.4717,0.2319,138,7.4587,0.5805,0.2478,343,15.9411
GBPJPY,0.6000,1.8000,1.5000,2.0000,0.7010,0.3478,92,3.1785,0.6718,0.3226,62,2.3158,0.6896,0.3377,154,4.5631
GBPJPY,0.6000,1.8000,1.0000,2.5000,0.7348,0.2174,92,2.8354,0.6161,0.2097,62,1.9962,0.6885,0.2143,154,3.8730
GBPJPY,0.6000,1.8000,1.5000,3.0000,0.6578,0.2717,92,4.1526,0.7074,0.2903,62,2.6762,0.6766,0.2792,154,5.3620
GBPJPY,0.6000,2.0000,1.5000,2.0000,1.0124,0.4000,50,1.3312,0.6723,0.2941,34,1.4553,0.8744,0.3571,84,1.4553
GBPJPY,0.6000,2.0000,1.0000,2.5000,1.0212,0.2600,50,0.8796,0.5081,0.1765,34,1.5055,0.8099,0.2262,84,1.5055
GBPJPY,0.6000,2.0000,1.5000,3.0000,1.0747,0.3400,50,1.6481,0.8008,0.2941,34,1.2823,0.9697,0.3214,84,1.6481
GBPJPY,0.7000,1.5000,1.5000,2.0000,0.3847,0.2346,81,5.8107,0.7778,0.3636,55,1.4014,0.5144,0.2868,136,6.7718
GBPJPY,0.7000,1.5000,1.0000,2.5000,0.4118,0.1358,81,4.1446,0.4267,0.1455,55,2.1887,0.4173,0.1397,136,6.4349
GBPJPY,0.7000,1.5000,1.5000,3.0000,0.4914,0.2099,81,5.1969,0.3861,0.2182,55,4.0728,0.4511,0.2132,136,8.6839
GBPJPY,0.7000,1.8000,1.5000,2.0000,0.2118,0.1786,28,2.6821,0.5426,0.3000,20,1.2492,0.3384,0.2292,48,3.8152
GBPJPY,0.7000,1.8000,1.0000,2.5000,0.2986,0.1071,28,1.8637,0.5557,0.2000,20,1.0314,0.3992,0.1458,48,2.6432
GBPJPY,0.7000,1.8000,1.5000,3.0000,0.3171,0.1786,28,2.4303,0.2676,0.2000,20,2.0931,0.2962,0.1875,48,4.2578
GBPJPY,0.7000,2.0000,1.5000,2.0000,0.1874,0.1333,15,1.3093,0.5479,0.3000,10,0.8005,0.3160,0.2000,25,1.8888
GBPJPY,0.7000,2.0000,1.0000,2.5000,0.2238,0.0667,15,0.8729,0.4947,0.2000,10,0.7035,0.3279,0.1200,25,1.2546
GBPJPY,0.7000,2.0000,1.5000,3.0000,0.2811,0.1333,15,1.1467,0.5140,0.3000,10,0.8381,0.3642,0.2000,25,1.6143
EURUSD,0.4000,1.5000,1.5000,2.0000,0.6097,0.2874,421,0.0579,0.5816,0.2872,282,0.0411,0.5984,0.2873,703,0.0949
EURUSD,0.4000,1.5000,1.0000,2.5000,0.4509,0.1473,421,0.0667,0.5809,0.1738,282,0.0325,0.5012,0.1579,703,0.0951
EURUSD,0.4000,1.5000,1.5000,3.0000,0.6934,0.2423,421,0.0538,0.6171,0.2234,282,0.0431,0.6626,0.2347,703,0.0878
EURUSD,0.4000,1.8000,1.5000,2.0000,0.7190,0.3214,224,0.0240,0.5954,0.3000,150,0.0194,0.6716,0.3128,374,0.0409
EURUSD,0.4000,1.8000,1.0000,2.5000,0.5622,0.1696,224,0.0306,0.5096,0.1733,150,0.0184,0.5425,0.1711,374,0.0471
EURUSD,0.4000,1.8000,1.5000,3.0000,0.8813,0.2812,224,0.0188,0.5493,0.2200,150,0.0233,0.7499,0.2567,374,0.0361
EURUSD,0.4000,2.0000,1.5000,2.0000,0.6326,0.2889,135,0.0183,0.6174,0.3000,90,0.0109,0.6273,0.2933,225,0.0292
EURUSD,0.4000,2.0000,1.0000,2.5000,0.4967,0.1481,135,0.0211,0.5801,0.1889,90,0.0093,0.5253,0.1644,225,0.0296
EURUSD,0.4000,2.0000,1.5000,3.0000,0.7764,0.2444,135,0.0142,0.5977,0.2333,90,0.0119,0.7119,0.2400,225,0.0248
EURUSD,0.5000,1.5000,1.5000,2.0000,0.5952,0.2824,301,0.0420,0.6280,0.3020,202,0.0276,0.6082,0.2903,503,0.0667
EURUSD,0.5000,1.5000,1.0000,2.5000,0.4268,0.1329,301,0.0491,0.5994,0.1733,202,0.0220,0.4938,0.1491,503,0.0684
EURUSD,0.5000,1.5000,1.5000,3.0000,0.6557,0.2292,301,0.0425,0.6951,0.2376,202,0.0266,0.6713,0.2326,503,0.0611
EURUSD,0.5000,1.8000,1.5000,2.0000,0.6555,0.3032,155,0.0206,0.6387,0.3173,104,0.0126,0.6493,0.3089,259,0.0324
EURUSD,0.5000,1.8000,1.0000,2.5000,0.5047,0.1484,155,0.0236,0.5884,0.1923,104,0.0109,0.5350,0.1660,259,0.0344
EURUSD,0.5000,1.8000,1.5000,3.0000,0.8123,0.2645,155,0.0183,0.5980,0.2308,104,0.0148,0.7304,0.2510,259,0.0290
