pair,dc_period,tp_atr_mult,sl_atr_mult,adx_threshold,use_200ma,use_chop,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_hold_hours
USDJPY,60,3.0,2.0,25,False,True,177,40.11,1.028,54.63,15.3
GBPJPY,20,2.0,1.0,25,False,False,306,35.29,1.028,65.97,5.7
EURJPY,60,4.0,1.0,25,True,False,165,20.0,1.028,62.73,10.5
USDJPY,60,3.0,1.0,20,False,True,249,25.3,1.027,48.76,7.9
GBPJPY,20,3.0,1.0,20,True,False,316,25.63,1.027,69.54,8.2
EURJPY,40,3.0,1.0,25,True,False,194,25.77,1.027,66.44,8.4
GBPJPY,40,3.0,1.5,25,True,False,176,36.36,1.026,91.81,12.0
EURJPY,40,3.0,1.5,20,True,True,216,33.8,1.026,57.81,12.1
GBPJPY,20,4.0,1.0,25,False,False,247,22.67,1.026,100.42,11.2
EURUSD,60,2.0,1.0,25,True,False,221,34.39,1.026,56.25,4.7
GBPJPY,40,3.0,1.0,25,False,False,216,27.31,1.026,87.71,8.3
USDJPY,40,3.0,1.5,20,True,True,235,32.77,1.025,43.39,11.2
EURJPY,40,4.0,2.0,20,False,False,230,36.09,1.024,67.61,18.8
GBPUSD,40,4.0,1.0,25,False,False,241,22.82,1.024,34.78,9.8
GBPUSD,20,4.0,1.0,20,False,False,440,22.05,1.024,55.52,9.1
USDJPY,40,3.0,1.0,20,False,True,287,25.09,1.024,53.23,7.8
USDJPY,40,4.0,2.0,25,False,True,175,34.29,1.023,48.8,19.6
USDJPY,40,3.0,2.0,20,False,True,251,40.24,1.022,52.85,14.4
GBPJPY,20,4.0,1.5,25,False,False,220,29.55,1.022,104.04,15.2
EURJPY,40,3.0,1.0,25,False,False,209,25.84,1.022,59.64,8.5
EURJPY,40,3.0,1.0,20,False,True,268,25.0,1.022,55.71,7.6
USDJPY,60,3.0,1.0,25,False,True,196,23.98,1.021,46.86,8.7
USDJPY,60,2.0,1.5,25,False,True,194,42.78,1.021,43.8,9.2
EURUSD,40,4.0,1.0,30,False,False,154,22.08,1.02,31.46,9.1
EURJPY,60,3.0,1.5,20,False,False,229,34.93,1.019,50.81,11.7
EURJPY,20,3.0,1.0,20,True,True,271,25.09,1.019,66.98,8.1
EURJPY,40,4.0,2.0,25,True,True,138,34.78,1.019,68.6,22.0
USDJPY,20,3.0,1.5,25,False,True,259,33.59,1.019,50.76,12.6
EURJPY,60,4.0,1.0,25,True,True,146,19.86,1.019,70.12,10.7
GBPUSD,20,4.0,1.5,20,True,False,297,29.97,1.018,47.57,13.6
EURUSD,40,4.0,1.0,30,True,True,135,21.48,1.018,27.19,9.1
GBPJPY,40,2.0,1.0,25,True,False,224,34.82,1.018,68.65,5.5
GBPJPY,60,2.0,1.0,25,True,False,211,35.07,1.018,73.57,5.4
EURUSD,20,4.0,1.5,30,True,False,138,28.99,1.018,36.42,12.7
USDJPY,40,3.0,1.5,20,False,False,296,33.11,1.018,42.49,10.8
EURJPY,20,3.0,1.5,20,True,True,244,34.02,1.018,62.56,12.0
EURUSD,60,4.0,2.0,30,False,True,113,34.51,1.018,35.76,17.9
USDJPY,40,2.0,1.5,25,True,True,198,42.42,1.017,42.1,9.1
USDJPY,40,2.0,2.0,20,False,False,303,51.49,1.017,57.25,10.4
EURJPY,20,4.0,2.0,25,True,False,154,34.42,1.017,59.98,21.3
EURJPY,40,4.0,1.5,30,True,True,103,28.16,1.016,60.41,15.9
GBPUSD,20,4.0,1.0,20,True,True,310,22.58,1.016,47.57,9.9
EURJPY,20,4.0,2.0,25,False,True,171,35.67,1.016,53.03,20.4
GBPUSD,40,4.0,1.5,25,False,False,213,30.05,1.015,43.81,13.2
EURJPY,40,3.0,1.5,25,False,False,185,35.14,1.015,64.21,12.5
GBPJPY,40,4.0,2.0,25,False,False,165,35.15,1.014,95.04,20.2
EURUSD,60,2.0,1.5,30,True,False,150,44.0,1.014,26.95,6.5
USDJPY,60,2.0,1.5,25,False,False,214,42.52,1.014,46.83,8.6
USDJPY,60,2.0,2.0,25,False,False,206,50.49,1.013,53.13,11.2
GBPJPY,60,4.0,1.5,30,False,False,120,28.33,1.013,74.82,14.5
USDJPY,20,2.0,1.0,25,False,True,307,34.53,1.012,44.3,6.5
USDJPY,60,3.0,1.0,25,True,True,188,23.94,1.012,61.6,8.6
EURUSD,40,4.0,2.0,20,False,False,261,34.48,1.012,38.35,17.3
EURUSD,60,4.0,2.0,30,False,False,121,34.71,1.012,36.61,16.8
GBPUSD,40,3.0,1.0,20,True,False,317,26.81,1.012,39.22,7.5
EURJPY,20,4.0,2.0,30,False,True,116,34.48,1.011,49.49,20.6
EURUSD,20,2.0,2.0,20,True,True,307,51.79,1.011,39.8,9.8
USDJPY,60,3.0,2.0,25,False,False,188,40.43,1.01,57.76,15.4
EURJPY,20,4.0,1.0,25,False,True,196,20.41,1.01,49.6,10.6
EURUSD,60,2.0,2.0,20,True,True,242,50.83,1.01,52.08,9.4
EURJPY,60,3.0,1.5,30,True,False,119,35.29,1.01,46.51,12.2
GBPJPY,40,4.0,1.5,25,False,True,164,29.88,1.009,97.31,15.5
GBPJPY,40,4.0,2.0,25,False,True,153,34.64,1.009,88.54,20.4
EURUSD,40,2.0,1.5,30,True,False,158,43.67,1.009,24.1,6.7
GBPJPY,40,2.0,1.0,30,False,True,152,33.55,1.009,66.67,5.5
USDJPY,60,3.0,1.5,25,False,False,198,32.32,1.008,53.5,11.7
GBPUSD,40,2.0,1.0,25,True,True,249,36.14,1.008,32.05,5.3
EURUSD,40,2.0,1.5,25,True,False,220,43.18,1.008,34.16,7.1
EURUSD,40,4.0,2.0,30,False,False,132,34.09,1.007,38.69,17.7
USDJPY,20,2.0,1.5,25,True,False,239,42.26,1.006,52.33,9.1
EURUSD,60,3.0,1.5,25,True,True,170,34.12,1.006,24.36,9.1
EURJPY,60,3.0,1.0,20,False,False,258,25.58,1.006,62.73,7.7
EURJPY,60,3.0,1.5,30,False,False,122,35.25,1.006,43.59,12.3
EURUSD,60,3.0,1.0,30,False,True,137,27.01,1.006,30.03,6.9
EURUSD,60,4.0,2.0,20,False,False,222,33.78,1.006,53.15,16.2
EURJPY,40,3.0,1.0,20,True,False,271,24.72,1.005,63.57,7.7
EURJPY,20,3.0,1.5,25,False,True,188,34.57,1.005,41.45,12.8
USDJPY,60,3.0,1.5,20,True,True,218,32.57,1.005,48.71,11.3
EURJPY,20,4.0,1.0,20,False,False,366,20.77,1.004,77.85,10.0
GBPJPY,60,4.0,1.0,30,True,True,115,21.74,1.004,69.7,10.0
EURJPY,60,3.0,2.0,20,True,True,184,41.3,1.004,62.71,15.5
EURUSD,20,4.0,2.0,20,False,False,309,35.28,1.004,46.68,17.9
EURUSD,60,4.0,1.5,30,True,False,127,28.35,1.004,36.78,12.1
EURJPY,20,3.0,1.0,30,True,True,124,25.0,1.004,50.25,9.1
GBPUSD,20,2.0,1.0,25,True,False,298,36.24,1.003,34.08,5.2
GBPUSD,40,3.0,1.0,25,False,True,246,27.24,1.003,43.16,7.5
EURJPY,20,4.0,1.0,30,True,False,137,18.98,1.003,57.76,10.4
USDJPY,60,2.0,1.0,20,True,True,254,34.25,1.003,36.92,5.9
GBPUSD,20,2.0,1.0,25,True,True,268,36.19,1.003,28.83,5.4
GBPUSD,60,4.0,1.5,20,True,True,225,28.44,1.003,42.32,12.8
GBPJPY,20,4.0,1.0,25,True,True,175,21.14,1.003,80.76,10.4
GBPUSD,60,2.0,1.5,25,True,True,216,44.91,1.002,37.86,7.1
USDJPY,60,2.0,1.0,25,True,False,225,32.89,1.002,37.14,6.0
EURUSD,40,3.0,1.5,25,True,False,193,33.68,1.001,28.37,10.3
GBPJPY,40,2.0,1.5,30,False,False,154,42.86,1.001,76.62,8.5
GBPJPY,40,4.0,2.0,30,False,False,117,35.04,1.001,97.87,20.9
USDJPY,40,2.0,1.5,25,True,False,216,42.13,1.0,46.82,8.7
EURUSD,60,3.0,1.0,30,False,False,147,26.53,1.0,34.54,7.1
GBPJPY,60,3.0,1.0,20,False,False,261,25.67,1.0,81.41,8.0
EURUSD,40,4.0,1.5,30,True,False,134,27.61,1.0,39.35,12.4
USDJPY,40,2.0,2.0,20,True,False,267,50.94,1.0,57.55,11.4
USDJPY,40,2.0,2.0,20,False,True,279,50.9,1.0,68.04,10.7
EURJPY,40,2.0,1.0,20,False,True,297,31.99,1.0,71.61,5.6
GBPJPY,40,2.0,2.0,30,False,True,137,50.36,0.999,53.01,12.0
GBPUSD,20,4.0,1.5,20,False,True,337,29.97,0.999,49.06,13.0
EURUSD,60,2.0,1.0,20,True,False,292,33.9,0.999,64.7,4.8
USDJPY,20,3.0,1.5,25,False,False,279,33.33,0.999,72.47,12.4
GBPJPY,20,2.0,1.0,25,True,False,246,34.55,0.999,75.44,5.6
USDJPY,60,2.0,1.5,25,True,True,186,42.47,0.998,47.22,9.3
USDJPY,40,3.0,1.0,25,True,True,200,24.0,0.998,62.46,8.3
GBPJPY,60,2.0,1.0,30,False,True,141,33.33,0.998,70.95,5.6
EURJPY,20,3.0,1.0,30,False,True,142,25.35,0.998,46.34,9.0
EURJPY,60,2.0,1.0,30,True,False,146,32.88,0.998,48.38,5.9
GBPJPY,60,3.0,1.0,25,False,False,199,27.14,0.998,82.82,8.0
USDJPY,60,3.0,1.5,25,True,False,189,32.28,0.998,59.3,11.9
GBPJPY,40,3.0,1.0,30,True,True,126,25.4,0.998,83.47,8.1
USDJPY,60,3.0,1.5,25,True,True,176,31.82,0.998,60.2,12.1
USDJPY,40,2.0,2.0,25,True,False,208,49.52,0.997,52.4,11.7
EURJPY,40,4.0,2.0,30,True,False,109,33.03,0.997,54.42,19.3
USDJPY,20,3.0,1.0,20,False,False,432,25.46,0.997,81.48,7.9
USDJPY,60,2.0,1.5,25,True,False,203,42.36,0.997,47.77,8.8
EURUSD,60,2.0,1.0,25,True,True,204,33.33,0.997,57.33,4.6
USDJPY,60,3.0,1.5,20,False,True,230,32.61,0.996,43.91,11.2
GBPJPY,20,4.0,2.0,30,True,True,110,33.64,0.995,92.01,20.2
EURUSD,40,2.0,1.5,30,False,False,166,44.58,0.995,28.68,7.2
EURUSD,60,2.0,2.0,20,False,True,255,50.59,0.995,45.42,10.1
GBPJPY,40,3.0,1.0,30,True,False,141,24.82,0.995,73.99,8.1
EURUSD,60,2.0,1.5,25,True,False,204,43.14,0.995,40.77,6.6
USDJPY,20,2.0,2.0,20,True,False,319,50.47,0.994,60.81,11.1
USDJPY,20,2.0,1.5,25,False,False,310,42.58,0.994,77.81,8.9
USDJPY,40,3.0,1.5,25,True,False,201,32.34,0.994,59.42,11.8
EURJPY,20,2.0,2.0,30,False,False,160,49.38,0.994,36.79,10.2
USDJPY,40,3.0,1.0,20,False,False,328,25.0,0.993,52.93,7.3
EURUSD,60,2.0,2.0,30,False,True,135,48.89,0.993,36.38,9.5
EURJPY,60,4.0,1.5,30,True,True,99,28.28,0.993,67.36,15.9
USDJPY,20,2.0,2.0,25,True,False,229,49.34,0.993,56.65,11.7
GBPUSD,60,3.0,1.0,25,True,True,215,26.51,0.993,34.32,7.6
EURUSD,60,3.0,1.5,25,False,False,189,33.86,0.993,30.06,9.6
EURJPY,40,3.0,1.5,20,False,True,237,33.33,0.992,61.82,11.8
USDJPY,60,3.0,1.0,20,True,False,269,24.54,0.992,42.24,7.5
EURJPY,20,3.0,2.0,25,False,False,208,41.35,0.992,71.65,16.2
GBPUSD,40,2.0,1.0,25,True,False,274,35.77,0.992,35.43,5.3
GBPUSD,20,3.0,1.0,20,False,False,479,26.3,0.992,40.29,7.3
EURJPY,60,3.0,2.0,30,False,True,104,41.35,0.991,56.41,16.7
USDJPY,20,3.0,1.5,20,False,False,388,34.02,0.991,81.81,11.3
USDJPY,60,3.0,1.0,25,False,False,216,23.61,0.991,53.06,8.3
USDJPY,40,4.0,1.5,25,False,True,186,26.34,0.991,43.14,15.1
USDJPY,60,3.0,2.0,25,True,True,171,39.18,0.991,55.29,15.1
GBPUSD,60,4.0,1.0,25,True,True,196,22.45,0.99,30.27,9.5
USDJPY,60,2.0,1.0,20,False,True,269,34.2,0.99,48.42,5.9
USDJPY,20,3.0,1.5,20,True,True,270,32.59,0.99,47.95,11.6
EURJPY,40,2.0,1.0,30,True,False,150,32.67,0.989,48.57,6.2
USDJPY,40,3.0,2.0,25,True,True,181,39.23,0.989,53.71,15.1
GBPJPY,20,3.0,1.0,25,True,False,217,26.27,0.989,89.75,8.3
EURJPY,60,4.0,2.0,30,True,False,105,33.33,0.989,53.3,19.5
EURUSD,60,4.0,2.0,20,True,True,196,33.67,0.989,46.91,17.1
GBPJPY,20,3.0,1.0,30,True,False,155,24.52,0.989,72.12,8.2
EURJPY,40,2.0,1.0,20,True,True,266,31.58,0.989,70.82,5.8
GBPJPY,20,3.0,1.5,20,False,False,352,34.09,0.989,99.82,11.7
EURJPY,40,3.0,2.0,30,True,False,115,40.0,0.988,48.06,16.3
GBPUSD,20,4.0,1.0,20,True,False,341,21.99,0.988,52.85,9.6
EURJPY,60,3.0,2.0,20,False,True,192,41.15,0.988,60.79,15.5
EURJPY,20,2.0,2.0,25,False,False,244,49.59,0.988,61.62,10.8
GBPJPY,40,3.0,2.0,30,False,True,120,41.67,0.988,102.79,17.3
EURUSD,20,4.0,1.0,30,True,True,140,21.43,0.987,30.58,9.2
GBPUSD,20,3.0,1.0,20,False,True,430,26.51,0.987,39.88,7.3
GBPUSD,60,4.0,1.0,25,False,False,221,22.17,0.987,30.57,9.6
USDJPY,20,4.0,2.0,20,False,False,296,36.15,0.987,136.02,19.3
GBPUSD,60,4.0,1.5,30,False,False,149,29.53,0.986,43.08,11.7
EURJPY,40,4.0,2.0,30,False,True,105,33.33,0.986,52.29,20.6
GBPUSD,60,2.0,1.5,20,True,True,274,44.16,0.986,32.25,7.0
EURUSD,40,4.0,1.5,20,False,False,284,27.82,0.986,40.85,13.0
GBPUSD,20,4.0,2.0,30,False,True,156,37.18,0.986,40.26,18.2
EURUSD,60,4.0,2.0,30,True,True,111,34.23,0.986,35.76,17.4
GBPUSD,60,4.0,1.0,25,True,False,212,22.17,0.986,31.6,9.4
USDJPY,60,2.0,2.0,25,True,False,195,49.74,0.985,54.0,11.5
GBPUSD,20,3.0,1.5,25,True,True,220,35.45,0.985,45.42,10.0
GBPJPY,60,4.0,2.0,25,False,True,139,34.53,0.985,75.82,20.0
GBPJPY,40,4.0,1.0,25,True,True,162,20.99,0.985,84.3,10.1
EURJPY,60,4.0,1.0,30,True,False,124,18.55,0.985,61.39,10.0
EURJPY,40,2.0,1.0,20,False,False,340,32.65,0.985,76.79,5.6
EURJPY,40,2.0,1.0,20,True,False,300,32.67,0.984,72.63,5.8
EURUSD,60,3.0,2.0,30,False,False,130,40.0,0.984,47.55,14.1
EURJPY,20,2.0,1.5,20,True,True,279,42.29,0.983,69.09,8.1
EURUSD,20,2.0,1.5,30,True,False,166,43.37,0.983,25.96,6.9
GBPJPY,60,2.0,1.5,30,False,False,146,42.47,0.983,76.14,8.5
GBPUSD,40,4.0,1.5,25,False,True,200,30.0,0.983,49.75,13.0
EURJPY,20,3.0,1.0,20,True,False,313,24.6,0.983,68.52,7.6
EURJPY,60,2.0,1.5,20,False,False,260,43.08,0.983,52.71,8.2
GBPUSD,20,3.0,1.5,20,True,True,304,34.87,0.983,42.09,10.6
USDJPY,20,3.0,1.5,20,False,True,341,33.43,0.982,62.33,11.6
EURUSD,60,4.0,2.0,30,True,False,119,34.45,0.982,38.19,16.3
EURUSD,40,4.0,2.0,20,True,False,231,34.2,0.982,41.08,16.4
GBPUSD,20,4.0,2.0,30,True,True,137,36.5,0.982,39.89,17.3
GBPJPY,20,3.0,1.0,25,False,False,270,26.3,0.982,90.77,8.9
GBPJPY,20,2.0,1.0,30,False,True,179,34.08,0.982,76.46,5.9
GBPUSD,40,4.0,2.0,25,True,True,175,36.0,0.981,48.77,17.5
EURJPY,60,3.0,2.0,30,True,True,103,40.78,0.981,60.36,16.5
GBPUSD,60,3.0,1.0,25,True,False,234,26.07,0.981,40.49,7.5
GBPUSD,40,4.0,1.5,20,True,True,238,29.41,0.981,47.0,13.2
GBPJPY,40,4.0,2.0,30,False,True,112,33.93,0.981,97.17,21.0
USDJPY,20,4.0,1.0,20,False,True,335,20.0,0.98,55.57,11.1
GBPJPY,60,3.0,1.0,20,True,False,246,25.61,0.98,89.97,8.0
USDJPY,20,2.0,1.5,25,True,True,219,42.01,0.98,55.45,9.6
GBPUSD,20,2.0,1.0,20,True,False,419,35.32,0.98,33.72,5.2
GBPJPY,60,3.0,1.0,30,True,False,137,24.82,0.98,69.76,8.0
GBPJPY,40,4.0,1.5,25,True,True,151,29.14,0.979,95.36,14.8
USDJPY,20,4.0,1.0,25,False,False,278,20.14,0.979,69.7,11.8
EURJPY,20,4.0,2.0,20,False,True,264,35.61,0.979,86.62,19.6
USDJPY,20,2.0,1.5,25,False,True,282,42.2,0.979,64.51,9.3
USDJPY,60,3.0,1.0,25,True,False,205,23.41,0.978,61.26,8.5
EURUSD,60,2.0,2.0,20,True,False,259,50.19,0.978,51.06,8.9
EURJPY,60,2.0,1.5,20,True,False,248,43.15,0.978,56.54,8.1
GBPJPY,20,3.0,1.0,30,False,True,163,26.38,0.978,92.17,8.8
GBPUSD,40,2.0,1.5,20,True,True,297,45.12,0.978,38.99,6.9
EURUSD,20,4.0,2.0,20,False,True,289,34.95,0.977,36.33,18.6
GBPJPY,40,2.0,2.0,30,True,False,140,50.0,0.977,73.68,12.0
GBPJPY,40,3.0,1.0,20,False,False,300,25.0,0.976,100.06,8.2
GBPJPY,60,4.0,1.0,30,False,True,121,21.49,0.976,74.51,10.0
EURUSD,60,2.0,2.0,20,False,False,274,50.0,0.976,46.19,9.3
EURJPY,20,4.0,2.0,20,True,False,242,34.71,0.976,72.6,18.9
EURUSD,60,2.0,2.0,25,False,True,190,48.95,0.976,52.08,9.9
USDJPY,40,4.0,1.0,25,False,True,206,18.45,0.976,47.97,10.8
EURJPY,40,3.0,2.0,20,True,True,205,40.0,0.976,73.88,15.2
GBPUSD,20,4.0,2.0,20,True,True,253,35.57,0.976,59.35,17.5
EURJPY,60,2.0,2.0,20,True,True,214,49.53,0.975,61.72,10.5
USDJPY,40,3.0,1.0,20,True,False,293,24.57,0.975,49.89,7.3
GBPUSD,40,4.0,2.0,25,False,False,197,36.04,0.975,51.59,17.5
USDJPY,40,2.0,1.5,30,False,False,168,41.67,0.975,57.41,8.4
EURUSD,20,2.0,2.0,20,True,False,331,51.06,0.975,36.78,9.3
GBPJPY,20,2.0,2.0,30,True,False,152,50.0,0.975,70.33,11.8
GBPUSD,60,4.0,1.5,30,True,False,148,29.05,0.975,43.09,11.6
USDJPY,40,2.0,1.5,20,False,True,289,41.87,0.974,45.95,8.4
USDJPY,40,3.0,2.0,20,False,False,276,39.86,0.974,63.38,14.1
GBPUSD,20,3.0,2.0,25,False,False,262,42.37,0.974,61.78,13.1
EURUSD,60,2.0,1.0,20,True,True,265,33.58,0.974,66.89,5.0
GBPUSD,20,3.0,1.0,30,False,False,228,26.75,0.974,36.92,7.7
USDJPY,20,3.0,1.0,20,True,True,294,24.49,0.974,51.84,8.3
USDJPY,20,2.0,1.5,20,True,True,294,41.84,0.974,52.16,9.0
GBPJPY,60,2.0,2.0,30,True,False,134,50.0,0.974,80.46,12.2
GBPJPY,20,4.0,2.0,30,True,False,119,33.61,0.973,99.44,20.5
EURUSD,60,2.0,1.5,30,False,False,153,43.14,0.973,30.17,6.8
USDJPY,40,2.0,2.0,25,True,True,195,48.72,0.973,54.32,11.8
GBPUSD,20,2.0,1.0,20,True,True,374,35.03,0.972,32.94,5.3
USDJPY,20,3.0,1.0,20,False,True,375,24.8,0.972,82.1,8.3
GBPUSD,60,3.0,1.0,25,False,False,243,25.93,0.971,43.16,7.5
EURUSD,60,4.0,1.5,30,False,False,130,27.69,0.971,41.03,12.6
GBPUSD,40,4.0,2.0,30,True,True,135,35.56,0.971,40.88,16.7
USDJPY,20,4.0,1.0,30,False,True,171,20.47,0.97,72.13,11.5
EURUSD,40,3.0,1.0,30,True,True,142,26.06,0.97,34.13,6.9
EURUSD,20,2.0,1.0,30,False,False,204,34.8,0.97,24.95,5.0
USDJPY,40,2.0,2.0,20,True,True,245,49.8,0.97,65.45,11.6
EURUSD,40,4.0,1.5,30,False,False,141,27.66,0.97,37.8,13.2
USDJPY,20,4.0,2.0,20,False,True,271,35.06,0.969,119.19,19.8
GBPUSD,40,4.0,2.0,25,True,False,185,35.68,0.969,50.55,17.0
EURJPY,20,4.0,1.5,20,False,False,308,27.92,0.969,86.6,15.2
USDJPY,40,4.0,2.0,25,False,False,187,33.69,0.969,67.39,19.0
GBPUSD,40,2.0,1.0,20,True,False,355,34.93,0.969,38.23,5.2
USDJPY,20,2.0,2.0,20,True,True,282,49.65,0.969,62.42,11.4
EURJPY,20,2.0,1.0,30,True,False,161,31.68,0.968,46.65,6.2
GBPJPY,40,4.0,1.0,25,False,True,178,20.79,0.968,93.4,10.3
GBPUSD,60,4.0,1.5,20,True,False,242,27.27,0.968,51.75,12.7
GBPUSD,20,4.0,1.0,30,False,True,190,22.63,0.968,31.57,10.0
EURJPY,20,4.0,1.0,30,True,True,118,18.64,0.968,66.07,10.9
EURUSD,40,2.0,2.0,20,True,True,268,49.63,0.968,48.5,9.5
GBPUSD,40,2.0,1.0,20,True,True,326,34.97,0.968,38.39,5.2
USDJPY,40,2.0,1.5,20,False,False,323,41.8,0.967,48.27,7.9
GBPUSD,40,2.0,1.5,25,True,True,230,45.22,0.967,45.04,7.0
EURUSD,40,3.0,2.0,30,False,False,143,39.86,0.967,46.36,14.4
GBPJPY,40,4.0,2.0,25,True,True,141,33.33,0.967,89.51,20.3
GBPUSD,40,3.0,1.0,20,False,False,368,25.82,0.967,47.92,7.2
GBPUSD,40,3.0,1.5,20,True,True,267,35.21,0.967,46.84,10.3
EURJPY,40,3.0,1.5,20,True,False,242,33.06,0.967,78.28,11.4
USDJPY,20,4.0,1.0,30,False,False,189,21.16,0.966,89.94,11.7
EURUSD,40,2.0,2.0,20,False,False,324,50.31,0.966,38.88,9.6
EURUSD,60,2.0,1.5,20,True,False,275,42.55,0.966,53.75,6.6
GBPUSD,40,2.0,2.0,20,True,True,284,51.41,0.966,46.38,9.0
EURJPY,60,2.0,2.0,20,True,False,231,49.78,0.965,72.69,10.9
GBPJPY,40,4.0,2.0,30,True,False,110,33.64,0.965,102.68,20.2
EURJPY,60,2.0,2.0,20,False,True,223,49.33,0.965,56.88,10.4
EURUSD,60,4.0,1.5,20,True,False,226,27.43,0.965,53.04,12.6
EURUSD,40,4.0,2.0,30,True,False,126,33.33,0.965,39.37,16.5
USDJPY,20,3.0,2.0,25,False,False,261,39.85,0.965,85.06,15.8
USDJPY,20,2.0,1.5,20,True,False,342,41.52,0.965,63.87,8.5
USDJPY,40,3.0,1.5,20,True,False,263,31.94,0.965,55.07,11.1
GBPJPY,20,3.0,1.5,20,True,False,285,33.33,0.965,91.45,11.8
GBPUSD,40,4.0,2.0,30,False,True,140,35.71,0.965,43.9,16.9
GBPUSD,40,4.0,2.0,25,False,True,186,36.02,0.965,54.36,17.9
EURJPY,20,2.0,1.0,20,True,True,301,31.23,0.964,70.21,5.7
USDJPY,60,2.0,1.0,20,False,False,308,32.79,0.963,41.04,5.5
EURJPY,20,4.0,1.0,30,False,False,159,18.87,0.963,55.6,10.1
USDJPY,60,2.0,2.0,25,False,True,190,48.95,0.963,62.14,11.4
GBPJPY,40,3.0,1.0,30,False,True,139,25.18,0.963,92.54,7.9
USDJPY,60,3.0,2.0,25,True,False,181,39.23,0.963,63.63,15.0
GBPUSD,60,2.0,2.0,20,True,True,261,50.19,0.962,38.82,9.1
EURUSD,40,2.0,1.0,25,True,False,240,32.5,0.962,61.96,4.8
EURJPY,20,3.0,1.0,30,True,False,145,24.14,0.962,55.84,8.9
EURUSD,60,2.0,2.0,30,True,True,132,48.48,0.962,36.38,9.1
USDJPY,60,3.0,1.0,20,False,False,286,24.13,0.962,49.39,7.3
USDJPY,60,2.0,2.0,25,True,True,182,48.9,0.961,57.51,11.6
GBPUSD,40,4.0,1.0,20,False,False,331,20.85,0.961,53.31,9.1
EURUSD,60,3.0,2.0,30,True,False,127,40.16,0.961,55.35,13.7
GBPUSD,40,4.0,1.0,25,False,True,225,22.22,0.961,46.11,9.6
USDJPY,40,3.0,2.0,25,True,False,192,39.06,0.961,65.27,15.2
GBPJPY,40,3.0,1.0,30,False,False,154,24.68,0.961,83.25,8.0
EURUSD,60,2.0,1.0,25,False,False,231,32.9,0.961,57.83,4.7
GBPUSD,20,2.0,2.0,20,True,True,323,51.7,0.961,49.06,9.2
USDJPY,40,2.0,1.0,30,False,False,180,32.78,0.96,54.16,6.2
EURJPY,20,4.0,1.5,20,False,True,281,27.76,0.96,91.9,15.6
GBPUSD,20,3.0,1.5,25,False,True,263,35.36,0.96,48.83,9.8
GBPUSD,20,3.0,2.0,20,True,True,281,40.93,0.96,43.08,13.2
GBPJPY,40,2.0,1.5,30,True,False,145,42.07,0.959,85.43,8.4
EURUSD,40,3.0,1.0,30,True,False,153,25.49,0.959,39.7,7.2
EURUSD,20,3.0,2.0,25,True,False,206,41.75,0.959,59.37,13.3
EURUSD,40,4.0,2.0,30,False,True,125,32.8,0.959,40.07,18.0
EURUSD,60,2.0,1.5,25,True,True,190,41.58,0.958,43.7,6.5
EURUSD,40,2.0,2.0,25,False,True,218,49.54,0.958,45.02,10.4
USDJPY,40,2.0,1.0,25,True,True,217,32.72,0.958,47.03,6.2
EURUSD,60,4.0,1.0,20,True,True,230,20.0,0.958,67.7,8.9
GBPUSD,20,4.0,1.0,30,True,False,178,22.47,0.958,35.14,9.3
EURJPY,20,3.0,2.0,20,True,True,230,40.0,0.958,76.76,15.3
GBPUSD,20,3.0,1.5,20,False,True,373,34.58,0.958,49.87,10.5
EURUSD,40,3.0,1.0,30,False,False,161,26.09,0.958,36.32,7.4
EURJPY,40,4.0,2.0,25,True,False,152,32.89,0.958,75.56,20.9
EURJPY,60,4.0,2.0,30,False,True,100,33.0,0.958,64.8,20.7
GBPJPY,20,4.0,1.5,25,True,True,165,28.48,0.958,101.53,14.7
GBPJPY,40,3.0,2.0,30,False,False,128,40.62,0.957,104.74,17.3
GBPJPY,20,4.0,1.5,30,False,False,155,27.74,0.957,113.91,14.7
EURJPY,20,2.0,1.0,30,False,False,187,31.55,0.957,46.09,6.1
GBPJPY,60,2.0,2.0,30,False,True,128,49.22,0.957,69.56,12.3
USDJPY,20,3.0,2.0,25,False,True,245,39.59,0.957,91.28,15.9
EURUSD,60,4.0,1.0,20,True,False,254,20.08,0.957,74.42,8.6
GBPUSD,60,2.0,1.5,25,True,False,234,43.59,0.956,46.37,7.3
USDJPY,40,3.0,1.0,25,True,False,219,23.29,0.956,65.54,8.2
EURUSD,40,2.0,2.0,20,False,True,305,50.16,0.956,42.86,10.2
EURJPY,20,3.0,1.0,25,False,False,253,24.51,0.955,65.25,8.4
GBPJPY,60,4.0,1.5,25,True,True,141,29.08,0.955,83.44,14.1
USDJPY,40,2.0,1.0,20,False,True,314,33.12,0.955,56.55,5.7
EURJPY,60,2.0,2.0,20,False,False,243,49.38,0.955,67.8,10.8
GBPJPY,20,2.0,1.5,30,True,False,159,42.14,0.955,86.63,8.3
EURUSD,40,3.0,1.5,25,True,True,184,32.61,0.954,27.78,9.8
EURUSD,40,4.0,2.0,30,True,True,119,32.77,0.954,38.47,17.3
EURUSD,40,2.0,2.0,20,True,False,285,49.47,0.954,42.19,9.0
GBPUSD,60,2.0,1.0,25,True,True,237,34.6,0.954,31.88,5.3
GBPUSD,40,3.0,1.5,25,True,True,207,35.27,0.954,48.55,9.9
