pair,dc_period,tp_atr_mult,sl_atr_mult,adx_threshold,use_200ma,use_chop,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_hold_hours
EURJPY,20,3.0,1.0,25,True,True,173,27.75,1.148,42.38,8.9
EURJPY,60,4.0,1.5,25,True,False,143,31.47,1.147,51.33,16.1
GBPJPY,40,2.0,1.0,30,True,False,155,36.13,1.144,47.7,5.8
EURJPY,60,3.0,2.0,25,False,False,156,44.23,1.144,44.5,16.2
EURJPY,60,4.0,1.0,20,True,True,203,22.17,1.143,56.69,10.6
EURJPY,20,3.0,1.5,30,True,False,128,37.5,1.143,30.48,12.7
EURJPY,40,2.0,2.0,25,True,True,167,52.1,1.143,41.8,11.4
EURJPY,40,2.0,2.0,30,True,True,116,52.59,1.142,27.36,11.0
GBPJPY,40,4.0,1.0,30,False,False,140,23.57,1.142,64.5,10.1
USDJPY,40,3.0,2.0,25,False,True,197,42.13,1.14,38.09,15.2
EURJPY,20,2.0,1.0,25,False,True,231,35.06,1.139,38.02,6.0
EURJPY,20,2.0,1.5,25,True,False,207,45.89,1.138,33.65,8.4
GBPJPY,20,2.0,1.0,30,True,False,169,36.09,1.138,47.94,5.8
EURJPY,40,4.0,1.5,25,False,True,147,31.29,1.137,44.59,16.4
GBPJPY,20,4.0,1.0,30,True,False,144,22.92,1.137,56.6,10.1
EURJPY,40,4.0,1.0,20,False,True,251,21.91,1.136,40.34,10.1
EURJPY,40,3.0,1.5,25,False,True,158,37.34,1.136,31.79,12.8
EURJPY,20,4.0,1.5,20,True,True,228,30.7,1.134,48.8,16.0
EURJPY,60,2.0,2.0,25,False,False,176,52.84,1.133,37.64,10.9
EURJPY,40,4.0,1.5,20,True,False,223,30.49,1.133,42.75,15.0
EURJPY,40,4.0,1.5,20,True,True,203,30.05,1.132,46.58,16.1
EURUSD,40,2.0,1.0,30,False,False,174,37.36,1.131,18.13,5.0
GBPUSD,20,4.0,1.0,25,False,False,291,24.4,1.131,28.68,10.0
EURJPY,40,4.0,1.0,25,False,False,193,21.76,1.129,35.72,10.5
GBPUSD,20,4.0,2.0,25,False,False,227,39.65,1.128,29.92,18.4
EURUSD,60,2.0,1.0,30,False,True,147,36.05,1.128,23.66,4.7
GBPUSD,60,4.0,2.0,30,False,True,130,38.46,1.127,26.42,17.1
EURJPY,20,4.0,1.5,30,True,True,105,30.48,1.125,44.74,16.6
EURJPY,40,2.0,1.0,30,False,True,134,35.07,1.124,33.53,6.5
EURJPY,20,4.0,1.5,25,True,False,160,30.62,1.122,47.11,16.7
EURJPY,20,4.0,1.0,20,True,False,293,21.84,1.122,46.3,9.9
EURJPY,60,2.0,1.5,30,False,False,136,46.32,1.121,33.08,7.9
EURJPY,40,3.0,1.5,30,False,False,127,37.01,1.119,29.7,12.7
EURJPY,60,4.0,1.5,30,False,False,112,30.36,1.118,49.09,15.0
GBPJPY,40,4.0,1.0,30,True,False,132,22.73,1.117,63.65,9.8
EURJPY,60,3.0,1.0,25,False,True,158,27.85,1.116,56.93,8.4
EURJPY,60,3.0,1.5,20,True,True,192,36.46,1.116,33.73,12.6
EURJPY,20,4.0,2.0,25,True,True,141,36.88,1.115,46.41,22.2
EURJPY,40,4.0,1.0,25,True,True,157,21.02,1.115,50.23,11.2
EURUSD,20,2.0,1.0,30,True,False,174,36.78,1.114,24.1,4.8
EURJPY,20,2.0,1.0,25,True,False,228,34.65,1.114,38.25,6.1
EURJPY,60,2.0,2.0,30,False,True,116,52.59,1.113,44.9,10.3
EURJPY,60,3.0,1.5,25,False,False,164,37.8,1.113,48.35,12.3
USDJPY,40,2.0,1.5,25,False,True,220,44.09,1.113,35.22,8.8
GBPJPY,40,4.0,1.5,25,True,False,164,31.1,1.112,72.96,15.0
GBPJPY,20,4.0,1.0,30,False,True,151,23.84,1.111,67.03,11.2
EURJPY,20,3.0,1.0,25,True,False,203,27.09,1.111,46.72,8.6
GBPJPY,60,2.0,1.0,30,True,False,149,35.57,1.111,55.22,5.7
EURJPY,40,3.0,2.0,25,True,True,146,43.15,1.111,49.87,17.1
EURJPY,40,4.0,2.0,30,False,False,112,35.71,1.11,37.65,19.5
EURJPY,60,2.0,1.0,25,True,False,197,35.03,1.109,48.62,5.6
EURJPY,60,3.0,2.0,25,True,False,151,43.71,1.109,56.44,16.1
EURJPY,40,4.0,1.5,25,True,True,140,30.71,1.109,59.16,16.8
GBPJPY,40,4.0,1.0,30,False,True,129,23.26,1.108,67.23,10.0
EURJPY,60,3.0,1.5,20,False,True,200,36.5,1.108,35.34,12.6
EURUSD,60,4.0,1.0,30,False,False,141,23.4,1.107,27.09,8.8
EURUSD,40,2.0,1.0,30,True,True,152,35.53,1.107,23.34,4.7
EURUSD,60,4.0,1.0,30,True,True,126,23.02,1.107,25.66,9.3
GBPJPY,60,2.0,2.0,30,False,False,138,52.9,1.106,54.25,12.3
EURJPY,20,3.0,2.0,30,False,True,124,43.55,1.106,32.24,16.8
GBPJPY,40,4.0,1.5,30,False,False,126,30.16,1.105,85.01,15.0
USDJPY,40,3.0,1.5,25,False,False,220,34.09,1.104,41.81,11.6
GBPUSD,20,4.0,2.0,25,False,True,213,39.44,1.104,27.36,18.9
GBPUSD,60,4.0,1.5,25,True,True,173,31.21,1.103,28.32,12.9
EURJPY,60,2.0,2.0,30,True,True,113,52.21,1.102,45.4,10.7
GBPJPY,40,2.0,1.0,30,False,False,167,35.93,1.101,58.93,5.8
