window_d,entry_z,time_exit_h,hl_cap,is_pf,is_sharpe,is_maxdd%,is_wr,is_n,is_hl,oos_pf,oos_sharpe,oos_maxdd%,oos_wr,oos_n,oos_hl
30,1.5,24,none,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,1.5,24,48,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,1.5,24,72,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,1.5,48,none,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,1.5,48,48,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,1.5,48,72,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,1.5,72,none,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,1.5,72,48,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,1.5,72,72,0.09626046394978438,-16.249287412585236,15.730937706262239,10.741687979539643,391,0.25806294686401376,0.1969218951773533,-10.287741955316111,6.726188294882595,19.65065502183406,229,0.39226561710098845
30,2.0,24,none,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.0,24,48,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.0,24,72,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.0,48,none,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.0,48,48,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.0,48,72,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.0,72,none,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.0,72,48,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.0,72,72,0.10483314070944552,-14.664609726584155,10.324334922425905,12.598425196850393,254,0.25154840509808474,0.27818857212106424,-8.097176357966468,4.064792380487791,23.636363636363637,165,0.39075501878857516
30,2.5,24,none,0.11047037222860422,-13.156012862318224,7.526136141279693,13.259668508287293,181,0.2518578529911442,0.2760236837723494,-8.366767798827292,2.839181895707732,22.807017543859647,114,0.3852456804884506
30,2.5,24,48,0.11047037222860422,-13.156012862318224,7.526136141279693,13.259668508287293,181,0.2518578529911442,0.2760236837723494,-8.366767798827292,2.839181895707732,22.807017543859647,114,0.3852456804884506
30,2.5,24,72,0.11047037222860422,-13.156012862318224,7.526136141279693,13.259668508287293,181,0.2518578529911442,0.2760236837723494,-8.366767798827292,2.839181895707732,22.807017543859647,114,0.3852456804884506
30,2.5,48,none,0.11047037222860422,-13.156012862318224,7.526136141279693,13.259668508287293,181,0.2518578529911442,0.2760236837723494,-8.366767798827292,2.839181895707732,22.807017543859647,114,0.3852456804884506
30,2.5,48,48,0.11047037222860422,-13.156012862318224,7.526136141279693,13.259668508287293,181,0.2518578529911442,0.2760236837723494,-8.366767798827292,2.839181895707732,22.807017543859647,114,0.3852456804884506
30,2.5,48,72,0.11047037222860422,-13.156012862318224,7.526136141279693,13.259668508287293,181,0.2518578529911442,0.2760236837723494,-8.366767798827292,2.839181895707732,22.807017543859647,114,0.3852456804884506
