window,variant,pre_terminal,bh_terminal,at_active,at_bh,beats,maxdd,bh_maxdd,n_flips
IS(2017-21),BTCUSDT:SMA200,2.2846645407403403,10.78554659422928,1.185430165404934,5.403495967403175,False,-0.6334524631085261,-0.8318705353076483,32
IS(2017-21),BTCUSDT:SMA100,10.71849958169065,10.78554659422928,2.7985286410007078,5.403495967403175,False,-0.6333711317577119,-0.8318705353076483,54
IS(2017-21),BTCUSDT:DON50,6.715414657090781,10.78554659422928,1.5537759000743838,5.403495967403175,False,-0.8414472222704277,-0.8318705353076483,14
IS(2017-21),ETHUSDT:SMA200,5.253276324430026,12.17294701986755,2.1001224049233214,6.027826158940397,False,-0.7330738696884126,-0.9396550481981527,27
IS(2017-21),ETHUSDT:SMA100,13.061530615690273,12.17294701986755,3.8529326482505812,6.027826158940397,False,-0.6414633860272181,-0.9396550481981527,42
IS(2017-21),ETHUSDT:DON50,13.724246797320976,12.17294701986755,3.3938812740698614,6.027826158940397,False,-0.8230871310762218,-0.9396550481981527,9
IS(2017-21),ROT_BTC_ETH,4.916464903432609,11.479246807048415,1.8501017188123863,5.715661063171787,False,-0.7062126563594507,-0.870218555777809,56
OOS(2022-26),BTCUSDT:SMA200,3.023555218301713,1.346423134507409,1.6586898977554871,1.155890410528334,True,-0.31049614300808026,-0.6693123705410324,32
OOS(2022-26),BTCUSDT:SMA100,2.4510882341531888,1.346423134507409,1.3738301051470132,1.155890410528334,True,-0.35039639727336247,-0.6693123705410324,62
OOS(2022-26),BTCUSDT:DON50,1.0206113052006525,1.346423134507409,0.6658252332097753,1.155890410528334,False,-0.4774547509787179,-0.6693123705410324,20
OOS(2022-26),ETHUSDT:SMA200,1.829681660840328,0.4788025090690844,1.2193120873548822,0.4788025090690844,True,-0.37819285509389167,-0.7400575194539569,27
OOS(2022-26),ETHUSDT:SMA100,1.202887615501472,0.4788025090690844,0.7445951265893367,0.4788025090690844,True,-0.5148151626279857,-0.7400575194539569,76
OOS(2022-26),ETHUSDT:DON50,0.7264348905775472,0.4788025090690844,0.5230806450390688,0.4788025090690844,True,-0.6077658477192938,-0.7400575194539569,19
OOS(2022-26),ROT_BTC_ETH,2.3690390966797596,0.9126128217882467,1.4103857269454614,0.9126128217882467,True,-0.37819285509389244,-0.6887892314566004,69
FULL,BTCUSDT:SMA200,6.9078093942243335,14.995024596973686,1.9662610398517777,7.297761068638158,False,-0.6334524631085261,-0.8318705353076483,64
FULL,BTCUSDT:SMA100,26.271988212457885,14.995024596973686,3.8447028971229353,7.297761068638158,False,-0.6333711317577119,-0.8318705353076483,116
FULL,BTCUSDT:DON50,6.853828118137006,14.995024596973686,1.034543201022755,7.297761068638158,False,-0.8414472222704277,-0.8318705353076483,34
FULL,ETHUSDT:SMA200,9.84533211955513,5.970033112582781,2.6229141606156143,3.2365149006622516,False,-0.7330738696884126,-0.9396550481981527,54
FULL,ETHUSDT:SMA100,15.711553417107174,5.970033112582781,2.8688748729643336,3.2365149006622516,False,-0.7362493125754106,-0.9396550481981527,118
FULL,ETHUSDT:DON50,10.211976455309598,5.970033112582781,1.8184019428699916,3.2365149006622516,False,-0.8230871310762218,-0.9396550481981527,28
FULL,ROT_BTC_ETH,11.930255970278438,10.482528854778234,2.672748542586764,5.267137984650205,False,-0.7062126563594507,-0.870218555777809,125
