alloc_30man,scale,req_cap_30man_joint,req_cap_30man_naive
AUDCAD単独,7.183,4964547.0,4964547.0
等ロット,1.918,3422176.0,12442399.0
等req_cap配分,3.773,2798024.0,10428425.0
リスクバジェット(inv-std),3.129,3693318.0,12684392.0
