pair,fake_pips,tp_ratio,n,wins,wr_%,pf,avg_rr,avg_win_p,avg_loss_p,total_p,max_dd_p,dd_%,sharpe,adopt,n_tp,n_sl,n_to
GBPJPY,5,0.5,180,59,32.8,0.813,1.67,39.0,-23.4,-530.6,-763.2,373.2,-0.85,False,40,113,27
EURJPY,5,0.5,155,44,28.4,0.636,1.6,31.0,-19.3,-781.4,-817.5,5109.4,-2.43,False,26,103,26
GBPUSD,5,0.5,134,54,40.3,0.752,1.11,18.4,-16.5,-326.7,-486.7,930.6,-1.24,False,48,74,12
ALL,5,0.5,469,157,33.5,0.74,1.47,29.7,-20.2,-1638.7,-1950.9,954.0,-1.92,False,114,290,65
