pair,phase,variant,n,z_in,max_hold,adx_max,slope_max,is_pf,is_n,is_wr,oos_pf,oos_n,oos_wr,oos_net,oos_dd,wfo_min,d_oos_pf,n_retained
AUDCAD,htf,none,40,2.0,48,25.0,1.0,1.075646566807413,1303,0.5947812739831159,1.3821219670632756,894,0.6431767337807607,3214.375561857456,382.6027058530967,1.2615164702003836,0.0,1.0
AUDCAD,htf,adx,40,2.0,48,25.0,1.0,1.0208727090982457,898,0.5857461024498887,1.4261969249623092,707,0.6492220650636492,2772.8590920452875,287.3702344000717,1.1637507741209852,0.044074957899033596,0.79082774049217
AUDCAD,htf,slope,40,2.0,48,25.0,1.0,1.036853146566386,1072,0.5830223880597015,1.3669482452903803,762,0.6482939632545932,2672.176445913885,418.69165001631245,1.1458140990142525,-0.015173721772895332,0.8523489932885906
EURGBP,htf,none,40,2.0,48,25.0,1.0,0.8496663679830293,1554,0.5193050193050193,1.1079059975666576,968,0.5888429752066116,736.3623168378408,454.95577047555327,0.8812381752417864,0.0,1.0
EURGBP,htf,adx,40,2.0,48,25.0,1.0,0.7990295989742906,958,0.5052192066805845,1.0111435193841827,589,0.5772495755517827,48.20213821229362,595.3472138814694,0.8369099294513777,-0.09676247818247496,0.6084710743801653
EURGBP,htf,slope,40,2.0,48,25.0,1.0,0.8473045047433284,1162,0.5163511187607573,1.0332195792271448,780,0.5858974358974359,198.53102061070047,683.5178162831533,0.9700875687221142,-0.07468641833951284,0.8057851239669421
