year,n,pf,net_pips,wr
2018,74,0.2924784279474636,-5556.910523807526,0.33783783783783783
2019,67,0.37936023160150084,-1041.7587001669644,0.47761194029850745
2020,66,0.4880913320899753,-818.9355472260992,0.5303030303030303
2021,59,0.18078212023072068,-4733.6024322134945,0.4406779661016949
2022,62,0.4481310033940056,-1818.3414293325875,0.5645161290322581
2023,64,0.2996653445416957,-1353.7305272747972,0.34375
2024,63,0.5138041594379109,-898.513819237494,0.5555555555555556
2025,79,0.5947084777361964,-749.7065935907126,0.569620253164557
2026,43,0.7054455621984509,-131.35005937315077,0.5581395348837209
