pair,max_levels,full_pf,full_net,full_dd,full_nfs,full_ntp,is_pf,oos_pf,wfo_min,wfo_each,req99,netyr,p5
AUDCAD,5,2.8388,5596736.0,452815.0,0,492,3.5993,2.2138,1.1994,"[np.float64(2.13), np.float64(1.2), np.float64(5.21), np.float64(1.65)]",716422.0,508794.0,0.0003
AUDCAD,3,1.7663,3639010.0,497998.0,0,447,1.8792,1.6281,0.9078,"[np.float64(1.77), np.float64(2.81), np.float64(0.91), np.float64(1.44)]",762937.0,330819.0,0.0053
CADCHF,5,1.4545,10051736.0,1366460.0,1,1171,1.4938,1.462,1.4315,"[np.float64(1.46), np.float64(1.84), np.float64(3.32), np.float64(1.43)]",2267837.0,900155.0,0.0088
CADCHF,3,1.3966,8017006.0,1546848.0,1,1024,1.4251,1.367,1.1646,"[np.float64(1.18), np.float64(1.68), np.float64(2.37), np.float64(1.16)]",2108755.0,717941.0,0.0124
EURGBP,5,1.5215,3716640.0,2504031.0,1,705,1.231,2.5569,1.4994,"[np.float64(inf), np.float64(1.5), np.float64(inf), np.float64(2.07)]",3398906.0,335336.0,0.1389
EURGBP,3,1.276,2303233.0,1572586.0,1,622,1.2034,1.4261,0.9776,"[np.float64(1.15), np.float64(1.29), np.float64(0.98), np.float64(2.06)]",3082057.0,207810.0,0.1928
