asset,drop_thr,n_drop,mean_next,tstat,net_next,uncond_mean,autocorr1
BTCUSDT,-0.01836908943572155,650,0.0034086387887177928,2.089957422156253,-0.0025913612112822074,0.0014625571581628235,-0.04926883423401429
ETHUSDT,-0.02556951257554616,650,0.003769414832709829,1.7084173574420825,-0.002230585167290171,0.0015981785134970732,-0.05713659615346815
