pair,exit_mode,z_stop,vt_th,is_pf,oos_pf,full_pf,wfo_min,oos_net,oos_dd,oos_avglot,sign_reversal,selectable,verdict
AUDNZD,A,5.0,0.7,1.1381993716882222,1.2424889350212784,1.1740092452199424,1.0425927167454327,286.8562161501577,220.2326422070098,0.3350267379679145,False,True,ADOPT
CADCHF,B,4.0,0.9,1.284226331121927,1.2615228477204914,1.2755750905006378,0.9140416601581582,294.2421132057664,268.319784133795,0.34192139737991273,False,True,ADOPT
EURGBP,A,5.0,0.7,0.875300830800657,1.567854926289417,1.0385125481187605,0.8324816607646774,484.6654274676082,212.41190648598638,0.34769230769230774,True,False,REJECT(OOS<1.2 or sign-rev)
