pair,overlay,var,seg,pf,net,maxdd,worst,retain_pct
NZDJPY,ADX>35,noadd,IS,2.06,2166064,1137798,-1026699,73.6
NZDJPY,ADX>35,noadd,OOS,1.3,598582,1055899,-1055899,37.3
NZDJPY,ADX>35,exit,IS,1.12,308184,963921,-963921,10.5
NZDJPY,ADX>35,exit,OOS,1.35,540607,583700,-583700,33.7
AUDCAD,ER24>0.35,noadd,IS,3.27,3411991,484163,-484163,87.4
AUDCAD,ER24>0.35,noadd,OOS,5.39,1369070,311717,-311717,85.8
AUDCAD,ER24>0.35,exit,IS,2.33,1559469,121139,-120313,39.9
AUDCAD,ER24>0.35,exit,OOS,2.34,645545,220737,-123305,40.4
AUDCAD,ER48>0.35,noadd,IS,3.93,3821234,373587,-373587,97.9
AUDCAD,ER48>0.35,noadd,OOS,5.15,1578713,380737,-380737,98.9
AUDCAD,ER48>0.35,exit,IS,2.18,2550365,423470,-423470,65.3
AUDCAD,ER48>0.35,exit,OOS,1.74,778372,463428,-463428,48.8
AUDCAD,ER24>0.5,noadd,IS,2.38,3002229,834301,-834301,76.9
AUDCAD,ER24>0.5,noadd,OOS,4.54,1352307,382033,-382033,84.7
AUDCAD,ER24>0.5,exit,IS,1.96,2068885,423470,-423470,53.0
AUDCAD,ER24>0.5,exit,OOS,1.82,682106,382033,-382033,42.7
AUDCAD,ER48>0.5,noadd,IS,3.99,3903738,373587,-373587,100.0
AUDCAD,ER48>0.5,noadd,OOS,5.18,1596140,382033,-382033,100.0
AUDCAD,ER48>0.5,exit,IS,2.77,3317999,465264,-465264,85.0
AUDCAD,ER48>0.5,exit,OOS,2.65,1230992,382033,-382033,77.1
AUDCAD,ADX>25,noadd,IS,2.72,2628870,859432,-714413,67.3
AUDCAD,ADX>25,noadd,OOS,inf,1339214,0,17218,83.9
AUDCAD,ADX>25,exit,IS,1.83,881862,260010,-260010,22.6
AUDCAD,ADX>25,exit,OOS,1.48,152365,233658,-134352,9.5
AUDCAD,ADX>35,noadd,IS,3.78,3566354,351432,-351432,91.4
AUDCAD,ADX>35,noadd,OOS,4.54,1351782,382033,-382033,84.7
AUDCAD,ADX>35,exit,IS,1.59,1491811,533630,-423470,38.2
AUDCAD,ADX>35,exit,OOS,1.53,528014,411371,-411371,33.1
