pair,strat,full_pf,full_n,full_net,full_wr,full_sharpe,full_maxdd_R,is_pf,is_n,oos_pf,oos_n,oos_net,yr_pos_rate,n_years,PASS
EURUSD,DON_dc40,0.778,1774,-6402.3,33.6,-4.12,213.4,0.839,1017,0.703,757,-3806.5,8.0,12,
EURUSD,DON200_dc40,0.736,1527,-6687.0,33.0,-4.55,215.4,0.77,875,0.694,652,-3410.6,0.0,12,
EURUSD,DON_dc55,0.697,1469,-7636.9,32.0,-5.09,234.9,0.728,840,0.658,629,-3795.2,8.0,12,
EURUSD,DON200_dc55,0.693,1345,-7108.3,31.7,-4.91,216.1,0.705,769,0.679,576,-3257.1,8.0,12,
EURUSD,EMAX_20_50,0.87,1292,-2485.3,34.3,-2.11,114.8,0.973,757,0.735,535,-2194.2,33.0,12,
EURUSD,EMAX_50_100,0.893,568,-934.3,35.4,-1.01,41.5,0.909,333,0.869,235,-465.8,33.0,12,
EURUSD,EMAX_50_200,0.756,428,-1728.2,34.3,-1.84,59.9,0.855,259,0.602,169,-1101.7,25.0,12,
EURUSD,TSMOM_100,0.7,2770,-8778.5,30.0,-6.06,287.4,0.771,1551,0.608,1219,-5015.3,0.0,12,
EURUSD,TSMOM_200,0.717,2173,-6129.2,31.5,-5.72,229.9,0.717,1315,0.718,858,-2418.3,17.0,12,
EURUSD,TSMOM_400,0.765,1519,-3387.6,31.7,-4.68,178.8,0.781,994,0.738,525,-1402.8,33.0,12,
EURGBP,DON_dc20,0.704,2629,-9535.9,31.6,-8.2,500.1,0.774,1637,0.558,992,-4604.5,15.0,13,
EURGBP,DON200_dc20,0.748,1950,-5949.1,31.8,-6.29,349.0,0.849,1186,0.556,764,-3614.1,23.0,13,
EURGBP,DON_dc40,0.697,1808,-6843.0,31.4,-7.58,374.5,0.778,1104,0.539,704,-3537.3,8.0,13,
EURGBP,DON200_dc40,0.726,1540,-5215.8,32.1,-6.55,292.0,0.804,940,0.576,600,-2755.9,8.0,13,
EURGBP,DON_dc55,0.703,1481,-5493.6,32.8,-6.89,301.5,0.779,907,0.552,574,-2763.7,8.0,13,
EURGBP,DON200_dc55,0.706,1373,-5021.3,32.6,-6.77,282.1,0.781,840,0.557,533,-2531.4,8.0,13,
EURGBP,EMAX_20_50,0.728,1383,-4319.0,29.9,-6.1,258.0,0.799,835,0.587,548,-2195.6,8.0,13,
EURGBP,EMAX_50_100,0.765,653,-1814.2,30.3,-3.77,122.7,0.805,385,0.694,268,-848.5,23.0,13,
EURGBP,EMAX_50_200,0.842,459,-889.7,30.5,-3.09,87.2,0.947,283,0.63,176,-690.9,31.0,13,
EURGBP,TSMOM_100,0.62,3113,-9013.1,28.2,-9.82,451.8,0.65,1853,0.56,1260,-3424.2,0.0,13,
EURGBP,TSMOM_200,0.66,2256,-5755.7,28.6,-7.73,306.8,0.702,1319,0.58,937,-2461.6,0.0,13,
EURGBP,TSMOM_400,0.661,1492,-3514.4,29.9,-6.39,203.7,0.758,822,0.517,670,-2006.2,8.0,12,
AUDCAD,DON_dc20,0.587,2447,-16206.9,29.4,-10.04,554.6,0.635,1437,0.513,1010,-7566.9,0.0,12,
AUDCAD,DON200_dc20,0.591,1855,-12496.8,29.1,-8.84,426.4,0.657,1083,0.495,772,-6273.7,0.0,12,
