entry_time,exit_time,side,entry,exit,risk,pnl_r,bars,cum_R,seg
2024-05-27 16:00:00,2024-05-29 06:00:00,1,200.35100341796874,200.13652709849447,0.7105573601485152,-0.32998929097752755,38,-0.32998929097752755,IS
2024-07-03 08:00:00,2024-07-04 11:00:00,1,205.34399963378902,205.37200077809445,0.7901167497492353,0.010126534221632491,27,-0.31986275675589504,IS
2024-07-11 00:00:00,2024-07-11 12:00:00,1,207.7130029296875,207.5064031154241,0.7096287085953463,-0.31932165584441335,12,-0.6391844126003083,IS
2024-07-23 08:00:00,2024-07-25 13:00:00,-1,201.5279943847656,198.27081339848533,1.5081808451467416,2.1464143353215093,53,1.507229922721201,IS
2024-07-26 00:00:00,2024-07-29 21:00:00,-1,197.562006225586,198.13654771163172,2.3915248820113506,-0.24860351256127788,44,1.258626410159923,IS
2024-07-31 08:00:00,2024-08-05 22:00:00,-1,193.7580053710937,184.73193616480233,4.366192728375211,2.062682471106307,85,3.32130888126623,IS
2024-08-06 00:00:00,2024-08-07 01:00:00,-1,186.4209997558593,185.948993861856,5.146648846953381,0.08782528348925007,25,3.40913416475548,IS
2024-09-10 16:00:00,2024-09-11 22:00:00,-1,185.88100646972657,185.6610936343019,1.8099327124688727,0.11045318649000199,30,3.5195873512454816,IS
2024-09-26 08:00:00,2024-09-27 06:00:00,1,193.5269982910156,194.09086581349683,1.5078170927428676,0.3606986053539806,22,3.880285956599462,IS
2024-11-26 16:00:00,2024-11-28 00:00:00,-1,192.7869970703125,192.11815048213273,1.6197026187870947,0.4005961221854791,32,4.280882078784941,IS
2024-11-29 12:00:00,2024-12-03 06:00:00,-1,190.49900268554688,189.87160279702664,1.510961848671981,0.40199551633557273,41,4.682877595120514,IS
2025-01-10 16:00:00,2025-01-13 21:00:00,-1,192.667001953125,192.01676195283534,2.1372471121438137,0.294884010701736,28,4.97776160582225,IS
2025-01-16 20:00:00,2025-01-20 05:00:00,-1,189.9919989013672,190.49501645158043,1.5364448118708514,-0.3404076385772538,32,4.637353967244996,IS
2025-02-06 16:00:00,2025-02-07 08:00:00,-1,188.28800415039066,189.1014818510408,1.9902698520547024,-0.4187762276505766,16,4.218577739594419,IS
2025-02-07 16:00:00,2025-02-10 08:00:00,-1,188.06899475097657,188.8528736744829,2.1690657464365475,-0.3706106764292366,15,3.8479670631651826,IS
2025-03-19 00:00:00,2025-03-19 07:00:00,1,194.2769982910156,193.37498634024828,1.235573189088436,-0.7462220440761848,7,3.1017450190889977,IS
2025-04-04 16:00:00,2025-04-09 17:00:00,-1,188.60599731445313,187.31334585538175,3.560837715149964,0.35740226342153925,72,3.459147282510537,IS
2025-05-12 20:00:00,2025-05-14 08:00:00,1,195.54900146484368,195.3041524305815,1.3055498127906975,-0.20286398241370512,36,3.2562833000968316,IS
2025-06-23 20:00:00,2025-06-30 02:00:00,1,197.6969964599609,197.80470283721903,1.2102851887620707,0.07246752920097714,101,3.328750829297809,IS
2025-08-13 20:00:00,2025-08-14 00:00:00,1,200.14099670410158,199.3213320170182,0.8454285281815458,-0.9931823437392696,4,2.3355684855585395,OOS
2025-10-01 08:00:00,2025-10-03 01:00:00,-1,198.1209967041016,198.4208229043527,0.9092404960173329,-0.35175094119982203,41,1.9838175443587174,OOS
2025-10-06 04:00:00,2025-10-09 08:00:00,1,201.86600280761718,204.271504303532,1.6465732167306966,1.448767337933068,76,3.4325848822917853,OOS
2025-11-20 08:00:00,2025-11-21 07:00:00,1,205.78799987792968,205.6397200607835,1.3604548737950377,-0.1236937882965222,23,3.308891093995263,OOS
2025-12-22 04:00:00,2025-12-23 03:00:00,1,210.71700073242187,210.64801714533004,1.0520036469462855,-0.08458486560395456,23,3.2243062283913084,OOS
2026-01-13 08:00:00,2026-01-14 10:00:00,1,214.05400634765624,213.43374609096983,1.041709525260513,-0.6146245581524173,26,2.609681670238891,OOS
2026-02-11 08:00:00,2026-02-12 11:00:00,-1,209.3460028076172,209.25939205298621,1.4203632754657174,0.0468969845824416,27,2.656578654821333,OOS
2026-02-12 16:00:00,2026-02-16 06:00:00,-1,208.40999816894532,208.97811004622994,1.9857362838382666,-0.2961681679844463,37,2.3604104868368867,OOS
2026-04-09 12:00:00,2026-04-12 23:00:00,1,213.37300659179687,213.85244125488381,0.8338163780039667,0.551002205289811,34,2.9114126921266976,OOS
2026-04-13 12:00:00,2026-04-16 03:00:00,1,214.49199462890624,215.13276483494312,0.7952978166131075,0.7805506227598076,63,3.691963314886505,OOS
