pair,phase,variant,z_in2,n,z_in,tier_lot,is_pf,is_n,oos_pf,oos_n,oos_wr,oos_net,oos_dd,oos_avglot,oos_net_per_lot,oos_dd_per_lot,wfo_min
AUDCAD,tier,baseline z2 x1.0,,40,2.0,0.5,1.075646566807413,1303,1.3821219670632756,894,0.6431767337807607,3214.375561857456,382.6027058530967,1.0,3214.375561857456,382.6027058530967,1.2615164702003836
AUDCAD,tier,tiered z2+z2.5,2.5,40,2.0,0.5,1.0855460271298498,1303,1.3956442630123236,894,0.6677852348993288,2371.3194312158685,272.5627674256516,0.6901565995525727,3435.9150267536247,394.92887208838334,1.208716611467929
AUDCAD,tier,tiered z2+z3.0,3.0,40,2.0,0.5,1.0532403380026172,1303,1.4055988998639315,894,0.6510067114093959,1857.1804798501726,191.30135292654836,0.5425055928411633,3423.338863888772,352.625586631617,1.2124599689539468
EURGBP,tier,baseline z2 x1.0,,40,2.0,0.5,0.8496663679830293,1554,1.1079059975666576,968,0.5888429752066116,736.3623168378408,454.95577047555327,1.0,736.3623168378408,454.95577047555327,0.8812381752417864
EURGBP,tier,tiered z2+z2.5,2.5,40,2.0,0.5,0.8958962518979919,1554,1.154936849660245,968,0.606404958677686,730.0713702590883,462.02900060212545,0.6735537190082644,1083.9096417343521,685.957166538125,0.8766704267819324
EURGBP,tier,tiered z2+z3.0,3.0,40,2.0,0.5,0.873017616035015,1554,1.1723752329425248,968,0.6002066115702479,608.9107725017014,220.78782228763936,0.5371900826446281,1133.5108226570135,411.0050230277594,0.9303009764610001
