pair,confirm,n,z_in,z_tp,max_hold,confirm_window,is_pf,is_n,is_wr,oos_pf,oos_n,oos_wr,oos_net,oos_dd,oos_tp_rate,wfo_min,d_oos_pf,n_retained
AUDCAD,none,20,2.0,0.0,12,6,0.9539119513515959,2226,0.5480682839173405,0.974700225365996,1518,0.544137022397892,-327.2537536852852,948.5126600123755,0.5395256916996047,0.9174885522176568,0.0,1.0
AUDCAD,ema,20,2.0,0.0,12,6,0.760739476577352,1438,0.650904033379694,0.8563447353501751,977,0.6837256908904811,-809.304904532759,1052.2626353493004,0.8597748208802457,0.5035010992527816,-0.11835549001582091,0.6436100131752306
AUDCAD,candle,20,2.0,0.0,12,6,0.7757218934744821,1368,0.6198830409356725,0.8218576373451906,917,0.6368593238822247,-1348.2770766803628,1407.9070766803559,0.7306434023991276,0.5353308850881432,-0.15284258802080541,0.6040843214756259
AUDCAD,rsi,20,2.0,0.0,12,6,0.8641283807215506,1617,0.6413110698824984,0.9132779861771037,1108,0.631768953068592,-803.0568485628405,1083.5066097303525,0.7048736462093863,0.7550423210906185,-0.061422239188892336,0.7299077733860343
AUDCAD,none,20,2.0,0.0,24,6,0.9777176665595761,2141,0.5740308267164876,0.9802912638505118,1462,0.5697674418604651,-247.4707387748834,838.2345847910602,0.7127222982216143,0.930295393642027,0.0,1.0
AUDCAD,ema,20,2.0,0.0,24,6,0.7680748303709135,1409,0.652235628105039,0.8823255511029452,966,0.6811594202898551,-631.6046149556848,869.1979710797657,0.9451345755693582,0.48402945653004625,-0.0979657127475666,0.6607387140902873
AUDCAD,candle,20,2.0,0.0,24,6,0.7816486285129998,1317,0.6332574031890661,0.8316902519309588,890,0.647191011235955,-1225.9132015741739,1285.5432015741676,0.8853932584269663,0.538211074851799,-0.148601011919553,0.6087551299589603
AUDCAD,rsi,20,2.0,0.0,24,6,0.8934444908402197,1549,0.6546158812136863,0.9274119037212357,1065,0.6516431924882629,-643.1583604339378,939.9293388908811,0.8892018779342723,0.7864578427697025,-0.052879360129276076,0.728454172366621
AUDCAD,none,20,2.0,0.0,48,6,0.9879276198744659,2121,0.5756718528995757,0.9895565484324312,1454,0.5687757909215956,-128.67631242383047,681.0155082833994,0.7462173314993122,0.9355322353615001,0.0,1.0
AUDCAD,ema,20,2.0,0.0,48,6,0.77262050011601,1404,0.6509971509971509,0.8992761388013775,965,0.6808290155440414,-529.6935454318823,765.747971079766,0.9626943005181348,0.4964440334916944,-0.09028040963105377,0.6636863823933975
