pair,ci_th,atr_mult,max_levels,is_pf,is_net,is_ntp,is_loss_ev,oos_pf,oos_net,oos_ntp,oos_loss_ev,oos_worst,oos_dd
AUDCAD,55.0,2.5,7,0.959,-174935.0,76,8,1.2262,1114385.0,109,9,-599725.0,1175158.0
AUDCAD,55.0,3.0,3,1.1134,373150.0,56,12,1.338,1213518.0,69,12,-555552.0,668882.0
AUDCAD,55.0,3.0,5,1.116,394561.0,60,6,1.3264,1211837.0,75,7,-557497.0,951524.0
AUDCAD,55.0,3.0,7,1.116,394561.0,60,6,1.3264,1211837.0,75,7,-557497.0,951524.0
AUDCAD,60.0,1.0,3,2.007,3681655.0,361,21,1.3985,1929648.0,292,21,-678347.0,1197403.0
AUDCAD,60.0,1.0,5,2.2047,4449865.0,396,10,1.1669,1111893.0,333,13,-554363.0,1407030.0
AUDCAD,60.0,1.0,7,1.5612,2994117.0,407,10,1.1425,974702.0,336,13,-554363.0,1369122.0
AUDCAD,60.0,1.5,3,1.9038,2521858.0,170,17,1.2822,1126522.0,145,16,-676835.0,1204492.0
AUDCAD,60.0,1.5,5,1.5809,2036918.0,177,7,1.2637,1138601.0,158,8,-649081.0,857942.0
AUDCAD,60.0,1.5,7,1.5508,1968878.0,177,7,1.2637,1138601.0,158,8,-649081.0,857942.0
AUDCAD,60.0,2.0,3,1.4955,1264360.0,91,13,0.936,-262438.0,81,13,-630935.0,1204954.0
AUDCAD,60.0,2.0,5,1.4543,1173903.0,90,5,0.943,-249183.0,89,8,-713447.0,1336930.0
AUDCAD,60.0,2.0,7,1.4543,1173903.0,90,5,0.943,-249183.0,89,8,-713447.0,1336930.0
AUDCAD,60.0,2.5,3,1.4035,865378.0,57,9,0.9967,-10904.0,55,11,-571643.0,1037247.0
AUDCAD,60.0,2.5,5,1.2147,568099.0,62,5,0.9294,-258700.0,60,7,-571643.0,1275926.0
AUDCAD,60.0,2.5,7,1.2147,568099.0,62,5,0.9294,-258700.0,60,7,-571643.0,1275926.0
AUDCAD,60.0,3.0,3,1.3957,755857.0,41,8,1.0046,11679.0,36,8,-553932.0,553932.0
AUDCAD,60.0,3.0,5,1.0656,180173.0,47,5,1.2054,446001.0,39,4,-595188.0,553932.0
AUDCAD,60.0,3.0,7,1.0656,180173.0,47,5,1.2054,446001.0,39,4,-595188.0,553932.0
AUDCAD,61.8,1.0,3,2.2748,3329840.0,294,17,1.309,1259514.0,220,18,-678347.0,972994.0
AUDCAD,61.8,1.0,5,2.014,3340822.0,324,8,1.0733,418594.0,254,11,-590653.0,1140347.0
AUDCAD,61.8,1.0,7,1.3754,1839809.0,330,9,1.1463,785285.0,255,10,-590653.0,1075632.0
AUDCAD,61.8,1.5,3,1.9313,2077683.0,140,13,1.1755,604336.0,111,14,-676835.0,1242751.0
AUDCAD,61.8,1.5,5,1.5819,1738239.0,152,6,0.9695,-136349.0,121,8,-649081.0,1158502.0
AUDCAD,61.8,1.5,7,1.5467,1670200.0,152,6,0.9695,-136349.0,121,8,-649081.0,1158502.0
AUDCAD,61.8,2.0,3,1.507,1080125.0,77,10,0.8414,-630334.0,67,11,-630935.0,1438838.0
AUDCAD,61.8,2.0,5,1.5645,1185441.0,79,4,0.8005,-881246.0,73,8,-713447.0,1491295.0
AUDCAD,61.8,2.0,7,1.5645,1185441.0,79,4,0.8005,-881246.0,73,8,-713447.0,1491295.0
AUDCAD,61.8,2.5,3,1.4611,832583.0,51,8,0.7719,-824465.0,45,9,-571643.0,1824291.0
AUDCAD,61.8,2.5,5,1.2942,612900.0,52,4,0.7741,-833941.0,48,7,-571643.0,1596970.0
AUDCAD,61.8,2.5,7,1.2942,612900.0,52,4,0.7741,-833941.0,48,7,-571643.0,1596970.0
AUDCAD,61.8,3.0,3,1.2016,381119.0,36,7,1.0667,139728.0,30,6,-518508.0,838318.0
AUDCAD,61.8,3.0,5,0.9391,-158220.0,39,5,1.6812,1043217.0,36,3,-518508.0,518508.0
AUDCAD,61.8,3.0,7,0.9391,-158220.0,39,5,1.6812,1043217.0,36,3,-518508.0,518508.0
AUDCAD,65.0,1.0,3,2.7099,2278090.0,178,8,2.7886,1997206.0,125,7,-314604.0,314604.0
AUDCAD,65.0,1.0,5,2.215,2171341.0,195,4,1.6327,1334611.0,141,4,-547236.0,585005.0
AUDCAD,65.0,1.0,7,1.9435,1968939.0,200,4,1.6286,1338106.0,142,4,-547236.0,624740.0
AUDCAD,65.0,1.5,3,3.1318,2138212.0,101,5,1.5576,838664.0,64,6,-510408.0,687685.0
AUDCAD,65.0,1.5,5,1.9982,1559696.0,101,3,2.5395,1609973.0,74,2,-535354.0,535354.0
AUDCAD,65.0,1.5,7,1.9982,1559696.0,101,3,2.5395,1609973.0,74,2,-535354.0,535354.0
AUDCAD,65.0,2.0,3,1.4367,668936.0,53,6,2.7244,1296198.0,41,4,-235440.0,235440.0
AUDCAD,65.0,2.0,5,1.5243,821803.0,59,3,4.2437,1688904.0,45,1,-520667.0,477066.0
AUDCAD,65.0,2.0,7,1.5243,821803.0,59,3,4.2437,1688904.0,45,1,-520667.0,477066.0
AUDCAD,65.0,2.5,3,1.4165,584731.0,39,5,1.9384,883426.0,28,4,-510408.0,667873.0
AUDCAD,65.0,2.5,5,1.426,665566.0,44,3,1.935,945882.0,32,2,-510408.0,510408.0
AUDCAD,65.0,2.5,7,1.426,665566.0,44,3,1.935,945882.0,32,2,-510408.0,510408.0
AUDCAD,65.0,3.0,3,2.1421,1088632.0,33,3,1.0383,57739.0,20,4,-538272.0,1202504.0
AUDCAD,65.0,3.0,5,1.3693,576483.0,35,3,1.8484,885522.0,26,2,-538272.0,621007.0
AUDCAD,65.0,3.0,7,1.3693,576483.0,35,3,1.8484,885522.0,26,2,-538272.0,621007.0
AUDCAD,70.0,1.0,3,4.6451,967255.0,64,2,2.0845,375032.0,32,2,-202607.0,202607.0
AUDCAD,70.0,1.0,5,inf,1484660.0,77,0,1.5536,302964.0,38,1,-547236.0,547236.0
AUDCAD,70.0,1.0,7,inf,1502241.0,78,0,1.5536,302964.0,38,1,-547236.0,547236.0
AUDCAD,70.0,1.5,3,3.621,709942.0,34,1,2.691,399578.0,18,2,-146881.0,146881.0
AUDCAD,70.0,1.5,5,inf,1098384.0,38,0,inf,791486.0,23,0,0.0,0.0
AUDCAD,70.0,1.5,7,inf,1098384.0,38,0,inf,791486.0,23,0,0.0,0.0
AUDCAD,70.0,2.0,3,6.4581,784002.0,24,1,2.3309,313340.0,12,1,-235440.0,235440.0
AUDCAD,70.0,2.0,5,inf,1051996.0,27,0,inf,650207.0,14,0,0.0,0.0
AUDCAD,70.0,2.0,7,inf,1051996.0,27,0,inf,650207.0,14,0,0.0,0.0
AUDCAD,70.0,2.5,3,6.6425,748934.0,18,1,1.2157,111955.0,11,1,-518940.0,518940.0
AUDCAD,70.0,2.5,5,inf,1020214.0,21,0,1.2157,111955.0,11,1,-518940.0,518940.0
AUDCAD,70.0,2.5,7,inf,1020214.0,21,0,1.2157,111955.0,11,1,-518940.0,518940.0
AUDCAD,70.0,3.0,3,6.8682,727566.0,14,1,1.1083,54432.0,8,1,-502524.0,502524.0
AUDCAD,70.0,3.0,5,inf,996162.0,17,0,1.1083,54432.0,8,1,-502524.0,502524.0
AUDCAD,70.0,3.0,7,inf,996162.0,17,0,1.1083,54432.0,8,1,-502524.0,502524.0
