pair,tf,tp_mode,rr,sweep_filter,session,n,pf,net_pips,wr,avg_win,avg_loss,expectancy,max_dd_pips
AUDCAD,1h,opposite,1.5,True,True,351,0.9139277482636182,-374.0010881423623,0.301994301994302,37.464134090351564,-17.735507353957665,-1.0655301656477558,953.3033151626464
AUDCAD,1h,opposite,1.5,True,False,600,0.6855244775571605,-2418.505106925902,0.25333333333333335,34.68482758496934,-17.16651540143134,-4.0308418448765035,2444.1055927276066
AUDCAD,1h,opposite,1.5,False,True,673,0.7551603753932734,-1869.1067667006469,0.16344725111441308,52.40816012295802,-13.55951044445121,-2.7772760277869937,2578.908521652154
AUDCAD,1h,opposite,1.5,False,False,913,0.6876170535644135,-3330.912066459496,0.14895947426067907,53.91176888521983,-13.723182284233452,-3.6483155163849905,3774.5104742049107
EURGBP,1h,opposite,1.5,True,True,304,0.6963052120054981,-769.8957338332682,0.3026315789473684,19.186969850374304,-11.958004528621244,-2.5325517560304873,841.1947622298752
EURGBP,1h,opposite,1.5,True,False,423,0.702860409061873,-946.301100730835,0.3049645390070922,17.351946291073347,-10.832320313875158,-2.2371184414440544,945.1974525451068
EURGBP,1h,opposite,1.5,False,True,633,0.7026074959437525,-1327.5859899519755,0.1911532385466035,25.921495358806013,-8.718919781967776,-2.097292243210072,1340.086079597358
EURGBP,1h,opposite,1.5,False,False,778,0.6731761064597993,-1796.1875705717591,0.17223650385604114,27.6097059748066,-8.533987843471806,-2.308724383768328,1793.9879627226342
