pair,method,trail_mult,atr_trail_mult,trail_start_mult,keep_tp,slope_exit_bars,div_exit_th,tight_mult,PF,win_rate,n_trades,max_dd,avg_win,avg_loss,real_rr
USDJPY,atr_trail,,2.0,2.0,False,,,,2.222,0.516,31,4.348608,2.004448,0.962286,2.083
USDJPY,slope_exit,,,,,2,,,2.163,0.467,30,4.532614,2.026976,0.819893,2.472
USDJPY,div_tighten,,,,,,0.5,0.3,2.121,0.5,36,3.023233,1.13158,0.533446,2.121
USDJPY,combined,,1.5,1.5,True,2,,,2.061,0.531,32,4.348608,1.568194,0.862286,1.819
USDJPY,combined,,1.5,1.5,True,3,,,2.04,0.531,32,4.348608,1.557562,0.865353,1.8
USDJPY,fixed_trail,1.5,,,False,,,,2.034,0.484,31,4.739602,1.969828,0.908076,2.169
USDJPY,atr_trail,,1.5,0.0,True,,,,2.022,0.531,32,4.201614,1.557562,0.872847,1.784
USDJPY,slope_exit,,,,,1,,,2.022,0.55,40,1.790985,0.288409,0.174333,1.654
USDJPY,combined,,1.5,0.0,True,5,,,2.022,0.531,32,4.201614,1.557562,0.872847,1.784
USDJPY,slope_exit,,,,,3,,,2.007,0.433,30,4.532614,2.124435,0.809429,2.625
USDJPY,div_tighten,,,,,,1.0,0.5,1.996,0.5,32,4.139405,1.512368,0.757792,1.996
USDJPY,div_tighten,,,,,,0.5,0.7,1.918,0.5,32,2.539001,1.326938,0.691734,1.918
USDJPY,div_tighten,,,,,,1.0,0.7,1.896,0.5,32,4.26069,1.517172,0.800348,1.896
USDJPY,fixed_trail,1.5,,,True,,,,1.857,0.484,31,4.739602,1.798979,0.908076,1.981
USDJPY,div_tighten,,,,,,1.5,0.5,1.846,0.467,30,4.532614,1.786454,0.846915,2.109
USDJPY,atr_trail,,1.5,1.5,True,,,,1.834,0.531,32,4.348608,1.557562,0.962286,1.619
USDJPY,combined,,1.5,1.5,True,5,,,1.834,0.531,32,4.348608,1.557562,0.962286,1.619
USDJPY,atr_trail,,2.0,0.0,True,,,,1.831,0.531,32,4.348608,1.497197,0.926758,1.616
USDJPY,div_tighten,,,,,,0.5,0.5,1.826,0.485,33,3.065111,1.34011,0.690743,1.94
USDJPY,div_tighten,,,,,,1.5,0.7,1.826,0.467,30,4.532614,1.813163,0.868721,2.087
USDJPY,baseline,,,,,,,,1.815,0.433,30,4.532614,2.124435,0.894958,2.374
USDJPY,slope_exit,,,,,5,,,1.815,0.433,30,4.532614,2.124435,0.894958,2.374
USDJPY,div_tighten,,,,,,2.0,0.3,1.815,0.433,30,4.532614,2.124435,0.894958,2.374
USDJPY,div_tighten,,,,,,2.0,0.5,1.815,0.433,30,4.532614,2.124435,0.894958,2.374
USDJPY,div_tighten,,,,,,2.0,0.7,1.815,0.433,30,4.532614,2.124435,0.894958,2.374
USDJPY,div_tighten,,,,,,1.5,0.3,1.812,0.438,32,4.532614,1.825254,0.783282,2.33
USDJPY,atr_trail,,2.0,2.0,True,,,,1.763,0.531,32,4.348608,1.497197,0.962286,1.556
USDJPY,fixed_trail,2.0,,,False,,,,1.712,0.414,29,5.344517,2.170156,0.894958,2.425
USDJPY,fixed_trail,2.0,,,True,,,,1.699,0.433,30,5.344517,1.98842,0.894958,2.222
