dc,adx_th,trail,atr_p,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R
30,30,2.0,20,OOS,23,39.1,1.087,0.75,0.033,0.162,3.07,0.0
30,30,3.0,10,IS,24,37.5,0.686,-2.31,-0.096,-0.631,4.56,-1.75
30,30,3.0,10,OOS,15,40.0,0.858,-0.7,-0.047,-0.252,3.19,0.0
30,30,3.0,14,IS,24,37.5,0.698,-2.38,-0.099,-0.593,4.88,-1.78
30,30,3.0,14,OOS,15,40.0,0.803,-1.0,-0.067,-0.361,3.33,0.0
30,30,3.0,20,IS,24,41.7,0.803,-1.63,-0.068,-0.36,3.97,-1.8
30,30,3.0,20,OOS,15,46.7,0.76,-1.26,-0.084,-0.453,3.43,0.0
30,30,4.0,10,IS,17,41.2,0.829,-0.7,-0.041,-0.212,3.15,-1.54
30,30,4.0,10,OOS,10,40.0,1.057,0.15,0.015,0.07,1.07,0.0
30,30,4.0,14,IS,17,35.3,0.744,-1.25,-0.073,-0.333,3.32,-1.54
30,30,4.0,14,OOS,10,40.0,0.983,-0.05,-0.005,-0.021,1.27,0.0
30,30,4.0,20,IS,18,33.3,0.745,-1.43,-0.08,-0.361,3.48,-1.57
30,30,4.0,20,OOS,10,40.0,0.935,-0.2,-0.02,-0.086,1.45,0.0
