event_time,pair,direction,atr_pct,bbw_pct,entry,exit,result,hold_bars,pnl_raw,atr
2025-02-07 13:30:00,EURUSD,SELL,48.0,2.0,1.0366491758346557,1.0384989384893462,SL,1,-0.001849762654690501,0.0012331751031270108
2025-07-04 13:30:00,EURUSD,BUY,15.0,9.0,1.1783227241516112,1.178272724151611,TIMEOUT,4,-5.0000000000105516e-05,0.001078902357569922
2026-02-06 13:30:00,EURUSD,BUY,9.0,18.0,1.181384972381592,1.182172775268555,TIMEOUT,4,0.0007878028869630072,0.0008979551235346181
2026-04-03 13:30:00,EURUSD,SELL,13.0,3.0,1.1538849555969237,1.1518083810806274,TIMEOUT,4,0.002076574516296281,0.0008476454853397768
2025-01-15 12:30:00,EURUSD,BUY,42.0,9.0,1.0303404844284059,1.0284969339323289,SL,3,-0.0018435504960769844,0.0012290336640512942
2025-05-13 12:30:00,EURUSD,SELL,18.0,12.0,1.1131638967514037,1.1152523375442311,SL,1,-0.0020884407928274396,0.0013922938618850128
2025-07-11 12:30:00,EURUSD,SELL,38.0,19.0,1.1692671262741088,1.169727444648743,TIMEOUT,4,-0.0004603183746341166,0.0012299740404645733
2025-10-15 12:30:00,EURUSD,BUY,31.0,16.0,1.1621650970458985,1.1633317470550537,TIMEOUT,4,0.001166650009155168,0.001104274993698145
2025-02-07 13:30:00,GBPUSD,SELL,46.0,2.0,1.242845391921997,1.2454176897512235,SL,1,-0.002572297829226411,0.0017148652194842126
2025-07-04 13:30:00,GBPUSD,SELL,27.0,9.0,1.3649872299957275,1.365411400794983,TIMEOUT,4,-0.0004241707992553856,0.001375646137197131
2026-04-03 13:30:00,GBPUSD,SELL,10.0,5.0,1.321679448776245,1.319188117980957,TIMEOUT,4,0.0024913307952880714,0.0010325252975502519
2024-11-13 12:30:00,GBPUSD,SELL,42.0,0.0,1.2745297905731199,1.2692585984595455,TP,2,0.005271192113574408,0.0014056512302864812
2025-01-15 12:30:00,GBPUSD,BUY,33.0,9.0,1.221742534942627,1.2288822923360816,TP,1,0.0071397573934546266,0.0019039353049212216
2025-02-12 12:30:00,GBPUSD,BUY,13.0,0.0,1.2453379872512815,1.2434677043841196,SL,1,-0.0018702828671619542,0.0012468552447745787
2026-03-11 12:30:00,GBPUSD,SELL,49.0,11.0,1.3404664751815796,1.3437295044259399,SL,1,-0.0032630292443602826,0.002175352829573487
2026-04-10 12:30:00,GBPUSD,BUY,20.0,19.0,1.3457585814666748,1.3457356691360474,TIMEOUT,4,-2.29123306274559e-05,0.0012922953692775473
2026-02-06 13:30:00,USDJPY,BUY,27.0,8.0,156.97300415039064,157.08299255371094,TIMEOUT,4,0.10998840332030113,0.1900143483668481
2026-04-03 13:30:00,USDJPY,BUY,7.0,1.0,159.5539978027344,159.64700317382812,TIMEOUT,4,0.09300537109373863,0.12762546698813107
2024-11-13 12:30:00,USDJPY,BUY,34.0,15.0,154.96999816894532,154.64148372447585,SL,1,-0.32851444446947653,0.21900962964632129
2025-05-13 12:30:00,USDJPY,BUY,13.0,15.0,148.04000549316407,147.64156436584196,SL,3,-0.39844112732211556,0.26562741821473684
2025-09-10 12:30:00,USDJPY,BUY,50.0,0.0,147.57699279785157,147.26053378619002,SL,1,-0.31645901166155,0.21097267444103615
2025-12-10 12:30:00,USDJPY,BUY,0.0,0.0,156.75899963378907,156.56114425899247,SL,1,-0.1978553747966032,0.13190358319773315
2025-01-03 13:30:00,GBPJPY,SELL,15.0,0.0,194.807001953125,195.22633211393378,SL,1,-0.4193301608087836,0.27955344053918135
2025-03-07 13:30:00,GBPJPY,SELL,41.0,9.0,189.83500183105468,190.630872212661,SL,1,-0.7958703816063064,0.5305802544041966
2026-03-06 13:30:00,GBPJPY,BUY,26.0,0.0,210.68900024414066,211.2539978027344,TIMEOUT,4,0.5649975585937455,0.31628452607249186
2026-04-03 13:30:00,GBPJPY,SELL,10.0,6.0,210.6829937744141,210.552001953125,TIMEOUT,4,0.13099182128908637,0.21276916844364022
2024-11-13 12:30:00,GBPJPY,SELL,4.0,13.0,197.327006225586,197.5290069580078,TIMEOUT,4,-0.2020007324218227,0.25032723913044863
2025-09-10 12:30:00,GBPJPY,BUY,14.0,15.0,199.72699462890625,199.44286554043782,SL,3,-0.28412908846843266,0.18941939231228194
2025-12-10 12:30:00,GBPJPY,BUY,22.0,1.0,208.76700317382807,208.469495167279,SL,2,-0.29750800654906584,0.19833867103270714
