voln,ret24,ret72,dist_sma,adv_mom,side,hour,ci,entry_ts,exit_ts,level,kind,pnl,win,hold_h,is_oos
0.0015568178583041205,-0.6737247353224182,1.1588065447545204,-0.11769971126080755,-0.6737247353224182,short,0,68.3371099503233,2015-06-26 00:00:00+00:00,2015-06-26 07:00:00+00:00,1,tp,23490.00000000041,1,7.0,IS
0.0013716916479219752,-5.318007662835172,-1.9386973180076748,-1.6502681992337735,-5.318007662835172,short,7,68.3371099503233,2015-06-26 07:00:00+00:00,2015-06-26 10:00:00+00:00,1,tp,21731.142857143393,1,3.0,IS
0.001369710685246059,-5.944048272078905,-1.3439385628085656,-2.145540318156829,-5.944048272078905,short,10,68.3371099503233,2015-06-26 10:00:00+00:00,2015-06-26 11:00:00+00:00,1,tp,22124.571428571115,1,1.0,IS
0.001438623736689731,-6.67782426778231,-1.874476987447609,-2.999236401673572,-6.67782426778231,short,11,68.3371099503233,2015-06-26 11:00:00+00:00,2015-06-26 17:00:00+00:00,1,tp,24843.857142857174,1,6.0,IS
0.0018932400283305096,-6.759392486011139,-4.7841726618704445,-5.087561950439614,-6.759392486011139,short,17,68.3371099503233,2015-06-26 17:00:00+00:00,2015-06-28 21:00:00+00:00,1,tp,29449.28571428611,1,52.0,IS
0.0017886878561655661,-6.190597204574302,-6.404066073697569,-5.784650571791564,-6.190597204574302,short,21,67.31738053419667,2015-06-28 21:00:00+00:00,2015-06-28 22:00:00+00:00,1,tp,33105.85714285734,1,1.0,IS
0.001438623736689731,-6.67782426778231,-1.874476987447609,-2.999236401673572,6.67782426778231,long,11,68.3371099503233,2015-06-26 11:00:00+00:00,2015-06-29 02:00:00+00:00,3,tp,24843.857142857174,1,63.0,IS
0.0018932400283305096,-6.759392486011139,-4.7841726618704445,-5.087561950439614,6.759392486011139,long,17,68.3371099503233,2015-06-26 17:00:00+00:00,2015-06-29 02:00:00+00:00,4,tp,29449.28571428611,1,57.0,IS
0.0013223482864257565,-4.536889897843305,-0.6912599318955954,-1.3751305334845527,4.536889897843305,long,9,68.3371099503233,2015-06-26 09:00:00+00:00,2015-06-29 17:00:00+00:00,2,tp,21094.71428571408,1,80.0,IS
0.0015568178583041205,-0.6737247353224182,1.1588065447545204,-0.11769971126080755,0.6737247353224182,long,0,68.3371099503233,2015-06-26 00:00:00+00:00,2015-06-30 12:00:00+00:00,1,tp,23490.00000000041,1,108.0,IS
