pair,exit_mode,z_stop,vt_th,is_pf,oos_pf,full_pf,wfo_min,oos_net,oos_dd,oos_avglot,sign_reversal,selectable
AUDNZD,A,4.0,1.01,1.1551294213266374,1.107049269297922,1.1378072343266346,0.788127046332202,156.67315498957004,298.70247074496586,0.35348837209302336,False,False
AUDNZD,A,4.0,0.5,1.1841671072287516,1.111707462061744,1.1576854397702856,0.6988820760959013,115.02499726398034,209.48503364889916,0.2539534883720931,False,False
AUDNZD,A,4.0,0.6,1.1621613066545184,1.1298593451903134,1.1505215340485948,0.7595190504158192,138.98973129276186,198.2082836488987,0.2709302325581395,False,False
AUDNZD,A,4.0,0.7,1.12826088371011,1.1643761137115598,1.1408060855181636,0.7704380049635915,178.56392809414,200.2493267514555,0.28,False,False
AUDNZD,A,4.0,0.8,1.0582064941244627,1.1082688721870535,1.0755876418253885,0.7623106514035415,132.02017890070454,233.78371184752035,0.3004651162790698,False,False
AUDNZD,A,4.0,0.9,1.1592890414725223,1.1247397075638925,1.1472302604501532,0.8041469662651138,159.20088537768464,235.71596181673368,0.3167441860465117,False,False
AUDNZD,A,4.5,1.01,1.134527469665533,1.127612198447609,1.1319605903753167,0.9291431132227937,204.91111618453084,307.86268455761774,0.40307692307692317,False,False
AUDNZD,A,4.5,0.5,1.1715056584513308,1.2152856826424774,1.1871462078398964,0.9141678075176091,229.49389771409687,176.56834644814074,0.29205128205128206,False,True
AUDNZD,A,4.5,0.6,1.143756949709229,1.2003950187716455,1.1641004454711523,0.9673863465075431,228.02105018334726,231.44344397889031,0.3097435897435898,False,True
AUDNZD,A,4.5,0.7,1.2134216690851207,1.1733545629508295,1.198763371306363,0.9439309710827187,210.0098001833479,231.4434439788903,0.3217948717948718,False,False
AUDNZD,A,4.5,0.8,1.1470723496094386,1.134763127926855,1.1426047989107448,0.9328807579162879,179.08508234073247,226.50653682150522,0.3430769230769231,False,False
AUDNZD,A,4.5,0.9,1.159496952893053,1.1462080720853347,1.154722889520113,0.9644689427951219,203.04191775233483,250.66353682150503,0.3610256410256411,False,False
AUDNZD,A,5.0,1.01,1.0800436123393322,1.1645295129104725,1.1104752531191573,0.7633476160136133,266.8917684474206,332.0135007105473,0.41978609625668456,False,False
AUDNZD,A,5.0,0.5,1.091716864278827,1.2636894190041827,1.1491620734770533,0.9860289288518012,277.54371615015646,178.47718649179524,0.30320855614973263,False,True
AUDNZD,A,5.0,0.6,1.0770226276376338,1.2748095012370555,1.143479674466019,0.9989300812474243,304.86746615015716,204.55568649179452,0.3224598930481284,False,True
AUDNZD,A,5.0,0.7,1.1381993716882222,1.2424889350212784,1.1740092452199424,1.0425927167454327,286.8562161501577,220.2326422070098,0.3350267379679145,False,True
AUDNZD,A,5.0,0.8,1.0812999195171444,1.2027108040130143,1.122718869485533,0.9451654186809009,262.31302965836306,224.7893922070101,0.35588235294117654,False,True
AUDNZD,A,5.0,0.9,1.0901417940618223,1.2437749893126395,1.1418928779564381,0.9466819994444025,329.2478609468473,225.44237117007927,0.37620320855614986,False,True
AUDNZD,B,4.0,1.01,1.075544150858919,1.1035627075356786,1.0855418891203965,0.7999700954865003,143.53223234291835,264.94148966917885,0.35348837209302336,False,False
AUDNZD,B,4.0,0.5,1.1007685407545622,1.115023718941838,1.1058888188726606,0.8742993948217133,111.10144309199191,164.62647161252863,0.2539534883720931,False,False
AUDNZD,B,4.0,0.6,1.083085390626134,1.134192359741299,1.101185853119891,0.8906385948962348,135.0661771207735,182.53481954190175,0.2709302325581395,False,False
AUDNZD,B,4.0,0.7,1.0537201661545594,1.16750820850414,1.0925172767742537,0.94593695238443,171.279652597798,182.53481954190173,0.28,False,False
AUDNZD,B,4.0,0.8,1.0119744043625527,1.1125229647800932,1.0465356602354061,0.8422698291108865,128.47392030678787,201.3401402396044,0.3004651162790698,False,False
AUDNZD,B,4.0,0.9,1.0986550698208672,1.1298584236848912,1.1094819983865374,0.8508659153435523,155.65462678376798,201.95498074094658,0.3167441860465117,False,False
AUDNZD,B,4.5,1.01,1.0440207539620858,1.0841808129653985,1.059125392403737,0.8651865663075229,125.89816768158074,336.56999820349154,0.40307692307692317,False,False
AUDNZD,B,4.5,0.5,1.0810795212760596,1.1458513591449733,1.1045594867491495,0.86182165662965,145.30336249073892,165.0708000560302,0.29205128205128206,False,False
AUDNZD,B,4.5,0.6,1.0563024512640133,1.1472727132372975,1.089158009356352,0.9228249749919348,155.2128220302955,203.06485098164012,0.3097435897435898,False,False
AUDNZD,B,4.5,0.7,1.0946177635938663,1.1266190887397296,1.1063085190054718,0.8786476869758779,141.7606180677745,203.0648509816401,0.3217948717948718,False,False
AUDNZD,B,4.5,0.8,1.052596265051704,1.0936668543364876,1.0675683276198404,0.8675340762271345,114.57391712758445,240.61854402597953,0.3430769230769231,False,False
AUDNZD,B,4.5,0.9,1.0808690324486177,1.107970911960546,1.0907686163907906,0.9058818953467769,138.53075253918678,235.18097132579288,0.3610256410256411,False,False
AUDNZD,B,5.0,1.01,1.028047612296146,1.172936659485472,1.080344631778833,0.7994674450646543,244.95133008777054,295.6662084804244,0.41978609625668456,False,False
AUDNZD,B,5.0,0.5,1.0530911674816523,1.2364774248792638,1.1158431922129985,0.9612226183459421,221.2568531146069,147.2021577355361,0.30320855614973263,False,True
