pair,grp,year,pf,net,n_tp,n_fs,n_b48,n_force,tp_fs_ratio,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
EURCAD,CAND_MIXED,2024,1.0547,143952.0,127,1,3,4,31.75,1404980.0,-1098252.0,21.021782178217702,0.029880321095236476,61.02178217821746,0.10286542176432711
EURCAD,CAND_MIXED,2025,1.281,814011.0,115,2,1,3,38.333333333333336,1121256.0,-1121256.0,72.63126843658002,0.09451242917901383,105.29793510324764,0.08548931383577053
EURCAD,CAND_MIXED,2026,1.0358,40211.0,55,1,0,1,55.0,1122660.0,-1122660.0,7.63440860215064,0.02389875008415072,55.92831541218686,0.12727922774401143
GBPCAD,CAND_MIXED,2015,2.0459,1497370.0,58,1,0,1,58.0,1431648.0,-1431648.0,70.93209672076836,0.09857787325456524,99.14850391961984,0.038683788121990366
GBPCAD,CAND_MIXED,2016,1.1249,714709.0,101,4,0,4,25.25,2151819.0,-1479060.0,110.05048859934786,0.13951337250055998,146.99999999999912,0.09578728175556624
GBPCAD,CAND_MIXED,2017,0.8603,-732306.0,109,3,1,4,27.25,2012156.0,-1691496.0,15.717287488061285,0.020082203282273555,80.89780324737438,0.09212218649517685
GBPCAD,CAND_MIXED,2018,4.2973,1910532.0,65,0,1,1,65.0,579420.0,-579420.0,17.480022831050206,0.022713585579598856,72.9006849315064,0.03903614457831325
GBPCAD,CAND_MIXED,2019,2.6358,1736328.0,57,0,1,1,57.0,1026108.0,-1026108.0,5.667661097852026,0.007458215854067445,80.25775656324525,0.049670470985372125
GBPCAD,CAND_MIXED,2020,1.1876,378953.0,61,1,1,2,30.5,1392012.0,-1392012.0,7.57624831309055,0.009808813745058957,56.98245614035153,0.04272683629380701
GBPCAD,CAND_MIXED,2021,inf,3681705.0,128,0,0,0,128.0,0.0,0.0,15.688618468145963,0.023268257518894747,62.43879742304918,0.10432692307692308
GBPCAD,CAND_MIXED,2022,0.5631,-1653414.0,61,2,0,2,30.5,2395224.0,-2395224.0,28.771238040011696,0.03988475736022331,135.28732966077155,0.05305337393813111
GBPCAD,CAND_MIXED,2023,inf,687794.0,23,0,0,0,23.0,0.0,0.0,24.829553264605053,0.034207125103562504,60.743642611684535,0.015918958031837915
GBPCAD,CAND_MIXED,2024,0.9496,-90350.0,65,1,1,2,32.5,1400220.0,-1400220.0,72.1198738170327,0.09511091142063137,91.20504731860954,0.038634900193174504
GBPCAD,CAND_MIXED,2025,2.4147,1336253.0,73,0,1,1,73.0,944568.0,-944568.0,24.951532430506422,0.03307649062468999,72.74910905203258,0.05768921741925116
GBPCAD,CAND_MIXED,2026,0.6823,-375493.0,27,0,2,2,13.5,654353.0,-683316.0,14.874666666666464,0.045855118213804266,42.501333333332816,0.04504826599928495
EURAUD,CAND_MIXED,2015,1.2305,944739.0,94,3,0,3,31.333333333333332,1350411.0,-1438000.0,2.533894550288011,0.003166175786699742,90.53478068232215,0.07885016862052352
EURAUD,CAND_MIXED,2016,0.64,-1363236.0,62,3,0,3,20.666666666666668,2410043.0,-1287100.0,10.386306846576668,0.013942698280760587,76.1849075462266,0.049527167815355023
EURAUD,CAND_MIXED,2017,0.3367,-1798836.0,28,2,0,2,14.0,2564221.0,-1473300.0,38.60417379404739,0.0516852203355051,102.67943893260396,0.02265788205045798
EURAUD,CAND_MIXED,2018,1.1187,262911.0,81,1,1,2,40.5,1268482.0,-1245800.0,42.87318087318033,0.062494254742930674,58.34788634788565,0.0806425702811245
EURAUD,CAND_MIXED,2019,0.822,-377604.0,73,1,1,2,36.5,1263200.0,-1263200.0,16.562200956937925,0.021465002712968022,61.58213716108494,0.058464503694185675
EURAUD,CAND_MIXED,2020,1.1038,330118.0,110,2,1,3,36.666666666666664,1821011.0,-1337700.0,5.256288630156656,0.00589951846196927,159.80163863734495,0.0976
EURAUD,CAND_MIXED,2021,0.8447,-306525.0,53,0,3,3,17.666666666666668,1110611.0,-765900.0,13.168167086784438,0.018782988882656608,59.68023046453095,0.04951923076923077
EURAUD,CAND_MIXED,2022,2.0242,1297532.0,61,1,0,1,61.0,1266900.0,-1266900.0,1.962717058222659,0.002722161068634159,69.40296220633242,0.049527167815355023
EURAUD,CAND_MIXED,2023,0.5148,-1525179.0,48,2,1,3,16.0,1758182.0,-1290500.0,22.276359267046672,0.03073379324750072,76.05166716731595,0.035192029567732604
EURAUD,CAND_MIXED,2024,0.6086,-1484529.0,83,2,2,4,20.75,1871271.0,-1340300.0,26.358476474981046,0.03859455205977962,63.77893950709405,0.0803714377201409
EURAUD,CAND_MIXED,2025,3.3284,1312311.0,49,0,1,1,49.0,563600.0,-563600.0,40.07182866556795,0.050908345053914755,101.39505766062499,0.04273092369477911
EURAUD,CAND_MIXED,2026,0.7712,-135911.0,18,0,1,1,18.0,564632.0,-594000.0,59.699999999999925,0.17497325576283365,75.29499999999993,0.041830532713621735
EURNZD,CAND_MIXED,2015,1.6642,1652865.0,68,1,2,3,22.666666666666668,1287974.0,-1347708.0,9.95615384615384,0.013062891215576567,151.0923076923076,0.06522088353413655
EURNZD,CAND_MIXED,2016,inf,2261623.0,44,0,0,0,44.0,0.0,0.0,21.75447736893513,0.030473449613228162,78.42917616411569,0.027243589743589744
EURNZD,CAND_MIXED,2017,0.6879,-530975.0,35,0,2,2,17.5,1007196.0,-1041164.0,70.33323774017883,0.09362507215084334,118.23515916260557,0.03427192276749799
EURNZD,CAND_MIXED,2018,0.9665,-84748.0,78,1,2,3,26.0,1485163.0,-1288092.0,5.918454935622347,0.008776451869530603,68.66952789699617,0.08866045615162223
EURNZD,CAND_MIXED,2019,0.9014,-126313.0,33,1,0,1,33.0,1280732.0,-1280732.0,19.97709128774787,0.028022985528387754,68.69767441860624,0.02746987951807229
EURNZD,CAND_MIXED,2020,0.7657,-616384.0,49,2,0,2,24.5,1753937.0,-1335748.0,12.874731182795601,0.01479370543185418,123.52365591397808,0.04258043861053305
EURNZD,CAND_MIXED,2021,1.1249,440158.0,118,2,1,3,39.333333333333336,2131423.0,-1290300.0,17.312877731287884,0.025128001662604458,47.7340771734082,0.10859801090792429
EURNZD,CAND_MIXED,2022,0.8508,-393425.0,53,2,0,2,26.5,1556440.0,-1345960.0,7.3860596104201015,0.010529767202210915,64.29946022060544,0.05052125100240577
EURNZD,CAND_MIXED,2023,0.9634,-86943.0,59,1,2,3,19.666666666666668,1492007.0,-1330872.0,21.884584557841073,0.030934266665961645,67.24338765695906,0.05705076551168413
EURNZD,CAND_MIXED,2024,1.911,892167.0,61,0,1,1,61.0,979340.0,-979340.0,48.534586971120966,0.07068695892707004,59.86903962390797,0.05293644408688657
EURNZD,CAND_MIXED,2025,1.1009,261191.0,73,2,0,2,36.5,1879593.0,-1302444.0,79.80539899139606,0.10785749967725794,104.26283002076383,0.06179594464113292
EURNZD,CAND_MIXED,2026,1.8827,1197051.0,67,0,2,2,33.5,991422.0,-890652.0,21.765356265356512,0.06354905530098566,42.53316953316988,0.13764747944225955
GBPAUD,CAND_MIXED,2015,0.6621,-1664029.0,57,3,0,3,19.0,2843071.0,-1697100.0,27.301906058543256,0.03797300566330977,96.11300204220565,0.045622489959839356
GBPAUD,CAND_MIXED,2016,0.9415,-185414.0,48,2,0,2,24.0,2393371.0,-1592400.0,76.92636833660198,0.10320428890503683,132.59689784275275,0.04616124378906876
GBPAUD,CAND_MIXED,2017,0.6594,-1473443.0,68,2,1,3,22.666666666666668,2526657.0,-1570000.0,6.97355829765816,0.009256919289772512,73.76177285318657,0.058029255746664524
GBPAUD,CAND_MIXED,2018,1.2607,937314.0,97,1,2,3,32.333333333333336,1899696.0,-1632700.0,28.439639639639964,0.038224951807112245,58.68468468468526,0.07983935742971887
GBPAUD,CAND_MIXED,2019,1.0012,3243.0,50,1,1,2,25.0,1976479.0,-1800500.0,28.715666327568776,0.03895156772211802,69.86113936927808,0.0342278643740961
GBPAUD,CAND_MIXED,2020,2.9409,2622946.0,68,0,2,2,34.0,712700.0,-712700.0,35.71244444444413,0.049967352979584725,106.57733333333239,0.06050904434128382
GBPAUD,CAND_MIXED,2021,0.6067,-1555836.0,72,2,1,3,24.0,2732596.0,-1629200.0,35.68993186979576,0.05567201190279384,73.68175624526906,0.06893235011221545
GBPAUD,CAND_MIXED,2022,0.7832,-1339407.0,102,3,1,4,25.5,2232032.0,-1616900.0,27.59781121751011,0.03946251380685917,105.67031463748236,0.08066067992302758
GBPAUD,CAND_MIXED,2023,0.5497,-1062536.0,34,1,1,2,17.0,2020661.0,-1585700.0,35.4915165753064,0.05145948466335684,100.41190289741505,0.02653159671972986
GBPAUD,CAND_MIXED,2024,2.1585,756996.0,50,0,1,1,50.0,653400.0,-653400.0,69.08055645422205,0.09667911180978579,76.73503720478796,0.0412703530549734
GBPAUD,CAND_MIXED,2025,1.6008,966086.0,66,1,0,1,66.0,1544089.0,-1608000.0,1.0422133485454406,0.001409264428762074,81.91158014831714,0.05014464802314368
GBPAUD,CAND_MIXED,2026,0.9205,-125229.0,44,1,0,1,44.0,1575900.0,-1575900.0,51.89596083231373,0.15751492061840922,71.12668298653655,0.06936002860207365
GBPNZD,CAND_MIXED,2015,0.353,-5790927.0,31,3,0,3,10.333333333333334,6488576.0,-5660392.0,31.849671788213293,0.042632399975127265,122.33109716511592,0.020102926986169185
GBPNZD,CAND_MIXED,2016,0.894,-728495.0,89,4,0,4,22.25,2505883.0,-2008544.0,81.330966347638,0.11499173457757728,124.53257178141374,0.0683568677792041
GBPNZD,CAND_MIXED,2017,0.906,-329994.0,68,1,2,3,22.666666666666668,2469763.0,-1619752.0,38.00951557093429,0.050042851733003824,91.01816608996552,0.0709687801738011
GBPNZD,CAND_MIXED,2018,0.7269,-698816.0,46,1,1,2,23.0,2021348.0,-1603192.0,1.2053196453569635,0.0016644188742393822,76.74521698553401,0.03937007874015748
GBPNZD,CAND_MIXED,2019,1.0258,140941.0,124,2,2,4,31.0,3347778.0,-1598960.0,23.548504907555355,0.0323990415265229,72.87605569504672,0.11568123393316196
GBPNZD,CAND_MIXED,2020,0.6752,-2190172.0,56,4,0,4,14.0,3542128.0,-1758856.0,19.46933718769364,0.027495968482720574,95.20751600247814,0.046444586803331196
GBPNZD,CAND_MIXED,2021,1.5056,832833.0,63,0,2,2,31.5,1085784.0,-1085784.0,28.184162062614995,0.04469730601182261,53.31123388581941,0.061597690086621755
GBPNZD,CAND_MIXED,2022,1.1528,410941.0,64,1,1,2,32.0,1595464.0,-1595464.0,21.624260355029804,0.03188319817835229,70.84023668639118,0.06614223791940921
GBPNZD,CAND_MIXED,2023,0.8326,-846420.0,91,3,0,3,30.333333333333332,3530677.0,-1830156.0,36.94746760895232,0.053221913955609726,90.75429917550203,0.09199483537766301
GBPNZD,CAND_MIXED,2024,0.9652,-122169.0,97,1,2,3,32.333333333333336,1841863.0,-1656552.0,92.04958677686099,0.12816146180931115,96.52892561983626,0.08336020638503709
GBPNZD,CAND_MIXED,2025,1.0915,152904.0,44,1,0,1,44.0,1671180.0,-1671180.0,38.60943106099416,0.05450429004122914,67.21219887237274,0.027844841461451796
GBPNZD,CAND_MIXED,2026,0.854,-361816.0,52,1,1,2,26.0,1606320.0,-1606320.0,14.246696035242294,0.04675222629649052,38.248769111168464,0.11083303539506614
