pair,grp,year,pf,net,n_tp,n_fs,n_b48,n_force,tp_fs_ratio,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
CHFJPY,ANCHOR_NOGO,2015,0.7227,-105439.0,9,0,1,1,9.0,370200.0,-370200.0,57.62729298817089,0.14762302943852845,75.8059317675298,0.012875536480686695
CHFJPY,ANCHOR_NOGO,2016,1.02,29821.0,58,1,1,2,29.0,1106700.0,-1106700.0,25.622911694510783,0.035672988742540504,88.71599045346062,0.05386341776210324
CHFJPY,ANCHOR_NOGO,2017,1.6625,808532.0,85,0,2,2,42.5,730618.0,-706200.0,5.315442146942241,0.008016944271554236,67.24681038275246,0.0729551663184959
CHFJPY,ANCHOR_NOGO,2018,0.4888,-543825.0,24,1,0,1,24.0,1063800.0,-1063800.0,25.79629629629643,0.04076637771164887,68.53996101364551,0.019274012206874396
CHFJPY,ANCHOR_NOGO,2019,1.0508,75689.0,97,0,4,4,24.25,563600.0,-563600.0,5.149839228295869,0.00795626834323236,59.313183279742994,0.0965151758471174
CHFJPY,ANCHOR_NOGO,2020,1.4352,479443.0,52,1,0,1,52.0,1063457.0,-1101600.0,32.057971014492736,0.043818376558794316,64.52873563218375,0.04992
CHFJPY,ANCHOR_NOGO,2021,1.2226,553154.0,149,1,2,3,49.666666666666664,1218882.0,-1009000.0,71.82773564463666,0.10766292671281932,80.12459371614253,0.1503205128205128
CHFJPY,ANCHOR_NOGO,2022,0.8678,-333214.0,76,2,1,3,25.333333333333332,2169471.0,-1077200.0,66.44592547712783,0.08492749695080637,118.36170857315908,0.06942440275773609
CHFJPY,ANCHOR_NOGO,2023,2.462,531454.0,23,0,1,1,23.0,343700.0,-343700.0,108.33878157503774,0.14438991932130082,137.8282317979206,0.027692803091289648
CHFJPY,ANCHOR_NOGO,2024,1.0559,211857.0,111,3,1,4,27.75,1872500.0,-1150700.0,24.000602046959834,0.033825721803484234,62.29199277543672,0.09523047375160051
CHFJPY,ANCHOR_NOGO,2025,1.0406,168689.0,106,4,0,4,26.5,1835343.0,-1106500.0,99.67740063823689,0.14116361335595753,133.87931534667925,0.1005631536604988
CHFJPY,ANCHOR_NOGO,2026,0.5739,-443432.0,18,1,0,1,18.0,1040700.0,-1040700.0,15.383038210624608,0.045066510371540865,37.05498602050358,0.036076662908680945
GBPJPY,ANCHOR_NOGO,2015,inf,789032.0,14,0,0,0,14.0,0.0,0.0,46.94928084784225,0.10407041393243625,66.85591723441804,0.020594965675057208
GBPJPY,ANCHOR_NOGO,2016,1.1135,210646.0,35,1,0,1,35.0,1821200.0,-1856600.0,87.61359093937342,0.10454101733287961,146.5236508994,0.02228278294325104
GBPJPY,ANCHOR_NOGO,2017,1.8651,1271414.0,75,1,0,1,75.0,1469600.0,-1469600.0,30.7904869762176,0.039492816252656375,70.59852774631965,0.05543949863409931
GBPJPY,ANCHOR_NOGO,2018,0.8096,-631596.0,72,1,2,3,24.0,1643711.0,-1528100.0,49.536908881199636,0.0666760849602528,69.56805074971189,0.06119498875682621
