alloc,weights,net_yr,req99_joint,naive_sum,diversification,cap_eff,p_loss_5yr
AUDCAD単独,"[1,0,0,0]",501200.0,691176.0,691176.0,0.0,0.725,0.0003
等ロット,"[1,1,1,1]",1877198.0,1784472.0,6488012.0,0.725,1.052,0.0
等req_cap配分,"[1,0.305,0.552,0.303]",954049.0,741514.0,2763675.0,0.7317,1.287,0.0
リスクバジェット(inv-std),"[1,0.355,1.032,0.556]",1150551.0,1180375.0,4053901.0,0.7088,0.975,0.0
