pair,strat,full_pf,full_n,full_net,full_wr,full_sharpe,full_maxdd_R,is_pf,is_n,oos_pf,oos_n,oos_net,yr_pos_rate,n_years,PASS
EURGBP,DON_dc20,0.625,132,-2934.1,30.3,-2.46,31.6,0.679,86,0.496,46,-1167.2,25.0,12,
EURGBP,DON200_dc20,0.611,111,-2631.2,29.7,-2.44,28.5,0.626,72,0.57,39,-799.9,25.0,12,
EURGBP,DON_dc40,0.535,94,-2682.3,26.6,-3.03,28.5,0.618,59,0.368,35,-1215.0,8.0,12,
EURGBP,DON200_dc40,0.496,88,-2928.8,27.3,-3.43,31.0,0.539,56,0.396,32,-1066.4,8.0,12,
EURGBP,DON_dc55,0.464,83,-3089.4,21.7,-3.83,33.3,0.54,52,0.3,31,-1270.8,8.0,12,
EURGBP,DON200_dc55,0.436,80,-3271.2,22.5,-4.14,34.7,0.498,49,0.3,31,-1270.8,0.0,12,
EURGBP,EMAX_20_50,0.492,97,-2661.2,23.7,-3.11,28.5,0.535,63,0.403,34,-1022.0,15.0,13,
EURGBP,EMAX_50_100,0.612,45,-936.9,28.9,-1.71,10.9,0.706,29,0.392,16,-440.0,38.0,13,
EURGBP,EMAX_50_200,0.738,29,-338.2,41.4,-0.79,4.9,0.675,21,1.006,8,1.6,42.0,12,
EURGBP,TSMOM_100,0.77,182,-1274.4,34.6,-1.41,14.9,0.725,119,0.924,63,-95.7,33.0,12,
EURGBP,TSMOM_200,0.736,151,-1190.2,31.1,-1.72,18.3,0.695,97,0.843,54,-197.9,36.0,11,
EURGBP,TSMOM_400,1.353,69,586.1,46.4,0.72,4.2,1.271,38,1.494,31,302.2,50.0,8,
AUDCAD,DON_dc20,0.579,119,-3365.5,31.1,-3.01,31.1,0.617,74,0.522,45,-1518.6,17.0,12,
AUDCAD,DON200_dc20,0.521,93,-3026.9,29.0,-2.95,27.4,0.559,59,0.457,34,-1274.5,17.0,12,
AUDCAD,DON_dc40,0.516,84,-2613.8,32.1,-2.93,25.5,0.489,53,0.562,31,-868.7,17.0,12,
AUDCAD,DON200_dc40,0.476,76,-2597.2,28.9,-3.13,25.1,0.472,48,0.481,28,-946.8,17.0,12,
AUDCAD,DON_dc55,0.554,67,-1794.5,32.8,-2.05,19.7,0.724,40,0.384,27,-1236.0,33.0,12,
AUDCAD,DON200_dc55,0.512,64,-1999.9,28.1,-2.33,20.9,0.621,39,0.381,25,-1155.9,25.0,12,
AUDCAD,EMAX_20_50,0.764,70,-1076.1,35.7,-1.07,12.0,0.616,44,1.141,26,180.6,36.0,11,
AUDCAD,EMAX_50_100,0.492,30,-1130.9,26.7,-2.17,11.4,0.691,19,0.153,11,-695.8,18.0,11,
AUDCAD,EMAX_50_200,1.18,26,269.1,38.5,0.55,6.3,1.802,15,0.517,11,-350.6,50.0,10,
AUDCAD,TSMOM_100,0.71,144,-1688.5,31.9,-1.55,16.0,0.819,99,0.52,45,-1020.7,27.0,11,
AUDCAD,TSMOM_200,0.606,147,-2030.2,33.3,-2.25,17.6,0.621,88,0.58,59,-790.9,20.0,10,
AUDCAD,TSMOM_400,0.287,105,-3548.3,24.8,-4.46,33.5,0.374,32,0.251,73,-2626.6,40.0,10,
