pair,ci_th,atr_mult,max_levels,float_stop,is_pf,is_net,is_ntp,is_lev,oos_pf,oos_net,oos_ntp,oos_lev,oos_worst,oos_dd
GBPJPY,61.8,2.0,7,-500000.0,0.8688,-690940.0,61,10,1.4765,1343041.0,80,5,-689603.0,949782.0
GBPJPY,61.8,2.0,7,-750000.0,0.7137,-1853849.0,62,8,1.1411,499445.0,78,4,-991299.0,1497846.0
GBPJPY,61.8,2.0,7,-1000000.0,1.5983,1937422.0,70,3,4.3178,3514849.0,89,1,-1059398.0,1059398.0
GBPJPY,61.8,2.0,7,-1500000.0,1.059,279712.0,68,3,inf,4792661.0,94,0,0.0,0.0
GBPJPY,61.8,2.0,7,-2000000.0,2.6061,3219292.0,72,1,inf,4792661.0,94,0,0.0,0.0
GBPJPY,61.8,2.0,7,-3000000.0,inf,5297161.0,74,0,inf,4792661.0,94,0,0.0,0.0
GBPJPY,61.8,3.0,3,-500000.0,0.868,-530077.0,30,7,1.4382,996955.0,44,5,-588600.0,964088.0
GBPJPY,61.8,3.0,3,-750000.0,0.9926,-23226.0,28,5,1.5758,1210801.0,45,4,-767598.0,1178147.0
GBPJPY,61.8,3.0,3,-1000000.0,1.1157,333947.0,29,4,1.8848,1555497.0,45,4,-729001.0,833451.0
GBPJPY,61.8,3.0,3,-1500000.0,1.6758,1332047.0,29,4,1.8848,1555497.0,45,4,-729001.0,833451.0
GBPJPY,61.8,3.0,3,-2000000.0,1.6758,1332047.0,29,4,1.8848,1555497.0,45,4,-729001.0,833451.0
GBPJPY,61.8,3.0,3,-3000000.0,1.6758,1332047.0,29,4,1.8848,1555497.0,45,4,-729001.0,833451.0
GBPJPY,61.8,3.0,5,-500000.0,0.868,-530077.0,30,7,1.2195,592339.0,44,5,-572302.0,1061134.0
GBPJPY,61.8,3.0,5,-750000.0,0.8373,-635656.0,29,5,1.558,1308480.0,49,3,-805800.0,1047541.0
GBPJPY,61.8,3.0,5,-1000000.0,1.1853,571668.0,32,3,inf,4299268.0,59,0,0.0,0.0
GBPJPY,61.8,3.0,5,-1500000.0,2.4892,2286473.0,34,1,inf,4299268.0,59,0,0.0,0.0
GBPJPY,61.8,3.0,5,-2000000.0,inf,3925502.0,36,0,inf,4299268.0,59,0,0.0,0.0
GBPJPY,61.8,3.0,5,-3000000.0,inf,3925502.0,36,0,inf,4299268.0,59,0,0.0,0.0
GBPJPY,61.8,3.0,7,-500000.0,0.868,-530077.0,30,7,1.2195,592339.0,44,5,-572302.0,1061134.0
GBPJPY,61.8,3.0,7,-750000.0,0.8373,-635656.0,29,5,1.558,1308480.0,49,3,-805800.0,1047541.0
GBPJPY,61.8,3.0,7,-1000000.0,1.1853,571668.0,32,3,inf,4299268.0,59,0,0.0,0.0
GBPJPY,61.8,3.0,7,-1500000.0,2.4892,2286473.0,34,1,inf,4299268.0,59,0,0.0,0.0
GBPJPY,61.8,3.0,7,-2000000.0,inf,3925502.0,36,0,inf,4299268.0,59,0,0.0,0.0
GBPJPY,61.8,3.0,7,-3000000.0,inf,3925502.0,36,0,inf,4299268.0,59,0,0.0,0.0
GBPJPY,65.0,1.0,3,-500000.0,0.9998,-806.0,97,8,0.9689,-54152.0,70,4,-529501.0,1093089.0
GBPJPY,65.0,1.0,3,-750000.0,1.2012,584717.0,91,5,1.0696,106078.0,68,3,-885298.0,946806.0
GBPJPY,65.0,1.0,3,-1000000.0,1.2861,771072.0,91,4,1.1482,210476.0,68,3,-780901.0,842409.0
GBPJPY,65.0,1.0,3,-1500000.0,1.208,575443.0,88,4,1.1482,210476.0,68,3,-780901.0,842409.0
