pair,lb,adx,er_n,er_th,dir,full_pf,full_n,full_net,full_sh,full_dd,is_pf,is_n,oos_pf,oos_n,wfo_min,wfo_med,yr_pos,PASS
GBPJPY,100,20,20,0.3,both,0.915,161,-1852.6,-0.57,23.8,1.108,104,0.639,57,0.25,0.7,33.0,
GBPJPY,100,20,20,0.3,long,0.747,83,-2681.1,-1.15,13.6,0.612,49,0.885,34,0.42,0.68,27.0,
GBPJPY,100,20,20,0.4,both,0.911,100,-1244.8,0.21,9.0,0.956,67,0.849,33,0.53,1.06,50.0,
GBPJPY,100,20,20,0.4,long,1.246,51,1296.9,0.6,4.0,1.13,30,1.323,21,1.15,1.37,73.0,
GBPJPY,100,20,30,0.35,both,0.689,70,-3816.0,-0.65,14.2,0.643,47,0.777,23,0.23,0.81,36.0,
GBPJPY,100,20,30,0.35,long,0.976,33,-112.7,-0.1,7.4,0.709,18,1.23,15,0.23,0.71,60.0,
GBPJPY,100,25,0,0.0,both,0.525,184,-13781.1,-3.26,53.9,0.525,120,0.525,64,0.35,0.46,17.0,
GBPJPY,100,25,0,0.0,long,0.512,98,-6536.9,-3.01,29.3,0.279,55,0.793,43,0.38,0.79,27.0,
GBPJPY,100,25,20,0.3,both,0.665,115,-6097.6,-1.59,26.8,0.637,76,0.718,39,0.65,0.76,17.0,
GBPJPY,100,25,20,0.3,long,0.721,58,-2137.1,-1.35,13.7,0.486,33,0.956,25,0.47,1.64,55.0,
GBPJPY,100,25,20,0.4,both,0.675,84,-4438.0,-1.02,16.8,0.754,54,0.562,30,0.38,0.59,33.0,
GBPJPY,100,25,20,0.4,long,0.769,41,-1184.2,-1.05,9.1,0.761,22,0.774,19,0.19,2.17,55.0,
GBPJPY,100,25,30,0.35,both,0.667,66,-3899.0,-0.8,15.1,0.615,45,0.79,21,0.46,0.67,36.0,
GBPJPY,100,25,30,0.35,long,0.974,30,-106.0,-0.27,6.2,0.717,16,1.24,14,0.46,0.63,50.0,
GBPJPY,100,30,0,0.0,both,0.609,117,-7800.7,-1.97,30.2,0.677,77,0.489,40,0.08,0.39,17.0,
GBPJPY,100,30,0,0.0,long,0.484,64,-4846.6,-2.58,20.8,0.368,36,0.616,28,0.11,0.43,27.0,
GBPJPY,100,30,20,0.3,both,0.735,82,-3720.3,-0.92,17.6,0.744,53,0.718,29,0.15,0.55,33.0,
GBPJPY,100,30,20,0.3,long,0.689,45,-1944.6,-1.18,12.1,0.568,24,0.797,21,0.43,0.6,36.0,
GBPJPY,100,30,20,0.4,both,0.644,61,-3869.5,-0.94,14.7,0.701,40,0.553,21,0.44,0.7,25.0,
GBPJPY,100,30,20,0.4,long,0.651,32,-1549.4,-1.23,8.9,0.692,18,0.618,14,0.24,1.98,27.0,
GBPJPY,100,30,30,0.35,both,0.817,50,-1584.7,-0.02,7.6,0.8,34,0.86,16,0.37,0.42,36.0,
GBPJPY,100,30,30,0.35,long,0.851,28,-566.0,-0.6,7.9,0.688,16,1.046,12,0.34,0.4,50.0,
GBPJPY,150,0,0,0.0,both,0.577,338,-21799.5,-3.64,85.0,0.689,200,0.441,138,0.17,0.41,17.0,
GBPJPY,150,0,0,0.0,long,0.574,177,-10574.7,-2.59,37.3,0.526,90,0.612,87,0.17,0.52,9.0,
GBPJPY,150,0,20,0.3,both,0.77,185,-6363.3,-1.32,36.1,0.91,118,0.574,67,0.29,0.58,42.0,
GBPJPY,150,0,20,0.3,long,0.639,100,-5300.7,-1.52,18.5,0.513,52,0.741,48,0.39,0.58,27.0,
GBPJPY,150,0,20,0.4,both,0.754,115,-4241.3,-0.36,11.5,0.768,75,0.733,40,0.45,0.98,42.0,
GBPJPY,150,0,20,0.4,long,1.035,55,229.1,0.3,6.6,0.769,30,1.226,25,0.76,1.9,55.0,
GBPJPY,150,0,30,0.35,both,0.475,88,-8258.7,-2.16,28.0,0.457,60,0.508,28,0.23,0.37,27.0,
GBPJPY,150,0,30,0.35,long,0.644,37,-2041.7,-0.84,8.1,0.428,20,0.858,17,0.23,0.43,40.0,
GBPJPY,150,20,0,0.0,both,0.581,276,-17923.5,-3.21,70.0,0.727,170,0.392,106,0.18,0.34,17.0,
GBPJPY,150,20,0,0.0,long,0.535,143,-9305.0,-2.52,32.5,0.514,76,0.553,67,0.18,0.37,18.0,
GBPJPY,150,20,20,0.3,both,0.837,159,-3773.5,-0.83,26.5,0.897,106,0.732,53,0.38,0.81,42.0,
GBPJPY,150,20,20,0.3,long,0.758,81,-2673.9,-0.79,13.2,0.483,47,1.087,34,0.5,0.85,36.0,
GBPJPY,150,20,20,0.4,both,0.782,103,-3460.3,-0.06,10.8,0.773,68,0.796,35,0.5,0.56,50.0,
GBPJPY,150,20,20,0.4,long,1.119,48,700.1,0.59,6.4,0.797,26,1.361,22,0.83,2.08,55.0,
GBPJPY,150,20,30,0.35,both,0.462,82,-8180.5,-2.08,26.0,0.451,57,0.482,25,0.23,0.4,27.0,
GBPJPY,150,20,30,0.35,long,0.656,34,-1920.3,-0.79,8.6,0.404,19,0.936,15,0.23,0.47,40.0,
GBPJPY,150,25,0,0.0,both,0.483,192,-16683.0,-3.41,56.0,0.545,123,0.39,69,0.2,0.55,8.0,
GBPJPY,150,25,0,0.0,long,0.513,99,-7083.2,-2.43,25.5,0.405,54,0.615,45,0.2,0.7,18.0,
GBPJPY,150,25,20,0.3,both,0.597,122,-8445.2,-1.82,30.2,0.588,82,0.614,40,0.26,0.46,33.0,
GBPJPY,150,25,20,0.3,long,0.721,61,-2497.3,-0.95,10.6,0.5,36,0.975,25,0.25,2.58,36.0,
GBPJPY,150,25,20,0.4,both,0.602,92,-6242.9,-1.18,17.4,0.665,60,0.51,32,0.11,0.46,50.0,
GBPJPY,150,25,20,0.4,long,0.737,44,-1650.6,-0.73,11.1,0.619,25,0.842,19,0.0,1.98,55.0,
GBPJPY,150,25,30,0.35,both,0.441,79,-8186.6,-2.3,27.3,0.439,56,0.446,23,0.26,0.46,27.0,
GBPJPY,150,25,30,0.35,long,0.619,32,-1873.8,-1.0,7.7,0.399,18,0.889,14,0.4,0.43,40.0,
GBPJPY,150,30,0,0.0,both,0.539,124,-10105.4,-2.14,31.9,0.664,82,0.338,42,0.13,0.23,17.0,
GBPJPY,150,30,0,0.0,long,0.458,66,-5633.5,-2.12,18.4,0.474,38,0.441,28,0.13,0.28,27.0,
GBPJPY,150,30,20,0.3,both,0.556,91,-7645.5,-1.62,24.1,0.651,60,0.407,31,0.31,0.43,25.0,
GBPJPY,150,30,20,0.3,long,0.551,46,-3406.1,-1.3,10.5,0.574,25,0.53,21,0.29,0.43,18.0,
GBPJPY,150,30,20,0.4,both,0.432,68,-7596.3,-1.97,21.6,0.528,44,0.295,24,0.16,0.43,25.0,
GBPJPY,150,30,20,0.4,long,0.396,30,-3160.3,-1.86,10.4,0.44,16,0.359,14,0.0,0.0,27.0,
GBPJPY,150,30,30,0.35,both,0.511,62,-5490.2,-1.34,17.3,0.555,44,0.41,18,0.02,0.24,36.0,
GBPJPY,150,30,30,0.35,long,0.519,27,-2115.4,-1.21,8.6,0.392,15,0.669,12,0.0,0.23,33.0,
CHFJPY,60,0,0,0.0,both,0.611,351,-11470.2,-3.88,83.5,0.548,222,0.679,129,0.12,0.84,25.0,
CHFJPY,60,0,0,0.0,long,0.792,191,-3243.0,-1.79,33.4,0.501,107,1.033,84,0.18,1.0,25.0,
CHFJPY,60,0,20,0.3,both,0.672,168,-5087.0,-1.9,29.7,0.707,96,0.647,72,0.0,0.67,33.0,
CHFJPY,60,0,20,0.3,long,0.866,97,-1175.2,-0.61,12.9,0.703,46,0.944,51,0.0,1.42,42.0,
CHFJPY,60,0,20,0.4,both,0.594,100,-3777.0,-1.89,18.2,0.511,55,0.661,45,0.0,0.51,25.0,
CHFJPY,60,0,20,0.4,long,0.982,62,-86.4,-0.19,10.0,0.861,29,1.044,33,0.0,0.75,36.0,
CHFJPY,60,0,30,0.35,both,0.723,70,-1775.2,-1.52,16.3,0.391,41,1.145,29,0.28,1.29,42.0,
CHFJPY,60,0,30,0.35,long,1.306,42,1000.8,0.27,6.0,0.985,18,1.461,24,0.42,1.61,55.0,
CHFJPY,60,20,0,0.0,both,0.644,235,-7785.2,-2.77,49.5,0.58,131,0.694,104,0.12,0.95,33.0,
CHFJPY,60,20,0,0.0,long,0.92,140,-957.7,-0.86,20.2,0.59,68,1.116,72,0.18,1.39,33.0,
CHFJPY,60,20,20,0.3,both,0.656,133,-4502.7,-1.83,26.4,0.724,71,0.612,62,0.0,0.81,42.0,
CHFJPY,60,20,20,0.3,long,0.857,82,-1105.3,-0.62,13.1,0.836,36,0.864,46,0.0,1.44,50.0,
CHFJPY,60,20,20,0.4,both,0.615,83,-2996.9,-1.75,14.8,0.47,45,0.753,38,0.0,0.34,25.0,
CHFJPY,60,20,20,0.4,long,1.007,55,31.5,-0.23,9.1,0.895,26,1.069,29,0.0,0.48,36.0,
CHFJPY,60,20,30,0.35,both,0.705,64,-1764.0,-1.56,13.0,0.4,36,1.026,28,0.25,1.23,42.0,
CHFJPY,60,20,30,0.35,long,1.171,41,576.9,-0.11,6.0,0.898,18,1.298,23,0.38,1.55,55.0,
