run,rsi_buy_max,rsi_sell_min,bw_ratio,bw_lookback,sl_atr_mult,rr,PF,WR,N,MaxDD,avg_win,avg_loss,delta_pf,verdict
84,55,40,0.8,20,3.0,2.0,3.98,66.7,9,180.4,179.8,90.4,2.335,REJECT
85,55,40,0.8,30,2.0,1.5,1.577,50.0,10,181.0,87.6,55.6,-0.068,REJECT
86,55,40,0.8,30,2.0,2.0,2.102,50.0,10,181.0,116.8,55.6,0.457,REJECT
87,55,40,0.8,30,2.5,1.5,1.577,50.0,10,226.2,109.5,69.5,-0.068,REJECT
88,55,40,0.8,30,2.5,2.0,1.37,40.0,10,226.2,144.8,70.5,-0.275,REJECT
89,55,40,0.8,30,3.0,1.5,2.176,55.6,9,145.4,132.4,76.1,0.531,REJECT
90,55,40,0.8,30,3.0,2.0,2.901,55.6,9,145.4,176.5,76.1,1.256,REJECT
91,55,40,1.0,10,2.0,1.5,1.998,55.6,9,181.0,89.1,55.8,0.353,REJECT
92,55,40,1.0,10,2.0,2.0,2.663,55.6,9,181.0,118.8,55.8,1.018,REJECT
93,55,40,1.0,10,2.5,1.5,1.998,55.6,9,226.2,111.4,69.7,0.353,REJECT
94,55,40,1.0,10,2.5,2.0,2.663,55.6,9,226.2,148.5,69.7,1.018,REJECT
95,55,40,1.0,10,3.0,1.5,6.159,75.0,8,68.2,134.9,65.7,4.514,REJECT
96,55,40,1.0,10,3.0,2.0,8.211,75.0,8,68.2,179.8,65.7,6.566,REJECT
97,55,40,1.0,20,2.0,1.5,3.923,66.7,3,54.8,107.6,54.8,2.278,REJECT
98,55,40,1.0,20,2.0,2.0,5.231,66.7,3,54.8,143.4,54.8,3.586,REJECT
99,55,40,1.0,20,2.5,1.5,3.923,66.7,3,68.6,134.5,68.6,2.278,REJECT
100,55,40,1.0,20,2.5,2.0,5.231,66.7,3,68.6,179.3,68.6,3.586,REJECT
101,55,40,1.0,20,3.0,1.5,3.923,66.7,3,82.3,161.4,82.3,2.278,REJECT
102,55,40,1.0,20,3.0,2.0,5.231,66.7,3,82.3,215.1,82.3,3.586,REJECT
103,55,40,1.0,30,2.0,1.5,2.135,50.0,2,54.8,117.1,54.8,0.49,REJECT
104,55,40,1.0,30,2.0,2.0,2.847,50.0,2,54.8,156.1,54.8,1.202,REJECT
105,55,40,1.0,30,2.5,1.5,2.135,50.0,2,68.6,146.4,68.6,0.49,REJECT
106,55,40,1.0,30,2.5,2.0,2.847,50.0,2,68.6,195.1,68.6,1.202,REJECT
107,55,40,1.0,30,3.0,1.5,2.135,50.0,2,82.3,175.6,82.3,0.49,REJECT
