time,dir,pnl,reason,entry,hold_h,pair
2015-07-23 04:00:00,long,-0.3466428571428486,SL,124.10300000000001,12.0,USDJPY
2015-08-14 08:00:00,long,-0.482999999999999,Tmax,124.596,24.0,USDJPY
2015-08-17 12:00:00,long,-0.2987499999999932,SL,124.51,4.0,USDJPY
2015-08-18 08:00:00,long,-0.2730357142857065,SL,124.453,8.0,USDJPY
2015-08-19 12:00:00,long,-0.2730357142857065,SL,124.408,20.0,USDJPY
2015-09-24 20:00:00,short,-0.25099999999999967,SMAbreak,120.027,16.0,USDJPY
2015-10-02 16:00:00,short,-0.6887499999999938,SL,119.398,0.0,USDJPY
2015-10-05 04:00:00,short,-0.2260000000000082,SMAbreak,119.951,8.0,USDJPY
2015-10-08 08:00:00,short,0.01400000000000091,slope_exit,119.895,16.0,USDJPY
2015-10-29 00:00:00,long,-0.5112142857142834,SL,121.17,4.0,USDJPY
2015-10-30 00:00:00,long,-0.5074642857142868,SL,120.94500000000001,12.0,USDJPY
2015-11-26 16:00:00,long,-0.2990000000000015,Tmax,122.864,24.0,USDJPY
2015-12-06 20:00:00,long,0.06099999999998374,Tmax,123.12400000000001,52.0,USDJPY
2015-12-31 08:00:00,short,0.008999999999991246,Tmax,120.40299999999999,24.0,USDJPY
2016-03-10 00:00:00,short,-0.5480000000000109,SMAbreak,113.22099999999999,0.0,USDJPY
2016-03-11 00:00:00,short,-0.4350000000000114,SMAbreak,113.05999999999999,4.0,USDJPY
2016-03-22 16:00:00,short,-0.5160357142857157,SL,111.84299999999999,12.0,USDJPY
2016-04-29 00:00:00,short,1.9925,TP,109.378,20.0,USDJPY
2016-05-26 12:00:00,long,-0.47992857142856793,SL,110.03800000000001,4.0,USDJPY
2016-09-11 20:00:00,long,-0.2910000000000059,Tmax,102.75200000000001,56.0,USDJPY
2016-10-13 08:00:00,long,0.24600000000000022,Tmax,103.539,24.0,USDJPY
