pair,gm,lv,ci_pct,is_best,full_PF,full_n,full_PnL,full_DD,full_hold,IS_PF,IS_n,IS_PnL,OOS_PF,OOS_n,OOS_PnL,OOS_DD,OOS_hold
EURGBP,1.5,3,12.2,False,0.672,211,-16809,19.42,60.4,0.552,131,-16819,1.001,80,11,3.08,62.3
EURGBP,1.5,5,12.2,False,0.786,222,-11114,13.34,91.2,0.728,135,-9221,0.861,82,-2371,10.39,119.8
EURGBP,1.5,7,12.2,False,1.013,224,544,20.14,175.3,0.82,138,-5781,1.589,86,6325,7.2,127.7
EURGBP,2.0,3,12.2,False,0.738,165,-11788,14.97,74.4,0.603,100,-12676,1.248,67,3006,2.65,73.4
EURGBP,2.0,5,12.2,True,0.967,159,-1273,7.94,133.6,0.912,97,-2143,1.0,60,-5,7.5,114.4
EURGBP,2.0,7,12.2,False,0.899,154,-4383,17.21,270.1,0.819,100,-5608,1.464,63,5417,11.68,281.2
EURJPY,1.0,3,12.5,False,0.632,301,-36311,41.21,38.6,0.707,219,-20366,0.439,79,-16043,19.05,35.3
EURJPY,1.0,5,12.5,False,0.691,349,-35791,54.22,53.5,0.85,260,-11668,0.317,84,-26961,30.53,50.5
EURJPY,1.0,7,12.5,True,1.255,375,19417,44.57,80.9,1.772,275,34034,0.482,96,-17181,20.75,59.2
EURJPY,1.5,3,12.5,False,0.729,228,-25752,36.03,50.6,0.877,164,-7684,0.432,62,-18273,21.66,54.1
EURJPY,1.5,5,12.5,False,1.033,226,2612,35.83,98.1,1.225,167,12290,0.582,59,-9971,13.36,74.8
EURJPY,1.5,7,12.5,False,0.781,223,-23063,67.75,144.5,1.187,163,10584,0.303,60,-33941,39.4,143.4
EURJPY,2.0,3,12.5,False,0.88,169,-8958,22.51,69.6,1.036,125,1827,0.471,43,-13346,16.6,83.2
EURJPY,2.0,5,12.5,False,0.848,175,-14858,67.36,153.0,1.09,132,5651,0.377,42,-22818,27.48,164.1
EURJPY,2.0,7,12.5,False,0.738,163,-28379,71.89,194.4,0.99,119,-675,0.329,44,-28107,33.12,160.6
EURUSD,1.0,3,7.1,False,0.736,226,-12485,14.28,32.2,0.681,171,-11969,0.947,55,-516,4.93,24.9
EURUSD,1.0,5,7.1,False,0.835,272,-8861,19.07,69.0,0.957,204,-1429,0.632,68,-7432,15.32,62.3
EURUSD,1.0,7,7.1,False,1.196,277,7888,12.91,71.8,1.191,210,5514,1.209,67,2374,11.36,67.0
EURUSD,1.5,3,7.1,False,0.787,168,-10024,14.46,50.1,0.78,125,-7876,0.807,43,-2148,6.61,43.0
EURUSD,1.5,5,7.1,False,1.998,166,21947,8.09,119.7,1.129,125,3524,1.537,41,4229,7.87,75.0
EURUSD,1.5,7,7.1,False,1.495,171,14816,15.35,119.0,0.878,128,-4304,1.626,43,4927,7.87,72.1
EURUSD,2.0,3,7.1,False,0.731,124,-12362,14.67,51.9,0.741,87,-8280,0.707,37,-4082,6.14,44.1
EURUSD,2.0,5,7.1,True,1.39,124,11412,11.08,136.9,1.565,92,10274,1.103,32,1138,11.08,110.8
EURUSD,2.0,7,7.1,False,0.51,122,-39309,60.88,216.3,0.332,90,-54879,1.103,32,1138,11.08,110.8
GBPAUD,1.0,3,15.5,False,0.823,360,-17211,26.74,34.2,0.674,205,-20107,1.025,154,912,18.72,30.2
GBPAUD,1.0,5,15.5,False,0.881,427,-14114,39.16,44.6,0.845,245,-9961,0.781,181,-12332,39.16,36.0
GBPAUD,1.0,7,15.5,False,0.81,418,-23348,59.02,76.2,0.91,229,-5050,0.687,188,-21633,59.02,68.1
GBPAUD,1.5,3,15.5,False,0.792,246,-21156,32.6,50.1,0.804,142,-10220,0.741,103,-13057,32.6,53.5
GBPAUD,1.5,5,15.5,False,1.132,257,10300,22.45,92.6,1.035,148,1633,1.18,111,6026,22.45,71.5
GBPAUD,1.5,7,15.5,False,2.19,260,53618,27.33,133.2,1.896,151,25897,2.413,111,25081,14.02,79.6
