pair,vol_thresh,bb_std,n,wins,wr_%,pf,avg_rr,avg_win_p,avg_loss_p,total_p,max_dd_p,dd_%,sharpe,adopt,n_tp,n_sl,n_fc
ALL,0.5,1.5,3,1,33.3,0.44,0.88,14.2,-16.2,-18.1,-25.7,338.2,-9.05,False,1,2,0
ALL,0.5,2.0,2,1,50.0,0.012,0.01,0.3,-25.7,-25.4,-25.7,8566.7,-2.39,False,0,1,1
ALL,0.6,1.5,31,13,41.9,0.565,0.78,15.6,-19.9,-156.0,-172.2,100.0,-1.23,False,13,16,2
ALL,0.6,2.0,22,8,36.4,0.247,0.43,9.9,-23.0,-242.2,-248.2,100.0,-2.25,False,7,14,1
ALL,0.7,1.5,88,45,51.1,0.694,0.66,13.2,-19.9,-261.8,-304.9,2345.4,-1.45,False,45,39,4
ALL,0.7,2.0,58,24,41.4,0.432,0.61,12.6,-20.6,-398.2,-432.7,6181.4,-2.49,False,23,31,4
ALL,0.8,1.5,179,93,52.0,0.711,0.66,13.0,-19.8,-492.3,-555.3,7119.2,-1.38,False,88,77,14
ALL,0.8,2.0,121,53,43.8,0.496,0.64,13.3,-20.9,-715.5,-781.1,10700.0,-2.35,False,50,58,13
