pair,datetime,bias,esi,entry,exit,result,pnl_raw,atr
EURUSD,2024-10-21 09:00:00,short,-100.0,1.0848517583847046,1.0860007582893532,SL,-0.0011489999046485622,0.0007659999364324308
EURUSD,2024-10-28 01:00:00,short,-100.0,1.0793472694396973,1.0804163909774724,SL,-0.001069121537775164,0.0007127476918501093
EURUSD,2024-11-01 20:00:00,short,-100.0,1.0835584568023682,1.085280811120518,SL,-0.0017223543181499323,0.0011482362120998828
EURUSD,2024-11-06 02:00:00,short,-100.0,1.076674001121521,1.0812717451511649,SL,-0.004597744029643858,0.0030651626864292296
EURUSD,2024-11-20 12:00:00,short,-100.0,1.0560892986297608,1.0521795698189507,TP,0.003909728810810087,0.0013032429369366828
EURUSD,2024-11-26 01:00:00,short,-100.0,1.0454876588821411,1.0489315886201456,SL,-0.0034439297380044476,0.0022959531586696485
EURUSD,2024-12-02 05:00:00,short,-78.6,1.0523100065231323,1.0507531832845418,TRAIL_SL,0.0015568232385905212,0.0012843554981779894
EURUSD,2024-12-17 11:00:00,short,-73.6,1.049328105354309,1.0508232258960635,SL,-0.00149512054175438,0.000996747027836264
EURUSD,2025-02-06 08:00:00,long,100.0,1.0367991758346558,1.0401290082543202,TP,0.003329832419664447,0.0011099441398881695
EURUSD,2025-02-11 19:00:00,long,100.0,1.03626201877594,1.0345359886017544,SL,-0.0017260301741854889,0.0011506867827902978
EURUSD,2025-02-20 16:00:00,long,100.0,1.0477689338684082,1.0456490591988257,SL,-0.002119874669582522,0.0014132497797216099
EURUSD,2025-02-25 11:00:00,long,100.0,1.0493078065872192,1.0524448139038887,TP,0.003137007316669438,0.0010456691055565036
EURUSD,2025-03-03 13:00:00,long,100.0,1.0476592613220217,1.052290924268767,TP,0.00463166294674533,0.001543887648915105
EURUSD,2025-03-14 18:00:00,long,100.0,1.0884761644363403,1.0911511690364266,TRAIL_SL,0.002675004600086295,0.0016737082549836957
EURUSD,2025-03-27 21:00:00,long,100.0,1.080363614654541,1.0784536186522333,SL,-0.001909996002307679,0.0012733306682051824
EURUSD,2025-03-31 22:00:00,long,81.7,1.0822340084075928,1.0804761607779245,SL,-0.001757847629668241,0.0011718984197787612
EURUSD,2025-04-02 22:00:00,long,93.6,1.0841108394622805,1.0924317155318575,TP,0.008320876069576988,0.002773625356525669
EURUSD,2025-04-09 00:00:00,long,100.0,1.1019069982528689,1.1095879862053586,TP,0.007680987952489726,0.0025603293174965404
EURUSD,2025-04-16 03:00:00,long,100.0,1.1346586776733398,1.1399774670675853,TP,0.00531878939424546,0.0017729297980818041
EURUSD,2025-04-29 01:00:00,long,54.2,1.1397011114120483,1.1372023447013495,SL,-0.0024987667106988187,0.0016658444737991396
EURUSD,2025-05-28 05:00:00,short,-75.6,1.1315057443618775,1.13339323312457,SL,-0.001887488762692513,0.0012583258417949745
EURUSD,2025-06-03 20:00:00,short,-100.0,1.1372976469039917,1.1391344847812301,SL,-0.0018368378772384286,0.0012245585848256076
EURUSD,2025-06-06 14:00:00,short,-74.7,1.139111654663086,1.141797009766665,SL,-0.0026853551035790346,0.0017902367357193049
EURUSD,2025-08-11 14:00:00,short,-100.0,1.159992830657959,1.1621822978879401,SL,-0.0021894672299811457,0.00145964481998737
EURUSD,2025-08-14 16:00:00,short,-100.0,1.1636378931045532,1.1662758321398274,SL,-0.002637939035274206,0.001758626023516071
EURUSD,2025-08-18 17:00:00,short,-88.6,1.1664889024734497,1.168206526175438,SL,-0.0017176237019882468,0.0011450824679920947
EURUSD,2025-08-25 21:00:00,short,-80.7,1.16215004196167,1.164716950173355,SL,-0.0025669082116850372,0.0017112721411233747
EURUSD,2025-10-14 06:00:00,short,-97.0,1.1573074029922483,1.1591034821425672,SL,-0.0017960791503188744,0.0011973861002125897
EURUSD,2025-10-24 02:00:00,short,-81.9,1.161070482635498,1.162046271913992,SL,-0.0009757892784938438,0.0006505261856626093
EURUSD,2025-10-29 08:00:00,short,-100.0,1.1626906560897827,1.163895818410912,SL,-0.0012051623211293272,0.0008034415474195074
EURUSD,2025-10-31 08:00:00,short,-100.0,1.1573074029922483,1.155528790308933,TRAIL_SL,0.0017786126833152505,0.0009552047803451965
EURUSD,2025-12-22 12:00:00,long,96.4,1.1746359897613523,1.1772218000448293,TP,0.0025858102834770413,0.0008619367611590445
EURUSD,2026-01-06 06:00:00,long,98.9,1.1740845275878906,1.1727990811250937,SL,-0.0012854464627969353,0.0008569643085312843
EURUSD,2026-03-11 13:00:00,short,-100.0,1.1594547199249268,1.1548436894004612,TP,0.0046110305244655425,0.0015370101748218132
EURUSD,2026-03-17 06:00:00,short,-100.0,1.14840115776062,1.1502811613975388,SL,-0.00188000363691887,0.0012533357579458833
EURUSD,2026-03-19 06:00:00,short,-100.0,1.1466890739440918,1.148682944527231,SL,-0.001993870583139268,0.0013292470554262413
EURUSD,2026-03-23 10:00:00,short,-100.0,1.1487970518112185,1.1513149041759703,SL,-0.0025178523647517714,0.0016785682431678837
EURUSD,2026-03-25 19:00:00,short,-100.0,1.1565041707992554,1.1515768076840023,TP,0.004927363115253103,0.0016424543717510707
