date,pair,vix_pct,cfg_drop,entry,exit,result,hold_days,pnl_raw,sl,tp
2023-08-02,GBPJPY,15.51,False,182.31500244140625,182.8070068359375,TIMEOUT,5,-0.49200439453125,186.9797383235686,175.31789861816273
2023-09-21,GBPJPY,15.85,False,181.49899291992188,182.2480010986328,TIMEOUT,5,-0.7490081787109375,184.04535215427,177.67945406839965
2023-10-13,GBPJPY,15.76,False,181.7599945068359,182.29600524902344,TIMEOUT,5,-0.5360107421875284,184.79034294716908,177.21447184633612
2024-04-12,GBPJPY,16.1,False,191.0099945068359,191.3650054931641,TIMEOUT,5,-0.35501098632818184,193.74317481769424,186.9102240405484
2024-07-24,GBPJPY,22.55,False,198.5,191.42361269836198,TP,5,7.076387301638022,203.21759153442534,191.42361269836198
2024-09-03,GBPJPY,38.13,False,190.58799743652344,183.9472801613357,TP,5,6.64071727518774,195.0151422866486,183.9472801613357
2024-10-01,GBPJPY,15.12,False,190.781005859375,193.99099731445312,TIMEOUT,5,-3.209991455078125,196.78764801017385,181.7710426331767
2024-10-07,GBPJPY,17.86,False,193.82699584960935,194.85299682617188,VIX_REVERT,4,-1.0260009765625284,200.10266299947858,184.4134951248055
2024-12-18,GBPJPY,74.04,False,194.3769989013672,197.0099945068359,VIX_REVERT,1,-2.6329956054687216,198.40260168877717,188.33859472025222
2025-01-27,GBPJPY,20.54,False,193.0070037841797,193.25799560546875,VIX_REVERT,2,-0.2509918212890625,197.30494456727956,186.56009260952987
2025-03-28,GBPJPY,15.84,False,193.56500244140625,187.78930571182582,TP,4,5.775696729580432,197.4154669277932,187.78930571182582
2025-04-03,GBPJPY,39.56,False,191.42999267578125,185.4751595653387,TP,3,5.954833110442536,195.39988141607628,185.4751595653387
2025-04-04,GBPJPY,50.93,False,187.7429962158203,186.51499938964844,VIX_REVERT,2,1.227996826171875,192.6062349144406,180.4481381678899
2025-05-21,GBPJPY,15.37,False,192.8849945068359,195.67599487304688,TIMEOUT,5,-2.791000366210966,196.3974117143179,187.61636869561292
2025-06-13,GBPJPY,15.54,False,196.7455139160156,196.44900512695312,TIMEOUT,5,0.2965087890624716,200.13382138427798,191.663052713622
2025-08-01,GBPJPY,21.89,False,195.79600524902344,195.18299865722656,VIX_REVERT,1,0.613006591796875,198.829864117119,191.2452169468801
2025-10-10,GBPJPY,31.83,False,202.77200317382812,202.58200073242188,VIX_REVERT,5,0.19000244140625,206.37411351129856,197.36883766762244
2025-10-16,GBPJPY,22.63,False,201.83799743652344,202.58200073242188,VIX_REVERT,1,-0.7440032958984375,205.20080790978457,196.79378172663172
2026-01-20,GBPJPY,26.67,False,212.55099487304688,212.6199951171875,VIX_REVERT,1,-0.069000244140625,215.75926258633353,207.7385933031169
2026-02-05,GBPJPY,16.79,False,211.9550018310547,213.9830017089844,VIX_REVERT,1,-2.027999877929716,215.70140024577515,206.33540420897398
2026-02-12,GBPJPY,17.96,False,208.03500366210935,208.84500122070312,TIMEOUT,5,-0.8099975585937784,213.20101718384947,200.28598337949916
2026-03-06,GBPJPY,24.17,False,210.7519989013672,211.8699951171875,VIX_REVERT,1,-1.1179962158203125,214.35091665773808,205.35362226681082
2023-08-02,USDJPY,15.51,False,143.343994140625,143.7270050048828,TIMEOUT,5,-0.3830108642578125,147.32566954762623,137.37148103012316
2023-09-21,USDJPY,15.85,False,147.6439971923828,149.3294153023139,SL,3,-1.6854181099310779,149.3294153023139,145.1158700274862
2023-10-13,USDJPY,15.76,False,149.5659942626953,149.8800048828125,TIMEOUT,5,-0.3140106201171875,151.39542982366734,146.82184092123725
2024-04-12,USDJPY,16.1,False,153.2830047607422,154.63999938964844,TIMEOUT,5,-1.35699462890625,154.96413490621836,150.76130954252793
2024-07-24,USDJPY,22.55,False,153.89100646972656,149.74400329589844,TIMEOUT,5,4.147003173828125,157.93160445579153,147.8301094906291
2024-10-07,USDJPY,17.86,False,148.14599609375,149.33399963378906,VIX_REVERT,4,-1.1880035400390625,152.98691951353175,140.88461096407738
2024-12-18,USDJPY,74.04,False,154.67300415039062,157.5166130095557,SL,1,-2.843608859165073,157.5166130095557,150.407590861643
2025-01-27,USDJPY,20.54,False,154.90899658203125,155.1699981689453,VIX_REVERT,2,-0.2610015869140625,158.1901669392064,149.98724104626854
2025-03-03,USDJPY,16.05,False,149.30499267578125,147.06900024414062,TIMEOUT,5,2.235992431640625,152.49256592931445,144.52363279548146
2025-03-28,USDJPY,15.84,False,149.61700439453125,145.5589738576197,TP,3,4.058030536911559,152.32235808580563,145.5589738576197
2025-08-01,USDJPY,21.89,False,147.34300231933594,146.79299926757812,VIX_REVERT,1,0.5500030517578125,150.7628062558411,142.2132964145782
2025-10-10,USDJPY,31.83,False,152.05599975585938,150.89999389648438,VIX_REVERT,5,1.156005859375,155.34967205284764,147.115491310377
2025-10-16,USDJPY,22.63,False,150.1199951171875,150.89999389648438,VIX_REVERT,1,-0.779998779296875,153.0528624556166,145.72069410954387
2026-01-20,USDJPY,26.67,False,158.156005859375,158.45599365234375,VIX_REVERT,1,-0.29998779296875,160.2924800319312,154.9512946005407
2026-02-05,USDJPY,16.79,False,156.77099609375,157.24400329589844,VIX_REVERT,1,-0.4730072021484375,159.98100814767676,151.95597801285984
2026-02-12,USDJPY,17.96,False,152.7570037841797,155.16000366210938,TIMEOUT,5,-2.4029998779296875,156.70187047317023,146.83970375069384
2026-03-06,USDJPY,24.17,False,158.38400268554688,157.84800720214844,VIX_REVERT,1,0.5359954833984375,161.04367066410626,154.39450071770779
