entry_time,exit_time,side,entry,exit,risk,pnl_r,pnl_jpy,bars,reason,cum_R,seg
2024-09-02 11:00:00,2024-09-02 21:00:00,1,192.84599853515624,192.92814418247767,0.6925724574497971,0.08973161819091004,621.4564732142549,10,trail,0.08973161819091004,IS
2024-09-02 22:00:00,2024-09-02 23:00:00,1,193.0809991455078,192.82899475097656,0.46199471609933845,-0.5887608343831239,-2720.0439453124095,1,gate,-0.49902921619221385,IS
2024-09-03 01:00:00,2024-09-03 02:00:00,1,193.28299499511718,192.63999938964844,0.5812792096819156,-1.1405802829788834,-6629.95605468741,1,gate,-1.6396094991710972,IS
2024-09-06 06:00:00,2024-09-06 08:00:00,-1,187.9240057373047,187.9219948904855,0.6442871093750041,-0.02792101986684359,-179.89153180810717,2,trail,-1.6675305190379408,IS
2024-09-06 09:00:00,2024-09-06 11:00:00,-1,187.7459967041016,188.50900268554688,0.7165745326451015,-1.0927069631611859,-7830.05981445275,2,gate,-2.760237482199127,IS
2024-09-06 15:00:00,2024-09-09 01:00:00,-1,187.4220068359375,187.8074231828962,1.3775721958705398,-0.29429771316086584,-4054.1634695869225,9,trail,-3.0545351953599926,IS
2024-09-09 02:00:00,2024-09-09 09:00:00,-1,187.7660009765625,187.8699929373605,1.3121425083705478,-0.0944958036242379,-1239.9196079799822,7,trail,-3.1490309989842307,IS
2024-09-09 10:00:00,2024-09-09 11:00:00,-1,187.812006225586,187.93899536132807,0.7371433803013596,-0.19940372479770826,-1469.8913574206472,1,gate,-3.348434723781939,IS
2024-09-09 13:00:00,2024-09-09 23:00:00,-1,187.3760015869141,187.2799965994698,0.8197130475725446,0.0927214562088284,760.0498744430297,10,trail,-3.2557132675731104,IS
2024-09-10 00:00:00,2024-09-10 06:00:00,-1,187.12999938964845,187.61342293875558,0.7545667375836932,-0.6671690177057297,-5034.2354910712975,6,trail,-3.92288228527884,IS
2024-09-10 07:00:00,2024-09-11 07:00:00,-1,187.85799621582032,185.0059967041016,0.6511317661830357,4.349349331119324,28319.995117187307,24,time,0.426467045840484,IS
