sym,year,n,gross_yr,net_yr,net_yr_hc,aftertax_yr,neg_share
BTCUSDT,2019.0,338.0,0.02309489,0.017625483607305936,-0.012374516392694063,-0.012374516392694063,0.1834319526627219
BTCUSDT,2020.0,1098.0,0.17239719,0.16437527219178083,0.13437527219178083,0.06046887248630137,0.1429872495446266
BTCUSDT,2021.0,1095.0,0.30608423,0.29808423,0.26808423000000003,0.1206379035,0.0730593607305936
BTCUSDT,2022.0,1095.0,0.04164925,0.03364925,0.0036492499999999997,0.0016421624999999997,0.22100456621004566
BTCUSDT,2023.0,1095.0,0.07865712,0.07065711999999999,0.04065711999999999,0.018295703999999993,0.10136986301369863
BTCUSDT,2024.0,1098.0,0.11956883,0.11154691219178083,0.08154691219178083,0.03669611048630137,0.08378870673952642
BTCUSDT,2025.0,1095.0,0.05126428,0.04326428,0.013264280000000003,0.005968926000000001,0.12876712328767123
BTCUSDT,2026.0,575.0,0.00785735,0.0036564367579908687,-0.02634356324200913,-0.02634356324200913,0.36
ETHUSDT,2019.0,104.0,0.00846639,0.004706572648401827,-0.02529342735159817,-0.02529342735159817,0.04807692307692308
ETHUSDT,2020.0,1098.0,0.27489957,0.2668776521917808,0.23687765219178078,0.10659494348630133,0.026411657559198543
ETHUSDT,2021.0,1095.0,0.37537255,0.36737255,0.33737255,0.15181764749999999,0.0410958904109589
ETHUSDT,2022.0,1095.0,0.00787256,-0.0001274399999999995,-0.03012744,-0.03012744,0.3415525114155251
ETHUSDT,2023.0,1095.0,0.08259507,0.07459507000000001,0.044595070000000014,0.020067781500000003,0.091324200913242
ETHUSDT,2024.0,1098.0,0.12996919,0.12194727219178084,0.09194727219178084,0.04137627248630137,0.04189435336976321
ETHUSDT,2025.0,1095.0,0.04928719,0.04128719,0.011287190000000002,0.0050792355,0.16164383561643836
ETHUSDT,2026.0,575.0,0.00381981,-0.0003811032420091322,-0.03038110324200913,-0.03038110324200913,0.3947826086956522
