gate_th,time_max,trail,lot,cd,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R,gate_opens
-25%,24,1.5,0.2,0,OOS,12,33.3,0.297,-5.35,-0.446,-5.263,5.86,0.0,1
-25%,24,1.5,0.2,12,IS,29,34.5,1.047,0.61,0.021,0.16,5.46,2.8,1
-25%,24,1.5,0.2,12,OOS,4,25.0,0.715,-0.65,-0.162,-0.946,2.28,0.0,1
-25%,24,2.0,0.1,0,IS,48,39.6,1.115,1.9,0.04,0.467,5.23,4.09,1
-25%,24,2.0,0.1,0,OOS,10,10.0,0.134,-6.18,-0.618,-6.404,5.84,0.0,1
-25%,24,2.0,0.1,12,IS,26,30.8,1.038,0.41,0.016,0.113,3.81,3.25,1
-25%,24,2.0,0.1,12,OOS,4,25.0,0.34,-1.85,-0.463,-3.11,2.8,0.0,1
-25%,24,2.0,0.2,0,IS,48,39.6,1.115,1.9,0.04,0.467,5.23,4.09,1
-25%,24,2.0,0.2,0,OOS,10,10.0,0.134,-6.18,-0.618,-6.404,5.84,0.0,1
-25%,24,2.0,0.2,12,IS,26,30.8,1.038,0.41,0.016,0.113,3.81,3.25,1
-25%,24,2.0,0.2,12,OOS,4,25.0,0.34,-1.85,-0.463,-3.11,2.8,0.0,1
-25%,24,3.0,0.1,0,IS,32,40.6,0.673,-3.47,-0.108,-1.295,4.69,1.11,1
-25%,24,3.0,0.1,0,OOS,5,20.0,0.097,-2.17,-0.434,-4.441,1.75,0.0,1
-25%,24,3.0,0.1,12,IS,21,23.8,0.434,-5.86,-0.279,-2.374,5.98,-1.16,1
-25%,24,3.0,0.1,12,OOS,3,66.7,1.514,0.17,0.058,1.045,0.34,0.0,1
-25%,24,3.0,0.2,0,IS,32,40.6,0.673,-3.47,-0.108,-1.295,4.69,1.11,1
-25%,24,3.0,0.2,0,OOS,5,20.0,0.097,-2.17,-0.434,-4.441,1.75,0.0,1
-25%,24,3.0,0.2,12,IS,21,23.8,0.434,-5.86,-0.279,-2.374,5.98,-1.16,1
-25%,24,3.0,0.2,12,OOS,3,66.7,1.514,0.17,0.058,1.045,0.34,0.0,1
-25%,48,1.5,0.1,0,IS,86,31.4,0.607,-15.51,-0.18,-3.113,16.13,0.05,1
-25%,48,1.5,0.1,0,OOS,12,33.3,0.297,-5.35,-0.446,-5.263,5.86,0.0,1
-25%,48,1.5,0.1,12,IS,29,34.5,1.047,0.61,0.021,0.16,5.46,2.8,1
-25%,48,1.5,0.1,12,OOS,4,25.0,0.715,-0.65,-0.162,-0.946,2.28,0.0,1
-25%,48,1.5,0.2,0,IS,86,31.4,0.607,-15.51,-0.18,-3.113,16.13,0.05,1
-25%,48,1.5,0.2,0,OOS,12,33.3,0.297,-5.35,-0.446,-5.263,5.86,0.0,1
-25%,48,1.5,0.2,12,IS,29,34.5,1.047,0.61,0.021,0.16,5.46,2.8,1
-25%,48,1.5,0.2,12,OOS,4,25.0,0.715,-0.65,-0.162,-0.946,2.28,0.0,1
-25%,48,2.0,0.1,0,IS,45,40.0,1.087,1.36,0.03,0.34,5.23,3.94,1
-25%,48,2.0,0.1,0,OOS,10,10.0,0.134,-6.18,-0.618,-6.404,5.84,0.0,1
-25%,48,2.0,0.1,12,IS,25,32.0,1.057,0.55,0.022,0.173,3.81,2.42,1
-25%,48,2.0,0.1,12,OOS,4,25.0,0.34,-1.85,-0.463,-3.11,2.8,0.0,1
-25%,48,2.0,0.2,0,IS,45,40.0,1.087,1.36,0.03,0.34,5.23,3.94,1
-25%,48,2.0,0.2,0,OOS,10,10.0,0.134,-6.18,-0.618,-6.404,5.84,0.0,1
-25%,48,2.0,0.2,12,IS,25,32.0,1.057,0.55,0.022,0.173,3.81,2.42,1
-25%,48,2.0,0.2,12,OOS,4,25.0,0.34,-1.85,-0.463,-3.11,2.8,0.0,1
-25%,48,3.0,0.1,0,IS,27,40.7,0.785,-1.96,-0.073,-0.755,4.45,1.97,1
-25%,48,3.0,0.1,0,OOS,5,20.0,0.097,-2.17,-0.434,-4.441,1.75,0.0,1
-25%,48,3.0,0.1,12,IS,18,33.3,0.572,-3.67,-0.204,-1.709,5.06,-1.43,1
-25%,48,3.0,0.1,12,OOS,3,66.7,1.514,0.17,0.058,1.045,0.34,0.0,1
-25%,48,3.0,0.2,0,IS,27,40.7,0.785,-1.96,-0.073,-0.755,4.45,1.97,1
-25%,48,3.0,0.2,0,OOS,5,20.0,0.097,-2.17,-0.434,-4.441,1.75,0.0,1
-25%,48,3.0,0.2,12,IS,18,33.3,0.572,-3.67,-0.204,-1.709,5.06,-1.43,1
-25%,48,3.0,0.2,12,OOS,3,66.7,1.514,0.17,0.058,1.045,0.34,0.0,1
-25%,72,1.5,0.1,0,IS,86,31.4,0.607,-15.51,-0.18,-3.113,16.13,0.05,1
-25%,72,1.5,0.1,0,OOS,12,33.3,0.297,-5.35,-0.446,-5.263,5.86,0.0,1
-25%,72,1.5,0.1,12,IS,29,34.5,1.047,0.61,0.021,0.16,5.46,2.8,1
-25%,72,1.5,0.1,12,OOS,4,25.0,0.715,-0.65,-0.162,-0.946,2.28,0.0,1
-25%,72,1.5,0.2,0,IS,86,31.4,0.607,-15.51,-0.18,-3.113,16.13,0.05,1
-25%,72,1.5,0.2,0,OOS,12,33.3,0.297,-5.35,-0.446,-5.263,5.86,0.0,1
-25%,72,1.5,0.2,12,IS,29,34.5,1.047,0.61,0.021,0.16,5.46,2.8,1
-25%,72,1.5,0.2,12,OOS,4,25.0,0.715,-0.65,-0.162,-0.946,2.28,0.0,1
-25%,72,2.0,0.1,0,IS,45,40.0,1.087,1.36,0.03,0.34,5.23,3.94,1
-25%,72,2.0,0.1,0,OOS,10,10.0,0.134,-6.18,-0.618,-6.404,5.84,0.0,1
-25%,72,2.0,0.1,12,IS,25,32.0,1.057,0.55,0.022,0.173,3.81,2.42,1
-25%,72,2.0,0.1,12,OOS,4,25.0,0.34,-1.85,-0.463,-3.11,2.8,0.0,1
-25%,72,2.0,0.2,0,IS,45,40.0,1.087,1.36,0.03,0.34,5.23,3.94,1
-25%,72,2.0,0.2,0,OOS,10,10.0,0.134,-6.18,-0.618,-6.404,5.84,0.0,1
-25%,72,2.0,0.2,12,IS,25,32.0,1.057,0.55,0.022,0.173,3.81,2.42,1
-25%,72,2.0,0.2,12,OOS,4,25.0,0.34,-1.85,-0.463,-3.11,2.8,0.0,1
-25%,72,3.0,0.1,0,IS,27,40.7,0.785,-1.96,-0.073,-0.755,4.45,1.97,1
-25%,72,3.0,0.1,0,OOS,5,20.0,0.097,-2.17,-0.434,-4.441,1.75,0.0,1
-25%,72,3.0,0.1,12,IS,18,33.3,0.534,-3.95,-0.219,-1.946,5.11,-1.48,1
-25%,72,3.0,0.1,12,OOS,3,66.7,1.514,0.17,0.058,1.045,0.34,0.0,1
-25%,72,3.0,0.2,0,IS,27,40.7,0.785,-1.96,-0.073,-0.755,4.45,1.97,1
-25%,72,3.0,0.2,0,OOS,5,20.0,0.097,-2.17,-0.434,-4.441,1.75,0.0,1
-25%,72,3.0,0.2,12,IS,18,33.3,0.534,-3.95,-0.219,-1.946,5.11,-1.48,1
-25%,72,3.0,0.2,12,OOS,3,66.7,1.514,0.17,0.058,1.045,0.34,0.0,1
