gate_th,time_max,trail,lot,cd,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R,gate_opens
-10%,72,3.0,0.2,12,OOS,17,11.8,0.067,-5.93,-0.349,-2.965,6.31,0.0,8
-15%,24,1.5,0.1,0,IS,128,29.7,0.537,-27.08,-0.212,-2.68,27.7,-2.23,22
-15%,24,1.5,0.1,0,OOS,36,25.0,0.247,-15.73,-0.437,-2.429,15.99,0.0,6
-15%,24,1.5,0.1,12,IS,44,34.1,0.85,-2.76,-0.063,-0.395,5.49,1.6,22
-15%,24,1.5,0.1,12,OOS,12,25.0,0.351,-3.36,-0.28,-1.295,4.99,0.0,6
-15%,24,1.5,0.2,0,IS,128,29.7,0.537,-27.08,-0.212,-2.68,27.7,-2.23,22
-15%,24,1.5,0.2,0,OOS,36,25.0,0.247,-15.73,-0.437,-2.429,15.99,0.0,6
-15%,24,1.5,0.2,12,IS,44,34.1,0.85,-2.76,-0.063,-0.395,5.49,1.6,22
-15%,24,1.5,0.2,12,OOS,12,25.0,0.351,-3.36,-0.28,-1.295,4.99,0.0,6
-15%,24,2.0,0.1,0,IS,81,32.1,0.754,-7.35,-0.091,-0.87,10.47,2.99,22
-15%,24,2.0,0.1,0,OOS,29,17.2,0.211,-12.6,-0.435,-2.633,12.27,0.0,6
-15%,24,2.0,0.1,12,IS,41,29.3,0.8,-3.25,-0.079,-0.48,4.28,1.81,22
-15%,24,2.0,0.1,12,OOS,12,25.0,0.334,-3.95,-0.329,-1.569,4.91,0.0,6
-15%,24,2.0,0.2,0,IS,81,32.1,0.754,-7.35,-0.091,-0.87,10.47,2.99,22
-15%,24,2.0,0.2,0,OOS,29,17.2,0.211,-12.6,-0.435,-2.633,12.27,0.0,6
-15%,24,2.0,0.2,12,IS,41,29.3,0.8,-3.25,-0.079,-0.48,4.28,1.81,22
-15%,24,2.0,0.2,12,OOS,12,25.0,0.334,-3.95,-0.329,-1.569,4.91,0.0,6
-15%,24,3.0,0.1,0,IS,56,32.1,0.644,-5.49,-0.098,-1.056,5.71,1.01,22
-15%,24,3.0,0.1,0,OOS,16,31.2,0.154,-4.62,-0.289,-1.864,4.2,0.0,6
-15%,24,3.0,0.1,12,IS,35,14.3,0.3,-10.85,-0.31,-2.348,10.47,-2.69,22
-15%,24,3.0,0.1,12,OOS,10,20.0,0.106,-3.61,-0.361,-1.961,4.0,0.0,6
-15%,24,3.0,0.2,0,IS,56,32.1,0.644,-5.49,-0.098,-1.056,5.71,1.01,22
