corr_window,z_entry,z_exit,hold_period,tp_mult,sl_mult,n,wins,losses,win_rate,pf,avg_hold,max_dd,gross_profit,gross_loss
30,2.0,0.0,15,2.5,1.5,35,16,19,45.7,1.208,12.9,-0.055136,0.215542,0.1784
30,2.0,0.0,20,2.5,1.5,35,16,19,45.7,1.162,14.6,-0.06644,0.218503,0.188087
30,2.0,0.3,5,2.5,1.5,40,18,22,45.0,1.21,6.3,-0.057508,0.130502,0.107858
30,2.0,0.3,10,2.5,1.5,36,17,19,47.2,1.023,9.2,-0.065807,0.1597,0.156039
30,2.0,0.3,15,2.5,1.5,36,18,18,50.0,1.115,10.9,-0.05225,0.18729,0.167976
30,2.0,0.3,20,2.5,1.5,36,19,17,52.8,1.102,11.3,-0.053522,0.18956,0.172036
30,2.0,0.5,5,2.5,1.5,40,18,22,45.0,1.22,6.2,-0.056315,0.131569,0.107858
30,2.0,0.5,10,2.5,1.5,36,17,19,47.2,0.99,9.0,-0.068469,0.154469,0.156039
30,2.0,0.5,15,2.5,1.5,36,19,17,52.8,1.174,10.3,-0.052157,0.189692,0.161556
30,2.0,0.5,20,2.5,1.5,36,20,16,55.6,1.187,10.7,-0.050237,0.191962,0.16178
60,0.8,0.0,5,2.5,1.5,133,57,76,42.9,0.826,5.8,-0.161592,0.401126,0.485617
60,0.8,0.0,10,2.5,1.5,86,41,45,47.7,0.818,9.7,-0.171936,0.334409,0.408825
60,0.8,0.0,15,2.5,1.5,72,31,41,43.1,0.811,11.9,-0.170245,0.329927,0.406691
60,0.8,0.0,20,2.5,1.5,66,26,40,39.4,0.839,13.8,-0.176652,0.331466,0.394977
60,0.8,0.3,5,2.5,1.5,133,57,76,42.9,0.76,5.5,-0.168653,0.368614,0.485271
60,0.8,0.3,10,2.5,1.5,87,43,44,49.4,0.731,8.6,-0.172391,0.297955,0.40741
60,0.8,0.3,15,2.5,1.5,74,34,40,45.9,0.735,10.1,-0.176452,0.296621,0.403717
60,0.8,0.3,20,2.5,1.5,70,30,40,42.9,0.716,10.8,-0.173261,0.283643,0.396336
60,0.8,0.5,5,2.5,1.5,136,62,74,45.6,0.785,5.2,-0.152099,0.384543,0.489976
60,0.8,0.5,10,2.5,1.5,90,46,44,51.1,0.712,8.0,-0.159447,0.295576,0.4149
60,0.8,0.5,15,2.5,1.5,79,37,42,46.8,0.722,9.1,-0.158975,0.297909,0.412601
60,0.8,0.5,20,2.5,1.5,74,34,40,45.9,0.696,9.7,-0.156742,0.275674,0.396009
60,1.0,0.0,5,2.5,1.5,115,48,67,41.7,0.725,5.9,-0.162276,0.300972,0.415239
60,1.0,0.0,10,2.5,1.5,77,33,44,42.9,0.63,9.6,-0.17525,0.242601,0.385159
60,1.0,0.0,15,2.5,1.5,64,24,40,37.5,0.679,12.3,-0.192178,0.264818,0.389792
60,1.0,0.0,20,2.5,1.5,59,20,39,33.9,0.681,14.1,-0.186671,0.257637,0.378364
60,1.0,0.3,5,2.5,1.5,115,48,67,41.7,0.707,5.7,-0.165104,0.293688,0.415239
60,1.0,0.3,10,2.5,1.5,77,35,42,45.5,0.634,8.8,-0.175022,0.242572,0.382741
60,1.0,0.3,15,2.5,1.5,65,27,38,41.5,0.681,10.6,-0.177811,0.260655,0.382637
60,1.0,0.3,20,2.5,1.5,62,23,39,37.1,0.618,11.4,-0.194369,0.234093,0.378894
60,1.0,0.5,5,2.5,1.5,116,51,65,44.0,0.741,5.4,-0.151241,0.303956,0.41
60,1.0,0.5,10,2.5,1.5,78,37,41,47.4,0.66,8.4,-0.164931,0.251175,0.380561
60,1.0,0.5,15,2.5,1.5,69,30,39,43.5,0.678,9.7,-0.167467,0.25947,0.382738
60,1.0,0.5,20,2.5,1.5,65,27,38,41.5,0.62,10.4,-0.178374,0.234438,0.378203
60,1.2,0.0,5,2.5,1.5,96,43,53,44.8,0.803,6.0,-0.121487,0.274424,0.341557
60,1.2,0.0,10,2.5,1.5,70,30,40,42.9,0.782,9.7,-0.134922,0.266739,0.340993
60,1.2,0.0,15,2.5,1.5,58,24,34,41.4,0.782,12.2,-0.17303,0.266802,0.340996
60,1.2,0.0,20,2.5,1.5,55,18,37,32.7,0.772,14.1,-0.18485,0.2636,0.341581
60,1.2,0.3,5,2.5,1.5,96,43,53,44.8,0.796,5.9,-0.124138,0.271998,0.341557
60,1.2,0.3,10,2.5,1.5,70,31,39,44.3,0.726,9.0,-0.148489,0.247065,0.340248
60,1.2,0.3,15,2.5,1.5,58,25,33,43.1,0.754,11.1,-0.17925,0.253418,0.335918
60,1.2,0.3,20,2.5,1.5,56,21,35,37.5,0.662,12.0,-0.184478,0.224464,0.33912
60,1.2,0.5,5,2.5,1.5,96,44,52,45.8,0.818,5.8,-0.118039,0.276884,0.338592
60,1.2,0.5,10,2.5,1.5,70,33,37,47.1,0.753,8.7,-0.13291,0.252016,0.334826
60,1.2,0.5,15,2.5,1.5,61,27,34,44.3,0.735,10.2,-0.174673,0.254694,0.34672
60,1.2,0.5,20,2.5,1.5,59,25,34,42.4,0.669,10.8,-0.168205,0.23366,0.349317
60,1.5,0.0,5,2.5,1.5,79,42,37,53.2,1.216,5.9,-0.097847,0.315125,0.25923
60,1.5,0.0,10,2.5,1.5,58,31,27,53.4,1.254,9.9,-0.105396,0.322211,0.256993
60,1.5,0.0,15,2.5,1.5,49,23,26,46.9,1.002,12.6,-0.139128,0.269522,0.269059
60,1.5,0.0,20,2.5,1.5,47,20,27,42.6,1.028,14.4,-0.152854,0.287302,0.279605
60,1.5,0.3,5,2.5,1.5,79,42,37,53.2,1.199,5.8,-0.097847,0.310739,0.25923
60,1.5,0.3,10,2.5,1.5,58,31,27,53.4,1.133,9.3,-0.114147,0.291259,0.256993
60,1.5,0.3,15,2.5,1.5,49,23,26,46.9,0.915,11.5,-0.149909,0.246154,0.269059
60,1.5,0.3,20,2.5,1.5,47,21,26,44.7,0.917,12.7,-0.15566,0.254081,0.277169
60,1.5,0.5,5,2.5,1.5,79,42,37,53.2,1.194,5.8,-0.097847,0.309584,0.25923
60,1.5,0.5,10,2.5,1.5,58,32,26,55.2,1.159,8.8,-0.105661,0.293173,0.252881
60,1.5,0.5,15,2.5,1.5,52,25,27,48.1,0.925,10.4,-0.139599,0.256502,0.277403
60,1.5,0.5,20,2.5,1.5,50,24,26,48.0,0.919,11.1,-0.139688,0.262105,0.285079
60,2.0,0.0,5,2.5,1.5,32,15,17,46.9,1.537,6.2,-0.030002,0.136566,0.088859
60,2.0,0.0,10,2.5,1.5,27,13,14,48.1,1.26,9.6,-0.052435,0.159151,0.12635
60,2.0,0.0,15,2.5,1.5,24,12,12,50.0,1.424,11.8,-0.048161,0.174049,0.12224
60,2.0,0.0,20,2.5,1.5,24,11,13,45.8,1.382,12.9,-0.057955,0.179737,0.130083
60,2.0,0.3,5,2.5,1.5,32,15,17,46.9,1.431,5.9,-0.030002,0.127139,0.088859
60,2.0,0.3,10,2.5,1.5,27,13,14,48.1,1.158,9.3,-0.052435,0.146342,0.12635
60,2.0,0.3,15,2.5,1.5,24,12,12,50.0,1.33,11.4,-0.048161,0.162637,0.12224
60,2.0,0.3,20,2.5,1.5,24,11,13,45.8,1.224,12.2,-0.057955,0.159263,0.130083
60,2.0,0.5,5,2.5,1.5,32,15,17,46.9,1.431,5.9,-0.030002,0.127139,0.088859
60,2.0,0.5,10,2.5,1.5,27,13,14,48.1,1.134,9.2,-0.052435,0.143231,0.12635
60,2.0,0.5,15,2.5,1.5,24,12,12,50.0,1.331,11.3,-0.048161,0.162657,0.12224
60,2.0,0.5,20,2.5,1.5,24,12,12,50.0,1.276,11.8,-0.051997,0.165404,0.129649
90,0.8,0.0,5,2.5,1.5,119,53,66,44.5,0.934,6.0,-0.169959,0.399531,0.42798
90,0.8,0.0,10,2.5,1.5,80,37,43,46.2,0.934,10.0,-0.186256,0.361981,0.387576
90,0.8,0.0,15,2.5,1.5,69,30,39,43.5,0.905,12.4,-0.171997,0.344455,0.380545
90,0.8,0.0,20,2.5,1.5,60,24,36,40.0,0.911,14.3,-0.177156,0.328435,0.360442
90,0.8,0.3,5,2.5,1.5,119,53,66,44.5,0.909,5.8,-0.162636,0.389174,0.42798
90,0.8,0.3,10,2.5,1.5,81,40,41,49.4,0.894,8.9,-0.163705,0.336261,0.376203
