risk_frac,equity_mult_of_reqcap,cap_for_30man,p_reach_runrate,runrate_med_month,p_halved,p_ruin,worst_month_pct_of_equity,E_final_med,E_final_p5,E_final_p95
0.33,3.03,8478860.0,0.0187,58.0,0.0,0.0,0.1531,3567331.0,1767434.0,7195142.0
0.5,2.0,5596047.0,0.7631,48.0,0.0001,0.0,0.2319,8780498.0,3082758.0,24867435.0
1.0,1.0,2798024.0,0.9978,21.0,0.0128,0.0,0.4638,85314761.0,11073410.0,619852392.0
1.25,0.8,2238419.0,0.9992,15.0,0.0478,0.0,0.5798,218132114.0,16871962.0,2524414707.0
1.5,0.67,1865349.0,0.9992,12.0,0.0783,0.0,0.6957,488827103.0,21699286.0,9053598865.0
1.75,0.57,1598871.0,0.9988,10.0,0.1227,0.0,0.8117,932698659.0,21229143.0,29141854836.0
2.0,0.5,1399012.0,0.9963,8.0,0.1847,0.0,0.9276,1376364188.0,10224771.0,81995638617.0
2.5,0.4,1119209.0,0.9477,6.0,0.4578,0.3701,1.1595,1126577168.0,0.0,533073265755.0
