pair,vol_thresh,bb_std,n,wins,wr_%,pf,avg_rr,avg_win_p,avg_loss_p,total_p,max_dd_p,dd_%,sharpe,adopt,n_tp,n_sl,n_fc
ALL,0.5,1.5,1,0,0.0,0.0,0.0,0.0,-16.8,-16.8,0.0,100.0,0.0,False,0,1,0
ALL,0.5,2.0,2,1,50.0,0.702,0.7,11.3,-16.1,-4.8,-16.1,142.5,0.0,False,1,1,0
ALL,0.6,1.5,6,4,66.7,0.873,0.44,8.9,-20.4,-5.2,-28.4,122.4,-0.25,False,4,2,0
ALL,0.6,2.0,3,2,66.7,1.055,0.53,10.6,-20.1,1.1,-20.1,94.8,0.18,False,2,1,0
ALL,0.7,1.5,25,18,72.0,1.571,0.61,14.2,-23.2,92.6,-88.9,96.0,1.53,False,18,7,0
ALL,0.7,2.0,13,9,69.2,1.194,0.53,12.2,-23.1,17.9,-58.2,129.0,0.35,False,9,4,0
ALL,0.8,1.5,66,39,59.1,0.955,0.66,15.3,-23.1,-28.4,-114.7,218.1,-0.19,False,39,26,1
ALL,0.8,2.0,37,21,56.8,0.913,0.7,14.4,-20.6,-28.6,-112.2,555.4,-0.22,False,21,15,1
