bin,n,wr,pf,avg_net,sum_net,axis
1-3,56,0.4642857142857143,1.1320400990466062,1.9813591112384725,110.95611022935446,hold
4-6,18,0.8333333333333334,2.722097262464701,20.894479892584474,376.10063806652056,hold
7-12,33,0.9696969696969697,14.179469708160035,34.12139770865299,1126.0061243855487,hold
13-24,51,0.9411764705882353,75.23201516794006,26.86907843137251,1370.322999999998,hold
25-48,48,0.16666666666666666,0.07146440199245176,-30.272291666666774,-1453.0700000000052,hold
49-96,9,0.0,0.0,-131.9,-1187.1000000000001,hold
97+,0,,,,0.0,hold
2.00-2.25,90,0.6222222222222222,0.8643997127118654,-2.721123536649701,-244.9011182984731,z
2.25-2.50,42,0.6428571428571429,2.0463657060665676,13.189908827150205,553.9761707403086,z
2.50-2.75,22,0.7272727272727273,1.5425430927133696,10.355313131638196,227.81688889604033,z
2.75-3.00,32,0.53125,0.7645164101293855,-5.678474783522009,-181.71119307270428,z
3.00-3.50,16,0.625,1.6182593780751726,8.501017183476652,136.01627493562643,z
3.50-4.00,8,0.125,0.046445478858913265,-19.7543068421685,-158.034454737348,z
4.00+,5,0.4,6.429448516460463,2.010660843593417,10.053304217967085,z
