datetime,open,high,low,close,volume
2015-07-22 12:00:00,1.1199,1.12249,1.11979,1.12098,4414.94
2015-07-22 13:00:00,1.121,1.12278,1.12064,1.12162,3768.45
2015-07-22 14:00:00,1.12171,1.12282,1.1205,1.12266,5339.03
2015-07-22 15:00:00,1.12266,1.12299,1.12063,1.12103,3718.68
2015-07-22 16:00:00,1.12098,1.12117,1.12018,1.121,2732.04
2015-07-22 17:00:00,1.12101,1.12127,1.1193,1.11938,1783.15
2015-07-22 18:00:00,1.11938,1.11978,1.11906,1.11924,1596.3
2015-07-22 19:00:00,1.11924,1.12009,1.1191,1.11988,1528.57
2015-07-22 20:00:00,1.11988,1.1225,1.11905,1.12017,4140.52
2015-07-22 21:00:00,1.11243,1.11703,1.11037,1.11189,5543.44
2015-07-22 22:00:00,1.11192,1.11231,1.10985,1.11231,5402.54
2015-07-22 23:00:00,1.11228,1.11439,1.11204,1.11399,4115.73
2015-07-23 00:00:00,1.11401,1.11556,1.11309,1.11361,4940.86
2015-07-23 01:00:00,1.11361,1.11456,1.11269,1.1144,4387.89
2015-07-23 02:00:00,1.11438,1.11449,1.11141,1.11279,3974.67
2015-07-23 03:00:00,1.11279,1.11329,1.11187,1.11278,3996.04
2015-07-23 04:00:00,1.11277,1.11289,1.1117,1.11215,3507.77
2015-07-23 05:00:00,1.11215,1.11243,1.11063,1.11105,4562.8
2015-07-23 06:00:00,1.11105,1.11117,1.10909,1.10982,2964.53
2015-07-23 07:00:00,1.10986,1.11001,1.10652,1.10844,7008.05
2015-07-23 08:00:00,1.10844,1.10966,1.10692,1.10768,5651.79
2015-07-23 09:00:00,1.10764,1.10941,1.10715,1.10862,2794.53
2015-07-23 10:00:00,1.10862,1.10915,1.10825,1.10886,2702.21
2015-07-23 11:00:00,1.10885,1.11034,1.1084,1.11027,3060.04
2015-07-23 12:00:00,1.11023,1.11067,1.1089,1.1093,4853.38
2015-07-23 13:00:00,1.10933,1.10989,1.10864,1.10945,4528.48
2015-07-23 14:00:00,1.10944,1.1102,1.10804,1.11017,3928.43
2015-07-23 15:00:00,1.11017,1.11035,1.10913,1.10963,2653.54
2015-07-23 16:00:00,1.10965,1.11037,1.10908,1.10925,1688.49
2015-07-23 17:00:00,1.10925,1.11047,1.10908,1.11034,1508.77
2015-07-23 18:00:00,1.11032,1.11324,1.10992,1.11278,2293.05
2015-07-23 19:00:00,1.11278,1.11351,1.11129,1.11214,1868.29
2015-07-23 20:00:00,1.11211,1.11343,1.11158,1.11269,2770.32
2015-07-23 21:00:00,1.11246,1.11432,1.11188,1.11348,5266.91
2015-07-23 22:00:00,1.11365,1.11412,1.11189,1.11221,5842.98
2015-07-23 23:00:00,1.11222,1.11233,1.11108,1.11182,3338.64
2015-07-24 00:00:00,1.11182,1.11276,1.11122,1.11171,3469.61
2015-07-24 01:00:00,1.11171,1.11262,1.10742,1.10804,6166.0
2015-07-24 02:00:00,1.10803,1.10933,1.10706,1.10902,5954.91
2015-07-24 03:00:00,1.10901,1.10985,1.10648,1.10823,5781.5
2015-07-24 04:00:00,1.10826,1.1084,1.10606,1.1079,3137.04
2015-07-24 05:00:00,1.1079,1.10842,1.10684,1.10704,3502.92
2015-07-24 06:00:00,1.10705,1.10822,1.10563,1.10701,3800.1
