datetime,open,high,low,close,volume
2015-07-22 12:00:00,0.69857,0.69881,0.6971,0.69742,8245.67
2015-07-22 13:00:00,0.69743,0.69811,0.69726,0.69728,7205.3
2015-07-22 14:00:00,0.69727,0.6976,0.69634,0.69685,8011.13
2015-07-22 15:00:00,0.69686,0.69765,0.69655,0.69695,6102.95
2015-07-22 16:00:00,0.69695,0.6995,0.69657,0.69916,5443.57
2015-07-22 17:00:00,0.69915,0.69966,0.69895,0.69928,3265.71
2015-07-22 18:00:00,0.69928,0.69932,0.69884,0.69897,2525.13
2015-07-22 19:00:00,0.69898,0.69968,0.69894,0.69951,2346.69
2015-07-22 20:00:00,0.6995,0.70006,0.6994,0.69989,2995.46
2015-07-22 21:00:00,0.69988,0.70003,0.69956,0.69985,2096.36
2015-07-22 22:00:00,0.69984,0.69987,0.69959,0.69985,1375.83
2015-07-22 23:00:00,0.69986,0.69988,0.69959,0.69962,1041.51
2015-07-23 00:00:00,0.69961,0.70057,0.69961,0.70029,2501.21
2015-07-23 01:00:00,0.7003,0.70096,0.7002,0.70087,2533.05
2015-07-23 02:00:00,0.70087,0.70139,0.70079,0.70093,2381.1
2015-07-23 03:00:00,0.70092,0.70121,0.70063,0.70066,1599.09
2015-07-23 04:00:00,0.70066,0.70068,0.69998,0.70037,1615.33
2015-07-23 05:00:00,0.70037,0.70043,0.69995,0.70019,1741.71
2015-07-23 06:00:00,0.70021,0.70031,0.6989,0.6994,4173.49
2015-07-23 07:00:00,0.69941,0.70213,0.69941,0.70139,10246.76
2015-07-23 08:00:00,0.70139,0.70558,0.70139,0.7048,9969.61
2015-07-23 09:00:00,0.70478,0.70504,0.70318,0.70427,7264.53
2015-07-23 10:00:00,0.70429,0.70532,0.70417,0.70514,6315.89
2015-07-23 11:00:00,0.70512,0.70524,0.70411,0.70453,6603.53
2015-07-23 12:00:00,0.70455,0.70593,0.70417,0.70482,9141.62
2015-07-23 13:00:00,0.70483,0.70603,0.70467,0.70551,8411.48
2015-07-23 14:00:00,0.70547,0.70736,0.70539,0.70711,8811.13
2015-07-23 15:00:00,0.70707,0.70742,0.70593,0.70654,6731.08
2015-07-23 16:00:00,0.70653,0.70935,0.70651,0.70855,5603.05
2015-07-23 17:00:00,0.70856,0.71025,0.70824,0.70951,4328.47
2015-07-23 18:00:00,0.70951,0.70962,0.70877,0.70901,3375.02
2015-07-23 19:00:00,0.70902,0.70912,0.70822,0.70828,2823.42
2015-07-23 20:00:00,0.70828,0.70868,0.70782,0.70788,2820.71
2015-07-23 21:00:00,0.70782,0.70828,0.70765,0.70776,2410.22
2015-07-23 22:00:00,0.70777,0.70815,0.70776,0.70789,1822.31
2015-07-23 23:00:00,0.70788,0.70811,0.70785,0.70798,842.86
2015-07-24 00:00:00,0.70797,0.70817,0.70782,0.708,1908.3
2015-07-24 01:00:00,0.708,0.70825,0.70766,0.70802,2510.78
2015-07-24 02:00:00,0.70802,0.7081,0.70743,0.70757,2306.31
2015-07-24 03:00:00,0.70757,0.70767,0.70702,0.70729,2274.97
2015-07-24 04:00:00,0.70729,0.70742,0.70681,0.70736,1369.85
2015-07-24 05:00:00,0.70737,0.70757,0.70704,0.70731,1405.6
2015-07-24 06:00:00,0.70727,0.7089,0.70696,0.70829,5017.62
2015-07-24 07:00:00,0.70829,0.70924,0.70647,0.70684,7770.16
2015-07-24 08:00:00,0.7068,0.70717,0.70574,0.70625,5297.45
2015-07-24 09:00:00,0.70625,0.70746,0.70604,0.7067,5301.41
2015-07-24 10:00:00,0.70668,0.707,0.70614,0.707,5160.11
2015-07-24 11:00:00,0.707,0.70727,0.70532,0.7065,5923.89
2015-07-24 12:00:00,0.7065,0.70727,0.7061,0.70653,5777.22
2015-07-24 13:00:00,0.70652,0.70774,0.70642,0.70677,6136.84
2015-07-24 14:00:00,0.70668,0.70759,0.70628,0.70746,7503.51
2015-07-24 15:00:00,0.70746,0.7081,0.7065,0.70753,7416.69
2015-07-24 16:00:00,0.70753,0.70804,0.707,0.70776,3855.04
2015-07-24 17:00:00,0.70777,0.7081,0.70751,0.70804,3146.23
2015-07-24 18:00:00,0.70804,0.70818,0.70763,0.70798,2770.18
2015-07-24 19:00:00,0.708,0.70844,0.70764,0.70775,1971.06
2015-07-24 20:00:00,0.70774,0.70812,0.7073,0.70779,1607.37
2015-07-26 21:00:00,0.70771,0.70784,0.70747,0.70772,652.18
2015-07-26 22:00:00,0.70773,0.7078,0.7072,0.70727,1205.7
2015-07-26 23:00:00,0.70726,0.70727,0.7067,0.70686,884.44
2015-07-27 00:00:00,0.70685,0.70782,0.70677,0.70779,2419.43
2015-07-27 01:00:00,0.70779,0.7081,0.70725,0.70789,2770.07
2015-07-27 02:00:00,0.70788,0.70902,0.70773,0.70892,2948.96
2015-07-27 03:00:00,0.70889,0.70952,0.7087,0.70874,2674.15
2015-07-27 04:00:00,0.70873,0.70882,0.70854,0.70857,1990.87
2015-07-27 05:00:00,0.70857,0.70924,0.70856,0.70915,1818.57
2015-07-27 06:00:00,0.70915,0.71049,0.70865,0.71024,6300.09
2015-07-27 07:00:00,0.71025,0.71504,0.70967,0.71479,11122.95
2015-07-27 08:00:00,0.71479,0.71601,0.71319,0.71354,9324.25
2015-07-27 09:00:00,0.71355,0.71425,0.71326,0.71371,6463.26
2015-07-27 10:00:00,0.71372,0.71403,0.71299,0.71345,5987.77
2015-07-27 11:00:00,0.71346,0.71404,0.71259,0.71313,6857.22
2015-07-27 12:00:00,0.71314,0.7135,0.71175,0.71296,7762.13
2015-07-27 13:00:00,0.71298,0.71418,0.7124,0.71372,8391.11
2015-07-27 14:00:00,0.71374,0.71403,0.71208,0.71276,8535.37
2015-07-27 15:00:00,0.71276,0.7136,0.71226,0.71256,7058.27
2015-07-27 16:00:00,0.71255,0.71411,0.71248,0.71372,4415.06
2015-07-27 17:00:00,0.71372,0.71384,0.7131,0.71315,2932.47
2015-07-27 18:00:00,0.71314,0.71375,0.71296,0.71341,2057.26
2015-07-27 19:00:00,0.7134,0.71341,0.71286,0.71294,2471.31
2015-07-27 20:00:00,0.71295,0.71315,0.71231,0.71231,2025.05
2015-07-27 21:00:00,0.7123,0.71291,0.7123,0.7127,2521.84
2015-07-27 22:00:00,0.71269,0.71296,0.71243,0.71244,1106.45
2015-07-27 23:00:00,0.71246,0.71257,0.7123,0.71249,701.06
2015-07-28 00:00:00,0.71248,0.71302,0.71243,0.713,1666.59
2015-07-28 01:00:00,0.71301,0.71305,0.71241,0.71288,2199.65
2015-07-28 02:00:00,0.71288,0.7129,0.71172,0.71184,2428.9
2015-07-28 03:00:00,0.71184,0.71189,0.71145,0.71169,1824.43
2015-07-28 04:00:00,0.7117,0.71182,0.71133,0.71142,2277.59
2015-07-28 05:00:00,0.71142,0.71173,0.71081,0.7114,2388.44
2015-07-28 06:00:00,0.7114,0.71171,0.71016,0.71058,6110.28
2015-07-28 07:00:00,0.71056,0.71224,0.71043,0.71165,7049.93
2015-07-28 08:00:00,0.71166,0.71243,0.70972,0.71001,7637.78
2015-07-28 09:00:00,0.71001,0.71023,0.70804,0.70857,7764.35
2015-07-28 10:00:00,0.70858,0.70858,0.70718,0.70751,7288.17
2015-07-28 11:00:00,0.70751,0.7083,0.70722,0.70816,5840.89
2015-07-28 12:00:00,0.70816,0.70844,0.7074,0.70781,6343.02
2015-07-28 13:00:00,0.70781,0.70805,0.70727,0.70767,7368.8
2015-07-28 14:00:00,0.70771,0.70889,0.7074,0.70846,7823.32
2015-07-28 15:00:00,0.70847,0.7086,0.70753,0.70786,6997.76
2015-07-28 16:00:00,0.70787,0.70822,0.70753,0.70822,5201.44
2015-07-28 17:00:00,0.70823,0.70864,0.70794,0.70836,3159.42
2015-07-28 18:00:00,0.70833,0.70872,0.70792,0.70802,2938.34
2015-07-28 19:00:00,0.708,0.70849,0.70791,0.70832,2250.73
2015-07-28 20:00:00,0.70832,0.70864,0.70812,0.70812,1666.7
2015-07-28 21:00:00,0.70808,0.70868,0.70807,0.70836,2361.59
2015-07-28 22:00:00,0.70838,0.7086,0.70823,0.70846,2279.67
2015-07-28 23:00:00,0.70845,0.70892,0.70835,0.70887,1161.04
2015-07-29 00:00:00,0.70887,0.70954,0.7087,0.7094,2402.88
2015-07-29 01:00:00,0.70941,0.70991,0.70928,0.70971,2001.51
2015-07-29 02:00:00,0.70975,0.70979,0.70933,0.70959,1906.35
2015-07-29 03:00:00,0.7096,0.70965,0.70932,0.7095,1170.39
2015-07-29 04:00:00,0.70949,0.70951,0.70847,0.70847,2337.8
2015-07-29 05:00:00,0.70849,0.70867,0.70788,0.70809,2580.57
2015-07-29 06:00:00,0.7081,0.7083,0.70763,0.70794,4710.02
2015-07-29 07:00:00,0.70796,0.70823,0.7072,0.70773,6870.28
2015-07-29 08:00:00,0.70772,0.70878,0.70769,0.70836,7243.23
2015-07-29 09:00:00,0.70835,0.70851,0.70749,0.70789,6265.1
2015-07-29 10:00:00,0.7079,0.70818,0.70658,0.70658,6365.29
2015-07-29 11:00:00,0.70658,0.70715,0.70518,0.70536,5724.92
2015-07-29 12:00:00,0.70535,0.70624,0.70518,0.70566,6262.97
2015-07-29 13:00:00,0.70566,0.70603,0.70355,0.70384,6651.24
2015-07-29 14:00:00,0.70381,0.70476,0.70346,0.70474,7868.71
2015-07-29 15:00:00,0.70475,0.70564,0.70421,0.70564,6583.24
2015-07-29 16:00:00,0.70564,0.70635,0.70515,0.70635,3543.37
2015-07-29 17:00:00,0.70634,0.70727,0.70602,0.70718,5752.5
2015-07-29 18:00:00,0.70718,0.70784,0.70476,0.70491,8638.37
2015-07-29 19:00:00,0.70492,0.70518,0.70317,0.7037,5979.94
2015-07-29 20:00:00,0.70372,0.7043,0.7036,0.70391,3221.2
2015-07-29 21:00:00,0.70375,0.70401,0.70335,0.70362,2194.58
2015-07-29 22:00:00,0.70365,0.70413,0.70365,0.70409,1298.76
2015-07-29 23:00:00,0.70411,0.70413,0.7038,0.70395,1289.85
2015-07-30 00:00:00,0.70393,0.70413,0.70294,0.70298,3075.49
2015-07-30 01:00:00,0.70299,0.70325,0.70269,0.70299,2813.66
2015-07-30 02:00:00,0.70298,0.70331,0.70287,0.70325,2169.04
2015-07-30 03:00:00,0.70324,0.70344,0.70321,0.70331,1632.31
