datetime,open,high,low,close,volume
2015-07-22 12:00:00,0.95963,0.9624,0.95909,0.96193,8274.97
2015-07-22 13:00:00,0.96195,0.96294,0.96087,0.96125,8268.64
2015-07-22 14:00:00,0.96119,0.96169,0.95978,0.96094,9428.03
2015-07-22 15:00:00,0.96094,0.96163,0.95928,0.9594,7613.39
2015-07-22 16:00:00,0.95936,0.96031,0.95933,0.95954,5004.9
2015-07-22 17:00:00,0.95952,0.96084,0.95933,0.95967,3019.18
2015-07-22 18:00:00,0.95967,0.96064,0.95958,0.96043,3258.9
2015-07-22 19:00:00,0.96043,0.9618,0.96039,0.96146,2247.48
2015-07-22 20:00:00,0.96145,0.96167,0.96038,0.96038,3495.93
2015-07-22 21:00:00,0.96059,0.96268,0.95823,0.9617,4796.25
2015-07-22 22:00:00,0.96171,0.96238,0.9614,0.96168,4526.79
2015-07-22 23:00:00,0.96163,0.96212,0.96107,0.96157,3080.62
2015-07-23 00:00:00,0.96153,0.9616,0.9595,0.95993,4012.1
2015-07-23 01:00:00,0.95992,0.96103,0.9599,0.96058,3301.2
2015-07-23 02:00:00,0.96058,0.96156,0.96028,0.96098,3245.03
2015-07-23 03:00:00,0.96099,0.96262,0.96085,0.96195,3393.98
2015-07-23 04:00:00,0.96195,0.96219,0.96082,0.96085,2754.63
2015-07-23 05:00:00,0.96083,0.96094,0.96022,0.96085,2925.8
2015-07-23 06:00:00,0.96083,0.96125,0.95982,0.96006,5009.0
2015-07-23 07:00:00,0.96004,0.96306,0.96004,0.96192,8574.03
2015-07-23 08:00:00,0.9619,0.96299,0.96094,0.96147,7616.51
2015-07-23 09:00:00,0.96146,0.96155,0.95993,0.96101,6002.24
2015-07-23 10:00:00,0.961,0.96171,0.96038,0.96083,5980.82
2015-07-23 11:00:00,0.96087,0.9627,0.96063,0.96136,6262.55
2015-07-23 12:00:00,0.96134,0.96146,0.95869,0.95894,8419.04
2015-07-23 13:00:00,0.95889,0.95942,0.95724,0.9581,8117.58
2015-07-23 14:00:00,0.95809,0.95911,0.95678,0.95777,8018.11
2015-07-23 15:00:00,0.95778,0.96069,0.95734,0.96064,6904.83
2015-07-23 16:00:00,0.96063,0.96113,0.95965,0.95984,4824.4
2015-07-23 17:00:00,0.95983,0.95997,0.95864,0.95891,3634.9
2015-07-23 18:00:00,0.95892,0.96028,0.95874,0.95967,2380.33
2015-07-23 19:00:00,0.95969,0.95986,0.95898,0.95904,2781.83
2015-07-23 20:00:00,0.95909,0.95927,0.95835,0.95847,2528.16
2015-07-23 21:00:00,0.9585,0.959,0.95811,0.9586,2991.87
2015-07-23 22:00:00,0.95855,0.95888,0.95821,0.95852,5405.36
2015-07-23 23:00:00,0.95853,0.95877,0.95733,0.95799,2949.41
