trades,winrate,pf,total_pips,max_dd_pips,f1,f3,f4,f5,f6b,f6s,score
644,0.422360248447205,1.0967741935480924,360,-260,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,40.0,60.0,11.755556511124588
644,0.422360248447205,1.0967741935480924,360,-260,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,40.0,60.0,11.755556511124588
685,0.41751824817518246,1.0751879699245426,300,-400,,2.1,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,45.0,55.0,11.749114707705996
688,0.4171511627906977,1.0735660847877622,295,-400,,2.1,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,45.0,55.0,11.746715779042875
721,0.4133148404993065,1.0567375886522323,240,-290,,2.2,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,45.0,55.0,11.727779378289696
593,0.42833052276559863,1.123893805309403,420,-215,0.004,2.2,None,50.0,40.0,60.0,11.722807875389877
593,0.42833052276559863,1.123893805309403,420,-215,0.004,2.2,None,40.0,40.0,60.0,11.722807875389877
593,0.42833052276559863,1.123893805309403,420,-215,0.004,2.2,None,,40.0,60.0,11.722807875389877
593,0.42833052276559863,1.123893805309403,420,-215,0.004,2.2,None,30.0,40.0,60.0,11.722807875389877
631,0.4231378763866878,1.100274725274423,365,-410,,2.1,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,40.0,60.0,11.694932472854447
722,0.41274238227146814,1.054245283018619,230,-350,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,,,11.69201413787401
722,0.41274238227146814,1.054245283018619,230,-290,,2.2,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,,,11.69201413787401
