strategy,trades,win_rate,profit_factor,rr,expected_value,net_profit,max_dd,avg_win,avg_loss
DAILY_OTHER,6,100.0,18416000000000.0,3069333333333.334,3069.33,18416.0,0.0,3069.33,0.0
BB,187,57.8,0.387,0.283,-444.94,-83203.0,84127.0,485.92,1717.49
